Genome,Source,Original_GFF,CDS_count,Genome_length_bp,GFF_size_bytes,Embedded_FASTA,Embedded_sequence_count,Outlier_flags,Staged_GFF
GCA_050486715.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050486715.1/bacteraemia__GCA_050486715.1.gff,2582,2786849,3550538,True,1,none,data/processed/core_genome/input_gffs_72/GCA_050486715.1.gff
GCA_050491675.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050491675.1/bacteraemia__GCA_050491675.1.gff,2767,2921198,3730617,True,3,none,data/processed/core_genome/input_gffs_72/GCA_050491675.1.gff
GCA_050491685.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050491685.1/bacteraemia__GCA_050491685.1.gff,2764,2921198,3729944,True,3,none,data/processed/core_genome/input_gffs_72/GCA_050491685.1.gff
GCA_050492125.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050492125.1/bacteraemia__GCA_050492125.1.gff,3060,3177956,4052003,True,3,none,data/processed/core_genome/input_gffs_72/GCA_050492125.1.gff
GCA_050492135.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050492135.1/bacteraemia__GCA_050492135.1.gff,3100,3212558,4097159,True,4,none,data/processed/core_genome/input_gffs_72/GCA_050492135.1.gff
GCA_050505635.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050505635.1/bacteraemia__GCA_050505635.1.gff,2660,2873527,3658817,True,1,none,data/processed/core_genome/input_gffs_72/GCA_050505635.1.gff
GCA_050505645.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050505645.1/bacteraemia__GCA_050505645.1.gff,2662,2873526,3659289,True,1,none,data/processed/core_genome/input_gffs_72/GCA_050505645.1.gff
GCA_050506665.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506665.1/bacteraemia__GCA_050506665.1.gff,2714,2908051,3705312,True,1,none,data/processed/core_genome/input_gffs_72/GCA_050506665.1.gff
GCA_050506675.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506675.1/bacteraemia__GCA_050506675.1.gff,2714,2908051,3705312,True,1,none,data/processed/core_genome/input_gffs_72/GCA_050506675.1.gff
GCA_050506685.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506685.1/bacteraemia__GCA_050506685.1.gff,2971,3116734,3976201,True,2,none,data/processed/core_genome/input_gffs_72/GCA_050506685.1.gff
GCA_050506695.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506695.1/bacteraemia__GCA_050506695.1.gff,2968,3116765,3975691,True,2,none,data/processed/core_genome/input_gffs_72/GCA_050506695.1.gff
GCA_050506725.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506725.1/bacteraemia__GCA_050506725.1.gff,2905,3060487,3901153,True,3,none,data/processed/core_genome/input_gffs_72/GCA_050506725.1.gff
GCA_050506735.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506735.1/bacteraemia__GCA_050506735.1.gff,2832,2999464,3822834,True,3,none,data/processed/core_genome/input_gffs_72/GCA_050506735.1.gff
GCA_050506745.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506745.1/bacteraemia__GCA_050506745.1.gff,3175,3294711,4201695,True,4,none,data/processed/core_genome/input_gffs_72/GCA_050506745.1.gff
GCA_050506755.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506755.1/bacteraemia__GCA_050506755.1.gff,3125,3246088,4140090,True,4,none,data/processed/core_genome/input_gffs_72/GCA_050506755.1.gff
GCA_050506765.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506765.1/bacteraemia__GCA_050506765.1.gff,2880,3027869,3864753,True,3,none,data/processed/core_genome/input_gffs_72/GCA_050506765.1.gff
GCA_050506775.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506775.1/bacteraemia__GCA_050506775.1.gff,2953,3041716,3887468,True,3,none,data/processed/core_genome/input_gffs_72/GCA_050506775.1.gff
GCA_050506815.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506815.1/bacteraemia__GCA_050506815.1.gff,2907,3037470,3880663,True,2,none,data/processed/core_genome/input_gffs_72/GCA_050506815.1.gff
GCA_050506825.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506825.1/bacteraemia__GCA_050506825.1.gff,2912,3017096,3860869,True,1,none,data/processed/core_genome/input_gffs_72/GCA_050506825.1.gff
GCA_050506865.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506865.1/bacteraemia__GCA_050506865.1.gff,2663,2847511,3631903,True,1,none,data/processed/core_genome/input_gffs_72/GCA_050506865.1.gff
GCA_050506875.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506875.1/bacteraemia__GCA_050506875.1.gff,2870,2997920,3828716,True,2,none,data/processed/core_genome/input_gffs_72/GCA_050506875.1.gff
GCA_050506885.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506885.1/bacteraemia__GCA_050506885.1.gff,3140,3235280,4132740,True,4,none,data/processed/core_genome/input_gffs_72/GCA_050506885.1.gff
GCA_050506905.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506905.1/bacteraemia__GCA_050506905.1.gff,3413,3452763,4411182,True,6,none,data/processed/core_genome/input_gffs_72/GCA_050506905.1.gff
GCA_050506915.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506915.1/bacteraemia__GCA_050506915.1.gff,2763,2883716,3689832,True,4,none,data/processed/core_genome/input_gffs_72/GCA_050506915.1.gff
GCA_050506925.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506925.1/bacteraemia__GCA_050506925.1.gff,2757,2878998,3683871,True,2,none,data/processed/core_genome/input_gffs_72/GCA_050506925.1.gff
GCA_050506935.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506935.1/bacteraemia__GCA_050506935.1.gff,2765,2885024,3691905,True,4,none,data/processed/core_genome/input_gffs_72/GCA_050506935.1.gff
GCA_050506985.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506985.1/bacteraemia__GCA_050506985.1.gff,2757,2878998,3683856,True,2,none,data/processed/core_genome/input_gffs_72/GCA_050506985.1.gff
GCA_050506995.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506995.1/bacteraemia__GCA_050506995.1.gff,2782,2928878,3742091,True,2,none,data/processed/core_genome/input_gffs_72/GCA_050506995.1.gff
GCA_050507065.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050507065.1/bacteraemia__GCA_050507065.1.gff,2810,2967455,3787536,True,2,none,data/processed/core_genome/input_gffs_72/GCA_050507065.1.gff
GCA_050507075.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050507075.1/bacteraemia__GCA_050507075.1.gff,3142,3219868,4117047,True,2,none,data/processed/core_genome/input_gffs_72/GCA_050507075.1.gff
GCA_050507105.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050507105.1/bacteraemia__GCA_050507105.1.gff,3131,3219878,4114271,True,2,none,data/processed/core_genome/input_gffs_72/GCA_050507105.1.gff
GCA_050516645.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050516645.1/bacteraemia__GCA_050516645.1.gff,3024,3134338,4005461,True,5,none,data/processed/core_genome/input_gffs_72/GCA_050516645.1.gff
GCA_050516655.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050516655.1/bacteraemia__GCA_050516655.1.gff,3024,3134322,4005512,True,4,none,data/processed/core_genome/input_gffs_72/GCA_050516655.1.gff
GCA_050516665.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050516665.1/bacteraemia__GCA_050516665.1.gff,2948,3071291,3925639,True,2,none,data/processed/core_genome/input_gffs_72/GCA_050516665.1.gff
GCA_050516675.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050516675.1/bacteraemia__GCA_050516675.1.gff,2904,3041171,3883869,True,2,none,data/processed/core_genome/input_gffs_72/GCA_050516675.1.gff
GCF_049262565.1,Reproductive,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCF_049262565.1/reproductive__GCF_049262565.1.gff,2850,2998769,3842966,True,3,none,data/processed/core_genome/input_gffs_72/GCF_049262565.1.gff
GCF_053117575.1,Reproductive,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCF_053117575.1/reproductive__GCF_053117575.1.gff,2996,3109802,3988570,True,4,none,data/processed/core_genome/input_gffs_72/GCF_053117575.1.gff
GCF_053117585.1,Reproductive,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCF_053117585.1/reproductive__GCF_053117585.1.gff,2800,2981430,3813000,True,2,none,data/processed/core_genome/input_gffs_72/GCF_053117585.1.gff
GCF_053117655.1,Reproductive,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCF_053117655.1/reproductive__GCF_053117655.1.gff,2759,2834003,3652833,True,2,none,data/processed/core_genome/input_gffs_72/GCF_053117655.1.gff
GCF_053117665.1,Reproductive,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCF_053117665.1/reproductive__GCF_053117665.1.gff,3173,3298346,4222029,True,4,none,data/processed/core_genome/input_gffs_72/GCF_053117665.1.gff
GCF_053117675.1,Reproductive,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCF_053117675.1/reproductive__GCF_053117675.1.gff,2945,3024060,3888848,True,3,none,data/processed/core_genome/input_gffs_72/GCF_053117675.1.gff
GCF_053117685.1,Reproductive,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCF_053117685.1/reproductive__GCF_053117685.1.gff,2943,3077672,3944334,True,5,none,data/processed/core_genome/input_gffs_72/GCF_053117685.1.gff
GCF_053117695.1,Reproductive,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCF_053117695.1/reproductive__GCF_053117695.1.gff,2915,3032491,3892321,True,4,none,data/processed/core_genome/input_gffs_72/GCF_053117695.1.gff
GCF_053117705.1,Reproductive,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCF_053117705.1/reproductive__GCF_053117705.1.gff,2929,3079400,3943557,True,5,none,data/processed/core_genome/input_gffs_72/GCF_053117705.1.gff
GCF_906464925.1,Reproductive,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCF_906464925.1/reproductive__GCF_906464925.1.gff,2755,2927246,3747294,True,3,none,data/processed/core_genome/input_gffs_72/GCF_906464925.1.gff
