sample_id	canonical_gene	best_allele	percent_identity	whole_locus_query_coverage	pubmlst_allele_coverage	alignment_length_nt	gaps	mismatches	query_length_nt	allele_length_nt	query_start	query_end	allele_start	allele_end	evalue	bitscore	qc_status	failure_code
GCA_050506825.1	gdh	gdh_3	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050506865.1	gdh	gdh_5	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050506875.1	gdh	gdh_15	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050506885.1	gdh	gdh_9	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050506905.1	gdh	gdh_12	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050506915.1	gdh	gdh_1	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050506925.1	gdh	gdh_1	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050506935.1	gdh	gdh_1	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050506985.1	gdh	gdh_1	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050506995.1	gdh	gdh_5	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050507065.1	gdh	gdh_5	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050507075.1	gdh	gdh_12	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050507105.1	gdh	gdh_12	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050516645.1	gdh	gdh_27	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050516655.1	gdh	gdh_27	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050516665.1	gdh	gdh_5	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050516675.1	gdh	gdh_5	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCF_049262565.1	gdh	gdh_7	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCF_053117575.1	gdh	gdh_5	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCF_053117585.1	gdh	gdh_5	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCF_053117655.1	gdh	gdh_5	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCF_053117665.1	gdh	gdh_3	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCF_053117675.1	gdh	gdh_1	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCF_053117685.1	gdh	gdh_5	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCF_053117695.1	gdh	gdh_4	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCF_053117705.1	gdh	gdh_5	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCF_906464925.1	gdh	gdh_1	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_029011255.1	gyd	gyd_2	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_029011395.1	gyd	gyd_6	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_029011535.1	gyd	gyd_2	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_029011745.1	gyd	gyd_6	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050469755.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050471105.1	gyd	gyd_6	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050472745.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050472755.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050473345.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050473355.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050473905.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050474485.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050474495.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050475565.1	gyd	gyd_4	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050475575.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050476085.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050480515.1	gyd	gyd_6	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050481105.1	gyd	gyd_6	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050481115.1	gyd	gyd_6	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050481685.1	gyd	gyd_6	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050481695.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050482265.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050485045.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050485055.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050485625.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050485635.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050486705.1	gyd	gyd_6	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050486715.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050491675.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050491685.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050492125.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050492135.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050505635.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050505645.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506665.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506675.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506685.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506695.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506725.1	gyd	gyd_6	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506735.1	gyd	gyd_6	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506745.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506755.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506765.1	gyd	gyd_6	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506775.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506815.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506825.1	gyd	gyd_6	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506865.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506875.1	gyd	gyd_2	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506885.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506905.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506915.1	gyd	gyd_2	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506925.1	gyd	gyd_2	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506935.1	gyd	gyd_2	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506985.1	gyd	gyd_2	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050506995.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050507065.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050507075.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050507105.1	gyd	gyd_7	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050516645.1	gyd	gyd_6	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050516655.1	gyd	gyd_6	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050516665.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_050516675.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCF_049262565.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCF_053117575.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCF_053117585.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCF_053117655.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCF_053117665.1	gyd	gyd_6	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCF_053117675.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCF_053117685.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCF_053117695.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCF_053117705.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCF_906464925.1	gyd	gyd_1	1.0	0.39421157684630737	1.0	395	0	0	1002	395	507	901	1	395	0.0	713	PASS	
GCA_029011255.1	pstS	pstS_37	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_029011395.1	pstS	pstS_5	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_029011535.1	pstS	pstS_12	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_029011745.1	pstS	pstS_5	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050469755.1	pstS	pstS_3	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050471105.1	pstS	pstS_23	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050472745.1	pstS	pstS_3	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050472755.1	pstS	pstS_24	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050473345.1	pstS	pstS_9	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050473355.1	pstS	pstS_9	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050473905.1	pstS	pstS_3	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050474485.1	pstS	pstS_9	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050474495.1	pstS	pstS_3	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050475565.1	pstS	pstS_8	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050475575.1	pstS	pstS_1	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050476085.1	pstS	pstS_9	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050480515.1	pstS	pstS_23	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050481105.1	pstS	pstS_23	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050481115.1	pstS	pstS_23	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050481685.1	pstS	pstS_23	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050481695.1	pstS	pstS_3	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050482265.1	pstS	pstS_3	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050485045.1	pstS	pstS_3	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050485055.1	pstS	pstS_1	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050485625.1	pstS	pstS_3	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050485635.1	pstS	pstS_3	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050486705.1	pstS	pstS_23	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050486715.1	pstS	pstS_1	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050491675.1	pstS	pstS_22	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050491685.1	pstS	pstS_22	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050492125.1	pstS	pstS_3	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050492135.1	pstS	pstS_3	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050505635.1	pstS	pstS_1	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050505645.1	pstS	pstS_1	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050506665.1	pstS	pstS_1	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050506675.1	pstS	pstS_1	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050506685.1	pstS	pstS_1	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050506695.1	pstS	pstS_1	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050506725.1	pstS	pstS_23	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050506735.1	pstS	pstS_23	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050506745.1	pstS	pstS_3	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050506755.1	pstS	pstS_3	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050506765.1	pstS	pstS_23	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050506775.1	pstS	pstS_7	0.9982800000000001	0.654320987654321	1.0	583	0	1	891	583	262	844	1	583	0.0	1048	PASS	
GCA_050506815.1	pstS	pstS_1	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050506825.1	pstS	pstS_23	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050506865.1	pstS	pstS_1	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050506875.1	pstS	pstS_3	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050506885.1	pstS	pstS_3	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050506905.1	pstS	pstS_3	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050506915.1	pstS	pstS_12	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050506925.1	pstS	pstS_12	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050506935.1	pstS	pstS_12	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050506985.1	pstS	pstS_12	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050506995.1	pstS	pstS_1	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050507065.1	pstS	pstS_1	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050507075.1	pstS	pstS_3	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050507105.1	pstS	pstS_3	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050516645.1	pstS	pstS_23	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050516655.1	pstS	pstS_23	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
GCA_050516665.1	pstS	pstS_1	1.0	0.654320987654321	1.0	583	0	0	891	583	262	844	1	583	0.0	1052	PASS	
