tree	assembly_accession	group	terminal_branch	terminal_over_median	robust_z
sensitivity_71genome_9locus	GCA_050476085.1	Bacteraemia	2.9486e-06	2.9486	1.9486
sensitivity_71genome_9locus	GCA_050473355.1	Bacteraemia	2.1888e-06	2.1888	1.1888
sensitivity_71genome_9locus	GCA_050473345.1	Bacteraemia	0.0002595994	259.5994	258.5994
sensitivity_71genome_9locus	GCF_049262565.1	Reproductive	0.0018800641	1880.0641	1879.0641
sensitivity_71genome_9locus	GCA_050474485.1	Bacteraemia	0.0008560573	856.0573	855.0573
sensitivity_71genome_9locus	GCA_050485635.1	Bacteraemia	0.0004553919	455.3919	454.3919
sensitivity_71genome_9locus	GCA_050469755.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050507075.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050492125.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050507105.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050485045.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050482265.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050492135.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050473905.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050506745.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050506755.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050481695.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050472745.1	Bacteraemia	1e-06	1	0
sensitivity_71genome_9locus	GCA_050485625.1	Bacteraemia	9.46149e-05	94.6149	93.6149
sensitivity_71genome_9locus	GCA_050506885.1	Bacteraemia	0.0043225294	4322.5294	4321.5294
sensitivity_71genome_9locus	GCA_050474495.1	Bacteraemia	2.2062e-06	2.2062	1.2062
sensitivity_71genome_9locus	GCA_050506905.1	Bacteraemia	1e-06	1	0
sensitivity_71genome_9locus	GCA_029011745.1	Reproductive	0.0054935678	5493.5678	5492.5678
sensitivity_71genome_9locus	GCA_050475565.1	Bacteraemia	0.002872465	2872.465	2871.465
sensitivity_71genome_9locus	GCF_906464925.1	Reproductive	0.0036408313	3640.8313	3639.8313
sensitivity_71genome_9locus	GCA_050506775.1	Bacteraemia	0.0040713093	4071.3093	4070.3093
sensitivity_71genome_9locus	GCF_053117695.1	Reproductive	0.0041929104	4192.9104	4191.9104
sensitivity_71genome_9locus	GCA_050471105.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050481105.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050481685.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050481115.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050480515.1	Bacteraemia	1e-06	1	0
sensitivity_71genome_9locus	GCA_050506725.1	Bacteraemia	1e-06	1	0
sensitivity_71genome_9locus	GCA_050506735.1	Bacteraemia	1e-06	1	0
sensitivity_71genome_9locus	GCA_050486705.1	Bacteraemia	1e-06	1	0
sensitivity_71genome_9locus	GCF_053117665.1	Reproductive	0.0001894344	189.4344	188.4344
sensitivity_71genome_9locus	GCA_050506765.1	Bacteraemia	9.50071e-05	95.0071	94.0071
sensitivity_71genome_9locus	GCA_050506825.1	Bacteraemia	1e-06	1	0
sensitivity_71genome_9locus	GCA_050516645.1	Bacteraemia	1e-06	1	0
sensitivity_71genome_9locus	GCA_050516655.1	Bacteraemia	1e-06	1	0
sensitivity_71genome_9locus	GCA_050475575.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050516665.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050506995.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCF_053117705.1	Reproductive	0	0	-1
sensitivity_71genome_9locus	GCF_053117575.1	Reproductive	0	0	-1
sensitivity_71genome_9locus	GCA_050507065.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050506815.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCF_053117685.1	Reproductive	0	0	-1
sensitivity_71genome_9locus	GCF_053117655.1	Reproductive	0	0	-1
sensitivity_71genome_9locus	GCA_050506695.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050506685.1	Bacteraemia	1e-06	1	0
sensitivity_71genome_9locus	GCA_050516675.1	Bacteraemia	9.34796e-05	93.4796	92.4796
sensitivity_71genome_9locus	GCA_050485055.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050506865.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050506675.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCF_053117585.1	Reproductive	0	0	-1
sensitivity_71genome_9locus	GCA_050506665.1	Bacteraemia	1e-06	1	0
sensitivity_71genome_9locus	GCA_050505635.1	Bacteraemia	1e-06	1	0
sensitivity_71genome_9locus	GCA_050505645.1	Bacteraemia	1e-06	1	0
sensitivity_71genome_9locus	GCA_050486715.1	Bacteraemia	9.2515e-05	92.515	91.515
sensitivity_71genome_9locus	GCA_050491675.1	Bacteraemia	1e-06	1	0
sensitivity_71genome_9locus	GCA_050491685.1	Bacteraemia	1e-06	1	0
sensitivity_71genome_9locus	GCF_053117675.1	Reproductive	2.1419e-06	2.1419	1.1419
sensitivity_71genome_9locus	GCA_050472755.1	Bacteraemia	0.0068034649	6803.4649	6802.4649
sensitivity_71genome_9locus	GCA_050506875.1	Bacteraemia	0.0019131337	1913.1337	1912.1337
reduced_72genome_7locus	GCA_029011255.1	Reproductive	0.0026617584	Inf	NA
reduced_72genome_7locus	GCA_029011395.1	Reproductive	1e-06	Inf	NA
reduced_72genome_7locus	GCA_029011745.1	Reproductive	1e-06	Inf	NA
reduced_72genome_7locus	GCA_029011535.1	Reproductive	0.0001402968	Inf	NA
reduced_72genome_7locus	GCA_050506915.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050506935.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050506985.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050506925.1	Bacteraemia	1e-06	Inf	NA
reduced_72genome_7locus	GCF_906464925.1	Reproductive	0.0023159798	Inf	NA
reduced_72genome_7locus	GCA_050473345.1	Bacteraemia	0.0005681692	Inf	NA
reduced_72genome_7locus	GCA_050473355.1	Bacteraemia	1e-06	Inf	NA
reduced_72genome_7locus	GCA_050476085.1	Bacteraemia	1e-06	Inf	NA
reduced_72genome_7locus	GCA_050469755.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050482265.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050492135.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050492125.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050473905.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050485045.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050506755.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050507075.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050507105.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050481695.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050506745.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050472745.1	Bacteraemia	1e-06	Inf	NA
reduced_72genome_7locus	GCA_050485625.1	Bacteraemia	0.0001388498	Inf	NA
reduced_72genome_7locus	GCA_050474485.1	Bacteraemia	0.0011757551	Inf	NA
reduced_72genome_7locus	GCA_050485635.1	Bacteraemia	2.9528e-06	Inf	NA
reduced_72genome_7locus	GCA_050474495.1	Bacteraemia	1e-06	Inf	NA
reduced_72genome_7locus	GCA_050506905.1	Bacteraemia	1e-06	Inf	NA
reduced_72genome_7locus	GCA_050471105.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050481105.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050486705.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050481115.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050481685.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050480515.1	Bacteraemia	1e-06	Inf	NA
reduced_72genome_7locus	GCA_050506725.1	Bacteraemia	1e-06	Inf	NA
reduced_72genome_7locus	GCA_050506735.1	Bacteraemia	1e-06	Inf	NA
reduced_72genome_7locus	GCF_053117665.1	Reproductive	0.0001395881	Inf	NA
reduced_72genome_7locus	GCA_050506765.1	Bacteraemia	1e-06	Inf	NA
reduced_72genome_7locus	GCA_050506825.1	Bacteraemia	2.2686e-06	Inf	NA
reduced_72genome_7locus	GCA_050516645.1	Bacteraemia	1e-06	Inf	NA
reduced_72genome_7locus	GCA_050516655.1	Bacteraemia	1e-06	Inf	NA
reduced_72genome_7locus	GCA_050475575.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050507065.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050516675.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050506995.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050516665.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050506695.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCF_053117705.1	Reproductive	0	NA	NA
reduced_72genome_7locus	GCF_053117655.1	Reproductive	0	NA	NA
reduced_72genome_7locus	GCF_053117575.1	Reproductive	0	NA	NA
reduced_72genome_7locus	GCF_053117685.1	Reproductive	0	NA	NA
reduced_72genome_7locus	GCA_050506815.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050506685.1	Bacteraemia	1e-06	Inf	NA
reduced_72genome_7locus	GCA_050485055.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050506865.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050506665.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCA_050506675.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCF_053117585.1	Reproductive	0	NA	NA
reduced_72genome_7locus	GCA_050486715.1	Bacteraemia	1e-06	Inf	NA
reduced_72genome_7locus	GCA_050505635.1	Bacteraemia	1e-06	Inf	NA
reduced_72genome_7locus	GCA_050505645.1	Bacteraemia	1e-06	Inf	NA
reduced_72genome_7locus	GCA_050472755.1	Bacteraemia	0.006059872	Inf	NA
reduced_72genome_7locus	GCF_049262565.1	Reproductive	0.0026419585	Inf	NA
reduced_72genome_7locus	GCF_053117695.1	Reproductive	0.0027453244	Inf	NA
reduced_72genome_7locus	GCA_050475565.1	Bacteraemia	0.0035871252	Inf	NA
reduced_72genome_7locus	GCA_050491675.1	Bacteraemia	0	NA	NA
reduced_72genome_7locus	GCF_053117675.1	Reproductive	0	NA	NA
reduced_72genome_7locus	GCA_050491685.1	Bacteraemia	1e-06	Inf	NA
reduced_72genome_7locus	GCA_050506775.1	Bacteraemia	0.0024701493	Inf	NA
reduced_72genome_7locus	GCA_050506885.1	Bacteraemia	0.0022580158	Inf	NA
reduced_72genome_7locus	GCA_050506875.1	Bacteraemia	0.0037189409	Inf	NA
