Raw_record_ID,Raw_row_in_file,Genome,Source,Gene,Method,Class,Subclass,Contig_ID,Coverage_reference_percent,Identity_reference_percent,Start,Stop,Strand
GCA_050481115.1:2,2,GCA_050481115.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP174925.1,100,100,2963287,2965203,-
GCA_050481685.1:1,1,GCA_050481685.1,Bacteraemia,lsa(A),BLASTX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP174922.1,100,99.6,2300153,2301646,-
GCA_050481685.1:2,2,GCA_050481685.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP174922.1,100,100,2963290,2965206,-
GCA_050481695.1:2,2,GCA_050481695.1,Bacteraemia,aadD1,BLASTX,AMINOGLYCOSIDE,KANAMYCIN/TOBRAMYCIN,CP174918.1,100,99.6,22290,23048,+
GCA_050481695.1:3,3,GCA_050481695.1,Bacteraemia,vanZ-A,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174918.1,100,100,23671,24153,-
GCA_050481695.1:4,4,GCA_050481695.1,Bacteraemia,vanY-A,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174918.1,100,100,24309,25217,-
GCA_050481695.1:5,5,GCA_050481695.1,Bacteraemia,vanX-A,BLASTX,GLYCOPEPTIDE,VANCOMYCIN,CP174918.1,100,99.5,26698,27303,-
GCA_050481695.1:6,6,GCA_050481695.1,Bacteraemia,vanA,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174918.1,100,100,27312,28340,-
GCA_050481695.1:7,7,GCA_050481695.1,Bacteraemia,vanH-A,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174918.1,100,100,28336,29301,-
GCA_050481695.1:8,8,GCA_050481695.1,Bacteraemia,vanS-A,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174918.1,100,100,29519,30670,-
GCA_050481695.1:9,9,GCA_050481695.1,Bacteraemia,vanR-A,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174918.1,100,100,30651,31343,-
GCA_050481695.1:10,10,GCA_050481695.1,Bacteraemia,erm(B),EXACTX,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,CP174919.1,100,100,22309,23043,+
GCA_050481695.1:11,11,GCA_050481695.1,Bacteraemia,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,CP174919.1,100,100,26305,27210,+
GCA_050481695.1:12,12,GCA_050481695.1,Bacteraemia,sat4,EXACTX,STREPTOTHRICIN,STREPTOTHRICIN,CP174919.1,100,100,27210,27749,+
GCA_050481695.1:13,13,GCA_050481695.1,Bacteraemia,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP174919.1,100,100,27845,28636,+
GCA_050481695.1:14,14,GCA_050481695.1,Bacteraemia,lsa(A),EXACTX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP174921.1,100,100,90755,92248,+
GCA_050481695.1:15,15,GCA_050481695.1,Bacteraemia,dfrF,EXACTX,TRIMETHOPRIM,TRIMETHOPRIM,CP174921.1,100,100,138274,138765,+
GCA_050481695.1:16,16,GCA_050481695.1,Bacteraemia,dfrF,EXACTX,TRIMETHOPRIM,TRIMETHOPRIM,CP174921.1,100,100,911087,911578,+
GCA_050481695.1:17,17,GCA_050481695.1,Bacteraemia,parC_S80I,POINTX,QUINOLONE,QUINOLONE,CP174921.1,100,99.76,1099380,1101839,+
GCA_050481695.1:18,18,GCA_050481695.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP174921.1,100,100,2073679,2075115,-
GCA_050481695.1:19,19,GCA_050481695.1,Bacteraemia,rpsJ_RATHK53Q,POINTX,TETRACYCLINE,TIGECYCLINE,CP174921.1,100,100,2419360,2419653,-
GCA_050481695.1:20,20,GCA_050481695.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP174921.1,100,100,2581449,2583365,+
GCA_050481695.1:21,21,GCA_050481695.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP174921.1,100,100,2893701,2895617,+
GCA_050481695.1:22,22,GCA_050481695.1,Bacteraemia,gyrA_S83I,POINTX,QUINOLONE,QUINOLONE,CP174921.1,100,99.76,3027847,3030345,+
GCA_050482265.1:1,1,GCA_050482265.1,Bacteraemia,rpsJ_RATHK53Q,POINTX,TETRACYCLINE,TIGECYCLINE,CP174914.1,100,100,66926,67219,+
GCA_050482265.1:2,2,GCA_050482265.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP174914.1,100,100,411465,412901,+
GCA_050482265.1:3,3,GCA_050482265.1,Bacteraemia,parC_S80I,POINTX,QUINOLONE,QUINOLONE,CP174914.1,100,99.76,1384745,1387204,-
GCA_050482265.1:4,4,GCA_050482265.1,Bacteraemia,dfrF,EXACTX,TRIMETHOPRIM,TRIMETHOPRIM,CP174914.1,100,100,1575006,1575497,-
GCA_050482265.1:5,5,GCA_050482265.1,Bacteraemia,dfrF,EXACTX,TRIMETHOPRIM,TRIMETHOPRIM,CP174914.1,100,100,2347824,2348315,-
GCA_050482265.1:6,6,GCA_050482265.1,Bacteraemia,lsa(A),EXACTX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP174914.1,100,100,2394341,2395834,-
GCA_050482265.1:7,7,GCA_050482265.1,Bacteraemia,gyrA_S83I,POINTX,QUINOLONE,QUINOLONE,CP174914.1,100,99.76,2644027,2646525,-
GCA_050482265.1:8,8,GCA_050482265.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP174914.1,100,100,2778755,2780671,-
GCA_050482265.1:9,9,GCA_050482265.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP174914.1,100,100,3091007,3092923,-
GCA_050482265.1:11,11,GCA_050482265.1,Bacteraemia,vanR-A,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174916.1,100,100,7066,7758,+
GCA_050482265.1:12,12,GCA_050482265.1,Bacteraemia,vanS-A,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174916.1,100,100,7739,8890,+
GCA_050482265.1:13,13,GCA_050482265.1,Bacteraemia,vanH-A,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174916.1,100,100,9108,10073,+
GCA_050482265.1:14,14,GCA_050482265.1,Bacteraemia,vanA,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174916.1,100,100,10069,11097,+
GCA_050482265.1:15,15,GCA_050482265.1,Bacteraemia,vanX-A,BLASTX,GLYCOPEPTIDE,VANCOMYCIN,CP174916.1,100,99.5,11106,11711,+
GCA_050482265.1:16,16,GCA_050482265.1,Bacteraemia,vanY-A,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174916.1,100,100,13192,14100,+
GCA_050482265.1:17,17,GCA_050482265.1,Bacteraemia,vanZ-A,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174916.1,100,100,14256,14738,+
GCA_050482265.1:18,18,GCA_050482265.1,Bacteraemia,aadD1,BLASTX,AMINOGLYCOSIDE,KANAMYCIN/TOBRAMYCIN,CP174916.1,100,99.6,15361,16119,-
GCA_050482265.1:19,19,GCA_050482265.1,Bacteraemia,erm(B),EXACTX,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,CP174917.1,100,100,26985,27719,+
GCA_050482265.1:20,20,GCA_050482265.1,Bacteraemia,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,CP174917.1,100,100,30981,31886,+
GCA_050482265.1:21,21,GCA_050482265.1,Bacteraemia,sat4,EXACTX,STREPTOTHRICIN,STREPTOTHRICIN,CP174917.1,100,100,31886,32425,+
GCA_050482265.1:22,22,GCA_050482265.1,Bacteraemia,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP174917.1,100,100,32521,33312,+
GCA_050485045.1:1,1,GCA_050485045.1,Bacteraemia,vanX-A,BLASTX,GLYCOPEPTIDE,VANCOMYCIN,CP174866.1,100,99.5,1,606,+
GCA_050485045.1:2,2,GCA_050485045.1,Bacteraemia,vanY-A,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174866.1,100,100,2087,2995,+
GCA_050485045.1:3,3,GCA_050485045.1,Bacteraemia,vanZ-A,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174866.1,100,100,3151,3633,+
GCA_050485045.1:4,4,GCA_050485045.1,Bacteraemia,aadD1,BLASTX,AMINOGLYCOSIDE,KANAMYCIN/TOBRAMYCIN,CP174866.1,100,99.6,4256,5014,-
GCA_050485045.1:6,6,GCA_050485045.1,Bacteraemia,vanR-A,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174866.1,100,100,24306,24998,+
GCA_050485045.1:7,7,GCA_050485045.1,Bacteraemia,vanS-A,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174866.1,100,100,24979,26130,+
GCA_050485045.1:8,8,GCA_050485045.1,Bacteraemia,vanH-A,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174866.1,100,100,26348,27313,+
GCA_050485045.1:9,9,GCA_050485045.1,Bacteraemia,vanA,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174866.1,100,100,27309,28337,+
GCA_050485045.1:10,10,GCA_050485045.1,Bacteraemia,lsa(A),EXACTX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP174869.1,100,100,132454,133947,+
GCA_050485045.1:11,11,GCA_050485045.1,Bacteraemia,dfrF,EXACTX,TRIMETHOPRIM,TRIMETHOPRIM,CP174869.1,100,100,179973,180464,+
GCA_050485045.1:12,12,GCA_050485045.1,Bacteraemia,dfrF,EXACTX,TRIMETHOPRIM,TRIMETHOPRIM,CP174869.1,100,100,952743,953234,+
GCA_050485045.1:13,13,GCA_050485045.1,Bacteraemia,parC_S80I,POINTX,QUINOLONE,QUINOLONE,CP174869.1,100,99.76,1141036,1143495,+
GCA_050485045.1:14,14,GCA_050485045.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP174869.1,100,100,2197578,2199014,-
GCA_050485045.1:15,15,GCA_050485045.1,Bacteraemia,gyrA_S83I,POINTX,QUINOLONE,QUINOLONE,CP174869.1,100,99.76,2779985,2782483,-
GCA_050485045.1:16,16,GCA_050485045.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP174869.1,100,100,2914731,2916647,-
GCA_050485045.1:17,17,GCA_050485045.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP174869.1,100,100,3226971,3228887,-
GCA_050485055.1:1,1,GCA_050485055.1,Bacteraemia,vanS-A,BLASTX,GLYCOPEPTIDE,VANCOMYCIN,CP174863.1,98.96,100,1,1140,+
GCA_050485055.1:2,2,GCA_050485055.1,Bacteraemia,vanH-A,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174863.1,100,100,1358,2323,+
GCA_050485055.1:3,3,GCA_050485055.1,Bacteraemia,vanA,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174863.1,100,100,2319,3347,+
GCA_050485055.1:4,4,GCA_050485055.1,Bacteraemia,vanX-A,BLASTX,GLYCOPEPTIDE,VANCOMYCIN,CP174863.1,100,99.5,3356,3961,+
GCA_050485055.1:5,5,GCA_050485055.1,Bacteraemia,vanY-A,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174863.1,100,100,5442,6350,+
GCA_050485055.1:6,6,GCA_050485055.1,Bacteraemia,vanZ-A,EXACTX,GLYCOPEPTIDE,VANCOMYCIN,CP174863.1,100,100,6506,6988,+
GCA_050485055.1:7,7,GCA_050485055.1,Bacteraemia,aadD1,BLASTX,AMINOGLYCOSIDE,KANAMYCIN/TOBRAMYCIN,CP174863.1,100,99.6,7611,8369,-
GCA_050485055.1:9,9,GCA_050485055.1,Bacteraemia,vanR-A,BLASTX,GLYCOPEPTIDE,VANCOMYCIN,CP174863.1,98.7,100,27070,27753,+
GCA_050485055.1:10,10,GCA_050485055.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP174864.1,100,100,586660,588096,+
GCA_050485055.1:11,11,GCA_050485055.1,Bacteraemia,dfrF,EXACTX,TRIMETHOPRIM,TRIMETHOPRIM,CP174864.1,100,100,1828938,1829429,-
GCA_050485055.1:12,12,GCA_050485055.1,Bacteraemia,dfrF,EXACTX,TRIMETHOPRIM,TRIMETHOPRIM,CP174864.1,100,100,2594316,2594807,-
GCA_050485055.1:13,13,GCA_050485055.1,Bacteraemia,lsa(A),BLASTX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP174864.1,100,99.4,2640505,2641998,-
GCA_050485055.1:14,14,GCA_050485055.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP174864.1,100,100,2805756,2807672,+
GCA_050485055.1:15,15,GCA_050485055.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP174864.1,100,100,3115662,3117578,+
