Raw_record_ID,Raw_row_in_file,Genome,Source,Gene,Element_name,Type,Method,Class,Subclass,Contig_ID,Start,Stop,Strand,Coverage_reference_percent,Identity_reference_percent,Target_length,Reference_sequence_length,Alignment_length,Potential_duplicate_record,flag_reason,functional_matrix_status,Original_file
GCA_050516645.1:6,6,GCA_050516645.1,Bacteraemia,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,STRESS,BLASTX,ARSENIC,ARSENITE,CP175406.1,1783989,1784351,-,100,99.17,121,121,121,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050516645.1.amrfinder.tsv
GCA_050516645.1:8,8,GCA_050516645.1,Bacteraemia,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,STRESS,BLASTX,ARSENIC,ARSENITE,CP175406.1,1784861,1785151,-,100,98.97,97,97,97,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050516645.1.amrfinder.tsv
GCA_050516655.1:5,5,GCA_050516655.1,Bacteraemia,arsA,arsenite efflux transporter ATPase subunit ArsA,STRESS,BLASTX,ARSENIC,ARSENITE,CP175400.1,2704574,2706310,+,100,99.31,579,579,579,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050516655.1.amrfinder.tsv
GCA_050516655.1:9,9,GCA_050516655.1,Bacteraemia,arsA,arsenite efflux transporter ATPase subunit ArsA,STRESS,BLASTX,ARSENIC,ARSENITE,CP175400.1,2707610,2709349,+,100,99.31,580,580,580,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050516655.1.amrfinder.tsv
GCA_050516655.1:10,10,GCA_050516655.1,Bacteraemia,arsB,arsenite efflux transporter membrane subunit ArsB,STRESS,BLASTX,ARSENIC,ARSENITE,CP175400.1,2709433,2710509,+,100,99.16,359,359,359,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050516655.1.amrfinder.tsv
GCA_050516655.1:11,11,GCA_050516655.1,Bacteraemia,arsB,arsenite efflux transporter membrane subunit ArsB,STRESS,EXACTX,ARSENIC,ARSENITE,CP175400.1,2710542,2711594,+,100,100,351,351,351,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050516655.1.amrfinder.tsv
GCA_050516655.1:7,7,GCA_050516655.1,Bacteraemia,arsD,arsenite efflux transporter metallochaperone ArsD,STRESS,BLASTX,ARSENIC,ARSENITE,CP175400.1,2706704,2707072,+,100,99.19,123,123,123,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050516655.1.amrfinder.tsv
GCA_050516655.1:4,4,GCA_050516655.1,Bacteraemia,arsD2,arsenite efflux transporter metallochaperone ArsD-related protein,STRESS,BLASTX,ARSENIC,ARSENITE,CP175400.1,2704243,2704551,+,100,98.06,103,103,103,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050516655.1.amrfinder.tsv
GCA_050516655.1:6,6,GCA_050516655.1,Bacteraemia,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,STRESS,BLASTX,ARSENIC,ARSENITE,CP175400.1,2706409,2706699,+,100,98.97,97,97,97,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050516655.1.amrfinder.tsv
GCA_050516655.1:8,8,GCA_050516655.1,Bacteraemia,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,STRESS,BLASTX,ARSENIC,ARSENITE,CP175400.1,2707209,2707571,+,100,99.17,121,121,121,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050516655.1.amrfinder.tsv
GCA_050516665.1:4,4,GCA_050516665.1,Bacteraemia,tcrB,copper-translocating P-type ATPase TcrB,STRESS,BLASTX,COPPER,COPPER,CP175396.1,107800,109929,+,100,99.86,710,710,710,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050516665.1.amrfinder.tsv
GCA_029011535.1:1,1,GCA_029011535.1,Reproductive,lsa(A),ABC-F type ribosomal protection protein Lsa(A),AMR,PARTIALX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP118072.1,724109,725263,+,77.31,100,385,498,385,FALSE,PARTIALX;coverage_below_80,excluded_from_functional_presence,GCA_029011535.1.amrfinder.tsv
GCA_029011745.1:2,2,GCA_029011745.1,Reproductive,lsa(A),ABC-F type ribosomal protection protein Lsa(A),AMR,PARTIALX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP118085.1,2382644,2383798,-,77.31,99.48,385,498,385,FALSE,PARTIALX;coverage_below_80,excluded_from_functional_presence,GCA_029011745.1.amrfinder.tsv
GCF_049262565.1:2,2,GCF_049262565.1,Reproductive,tet(M),tetracycline resistance ribosomal protection protein Tet(M),AMR,INTERNAL_STOP,TETRACYCLINE,TETRACYCLINE,NZ_CP185997.1,2469444,2470607,+,60.72,98.45,388,639,388,FALSE,INTERNAL_STOP;coverage_below_80,excluded_from_functional_presence,GCF_049262565.1.amrfinder.tsv
GCF_053117575.1:3,3,GCF_053117575.1,Reproductive,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181216.1,1540802,1541308,-,58.89,99.41,169,287,169,FALSE,PARTIALX;coverage_below_80,excluded_from_functional_presence,GCF_053117575.1.amrfinder.tsv
GCF_053117575.1:6,6,GCF_053117575.1,Reproductive,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181216.1,1543217,1544011,-,87.75,100,265,302,265,FALSE,PARTIALX,excluded_from_functional_presence,GCF_053117575.1.amrfinder.tsv
GCF_053117585.1:3,3,GCF_053117585.1,Reproductive,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181214.1,1559069,1559818,-,87.11,100,250,287,250,FALSE,PARTIALX,excluded_from_functional_presence,GCF_053117585.1.amrfinder.tsv
GCF_053117655.1:5,5,GCF_053117655.1,Reproductive,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181220.1,1489147,1489653,-,58.89,99.41,169,287,169,FALSE,PARTIALX;coverage_below_80,excluded_from_functional_presence,GCF_053117655.1.amrfinder.tsv
GCF_053117655.1:8,8,GCF_053117655.1,Reproductive,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181220.1,1491562,1492359,-,87.75,99.62,266,302,266,FALSE,PARTIALX,excluded_from_functional_presence,GCF_053117655.1.amrfinder.tsv
GCF_053117655.1:4,4,GCF_053117655.1,Reproductive,lsa(E),ABC-F type ribosomal protection protein Lsa(E),AMR,PARTIALX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,NZ_CP181220.1,1484766,1485566,-,53.85,99.25,267,494,267,FALSE,PARTIALX;coverage_below_80,excluded_from_functional_presence,GCF_053117655.1.amrfinder.tsv
GCF_053117655.1:7,7,GCF_053117655.1,Reproductive,sat4,streptothricin N-acetyltransferase Sat4,AMR,INTERNAL_STOP,STREPTOTHRICIN,STREPTOTHRICIN,NZ_CP181220.1,1491203,1491562,-,66.67,95.83,120,180,120,FALSE,INTERNAL_STOP;coverage_below_80,excluded_from_functional_presence,GCF_053117655.1.amrfinder.tsv
GCF_053117675.1:8,8,GCF_053117675.1,Reproductive,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181226.1,1559514,1560020,-,58.89,99.41,169,287,169,FALSE,PARTIALX;coverage_below_80,excluded_from_functional_presence,GCF_053117675.1.amrfinder.tsv
GCF_053117675.1:11,11,GCF_053117675.1,Reproductive,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181226.1,1561929,1562723,-,87.75,100,265,302,265,FALSE,PARTIALX,excluded_from_functional_presence,GCF_053117675.1.amrfinder.tsv
GCF_053117685.1:4,4,GCF_053117685.1,Reproductive,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181229.1,1564683,1565477,+,87.75,100,265,302,265,FALSE,PARTIALX,excluded_from_functional_presence,GCF_053117685.1.amrfinder.tsv
GCF_053117685.1:7,7,GCF_053117685.1,Reproductive,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181229.1,1567386,1567892,+,58.89,99.41,169,287,169,FALSE,PARTIALX;coverage_below_80,excluded_from_functional_presence,GCF_053117685.1.amrfinder.tsv
