dataset,genome_id,functional_amr_hit_count,unique_amr_gene_count,amr_genes_present,amr_drug_classes,amr_drug_subclasses,exact_exactx_hit_count,blastx_hit_count,partialx_hit_count,other_hit_count,low_coverage_functional_hit_count,streptogramin_lincosamide_gene_count,streptogramin_lincosamide_genes,tetracycline_gene_count,tetracycline_genes,aminoglycoside_gene_count,aminoglycoside_genes,gentamicin_related_gene_count,gentamicin_related_genes,internal_stop_hit_count,internal_stop_genes
Bacteraemia,GCA_050474495.1.,6,1,GCA_050474495.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; TETRACYCLINE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; TETRACYCLINE,3,1,0,2,0,1,GCA_050474495.1,1,GCA_050474495.1,1,GCA_050474495.1,1,GCA_050474495.1,0,
Bacteraemia,GCA_050475565.1.,6,1,GCA_050475565.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; TETRACYCLINE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; TETRACYCLINE,4,0,0,2,0,1,GCA_050475565.1,1,GCA_050475565.1,1,GCA_050475565.1,1,GCA_050475565.1,0,
Bacteraemia,GCA_050475575.1.,5,1,GCA_050475575.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; STREPTOMYCIN; TETRACYCLINE,2,2,1,0,0,1,GCA_050475575.1,1,GCA_050475575.1,1,GCA_050475575.1,1,GCA_050475575.1,0,
Bacteraemia,GCA_050476085.1.,2,1,GCA_050476085.1,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,0,2,0,0,0,1,GCA_050476085.1,0,,0,,0,,0,
Bacteraemia,GCA_050480515.1.,2,1,GCA_050480515.1,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,1,1,0,0,0,1,GCA_050480515.1,1,GCA_050480515.1,0,,0,,0,
Bacteraemia,GCA_050481105.1.,2,1,GCA_050481105.1,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,1,1,0,0,0,1,GCA_050481105.1,1,GCA_050481105.1,0,,0,,0,
Bacteraemia,GCA_050481115.1.,2,1,GCA_050481115.1,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,1,1,0,0,0,1,GCA_050481115.1,1,GCA_050481115.1,0,,0,,0,
Bacteraemia,GCA_050481685.1.,2,1,GCA_050481685.1,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,1,1,0,0,0,1,GCA_050481685.1,1,GCA_050481685.1,0,,0,,0,
Bacteraemia,GCA_050481695.1.,22,1,GCA_050481695.1,AMINOGLYCOSIDE; BLEOMYCIN; GLYCOPEPTIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; BLEOMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; KANAMYCIN/TOBRAMYCIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE; TIGECYCLINE; TRIMETHOPRIM; VANCOMYCIN,16,2,1,3,0,1,GCA_050481695.1,1,GCA_050481695.1,1,GCA_050481695.1,1,GCA_050481695.1,0,
Bacteraemia,GCA_050482265.1.,22,1,GCA_050482265.1,AMINOGLYCOSIDE; BLEOMYCIN; GLYCOPEPTIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; BLEOMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; KANAMYCIN/TOBRAMYCIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE; TIGECYCLINE; TRIMETHOPRIM; VANCOMYCIN,16,2,1,3,0,1,GCA_050482265.1,1,GCA_050482265.1,1,GCA_050482265.1,1,GCA_050482265.1,0,
Bacteraemia,GCA_050485045.1.,17,1,GCA_050485045.1,AMINOGLYCOSIDE; BLEOMYCIN; GLYCOPEPTIDE; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; BLEOMYCIN; KANAMYCIN/TOBRAMYCIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; TETRACYCLINE; TRIMETHOPRIM; VANCOMYCIN,12,2,1,2,0,1,GCA_050485045.1,1,GCA_050485045.1,1,GCA_050485045.1,1,GCA_050485045.1,0,
Bacteraemia,GCA_050485055.1.,15,1,GCA_050485055.1,AMINOGLYCOSIDE; BLEOMYCIN; GLYCOPEPTIDE; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; BLEOMYCIN; KANAMYCIN/TOBRAMYCIN; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE; TRIMETHOPRIM; VANCOMYCIN,9,5,1,0,0,1,GCA_050485055.1,1,GCA_050485055.1,1,GCA_050485055.1,1,GCA_050485055.1,0,
Bacteraemia,GCA_050485625.1.,21,1,GCA_050485625.1,AMINOGLYCOSIDE; BLEOMYCIN; GLYCOPEPTIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; BLEOMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; KANAMYCIN/TOBRAMYCIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM; VANCOMYCIN,16,2,1,2,0,1,GCA_050485625.1,1,GCA_050485625.1,1,GCA_050485625.1,1,GCA_050485625.1,0,
Bacteraemia,GCA_050485635.1.,20,1,GCA_050485635.1,AMINOGLYCOSIDE; BLEOMYCIN; GLYCOPEPTIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; BLEOMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; KANAMYCIN/TOBRAMYCIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM; VANCOMYCIN,14,3,1,2,0,1,GCA_050485635.1,1,GCA_050485635.1,1,GCA_050485635.1,1,GCA_050485635.1,1,GCA_050485635.1
Bacteraemia,GCA_050486705.1.,8,1,GCA_050486705.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; PHENICOL; STREPTOTHRICIN; TETRACYCLINE,AMIKACIN/KANAMYCIN; CHLORAMPHENICOL; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE,7,1,0,0,0,1,GCA_050486705.1,1,GCA_050486705.1,1,GCA_050486705.1,0,,0,
Bacteraemia,GCA_050486715.1.,3,1,GCA_050486715.1,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE; TRIMETHOPRIM,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE; TRIMETHOPRIM,2,1,0,0,0,1,GCA_050486715.1,1,GCA_050486715.1,0,,0,,1,GCA_050486715.1
Bacteraemia,GCA_050491675.1.,14,1,GCA_050491675.1,AMINOGLYCOSIDE; BACITRACIN; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; BACITRACIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,8,3,2,1,0,1,GCA_050491675.1,1,GCA_050491675.1,1,GCA_050491675.1,1,GCA_050491675.1,0,
Bacteraemia,GCA_050491685.1.,14,1,GCA_050491685.1,AMINOGLYCOSIDE; BACITRACIN; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; BACITRACIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,8,3,2,1,0,1,GCA_050491685.1,1,GCA_050491685.1,1,GCA_050491685.1,1,GCA_050491685.1,0,
Bacteraemia,GCA_050492125.1.,13,1,GCA_050492125.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,11,0,0,2,0,1,GCA_050492125.1,1,GCA_050492125.1,1,GCA_050492125.1,1,GCA_050492125.1,0,
Bacteraemia,GCA_050492135.1.,13,1,GCA_050492135.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,11,0,0,2,0,1,GCA_050492135.1,1,GCA_050492135.1,1,GCA_050492135.1,1,GCA_050492135.1,0,
Bacteraemia,GCA_050505635.1.,9,1,GCA_050505635.1,AMINOGLYCOSIDE; LINCOSAMIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE; TRIMETHOPRIM,AMINOGLYCOSIDE; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE; LINCOSAMIDE/STREPTOGRAMIN; STREPTOMYCIN; TETRACYCLINE; TRIMETHOPRIM,7,1,1,0,0,1,GCA_050505635.1,1,GCA_050505635.1,1,GCA_050505635.1,0,,0,
