Genome,Source,accepted_aminoglycoside_genes,aminoglycoside_gene_count,flagged_aminoglycoside_hits
GCA_050506815.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia; aph(3')-IIIa,2,ant(6)-Ia|PARTIALX|PARTIALX; ant(6)-Ia|PARTIALX|PARTIALX;coverage_below_80
GCA_050506825.1,Bacteraemia,,0,
GCA_050506865.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia; aph(3')-IIIa,2,ant(6)-Ia|PARTIALX|PARTIALX; ant(6)-Ia|PARTIALX|PARTIALX;coverage_below_80
GCA_050506875.1,Bacteraemia,,0,
GCA_050506885.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,1,
GCA_050506905.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,1,
GCA_050506915.1,Bacteraemia,,0,
GCA_050506925.1,Bacteraemia,,0,
GCA_050506935.1,Bacteraemia,,0,
GCA_050506985.1,Bacteraemia,,0,
GCA_050506995.1,Bacteraemia,,0,
GCA_050507065.1,Bacteraemia,,0,
GCA_050507075.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia; ant(6)-Ia; aph(3')-IIIa,3,
GCA_050507105.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia; ant(6)-Ia; aph(3')-IIIa,3,
GCA_050516645.1,Bacteraemia,,0,
GCA_050516655.1,Bacteraemia,,0,
GCA_050516665.1,Bacteraemia,ant(6)-Ia; aph(3')-IIIa,2,
GCA_050516675.1,Bacteraemia,,0,
