Raw_record_ID,Raw_row_in_file,Genome,Source,Gene,Method,Class,Subclass,Contig_ID,Coverage_reference_percent,Identity_reference_percent,functional_status,flag_reason,Original_file
GCA_050475575.1:3,3,GCA_050475575.1,Bacteraemia,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175027.1,87.11,99.6,excluded_from_functional_presence,PARTIALX,GCA_050475575.1.amrfinder.tsv
GCA_050481695.1:18,18,GCA_050481695.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP174921.1,100,100,accepted_functional_amr_detection,,GCA_050481695.1.amrfinder.tsv
GCA_050481695.1:2,2,GCA_050481695.1,Bacteraemia,aadD1,BLASTX,AMINOGLYCOSIDE,KANAMYCIN/TOBRAMYCIN,CP174918.1,100,99.6,accepted_functional_amr_detection,,GCA_050481695.1.amrfinder.tsv
GCA_050481695.1:11,11,GCA_050481695.1,Bacteraemia,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,CP174919.1,100,100,accepted_functional_amr_detection,,GCA_050481695.1.amrfinder.tsv
GCA_050481695.1:13,13,GCA_050481695.1,Bacteraemia,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP174919.1,100,100,accepted_functional_amr_detection,,GCA_050481695.1.amrfinder.tsv
GCA_050482265.1:2,2,GCA_050482265.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP174914.1,100,100,accepted_functional_amr_detection,,GCA_050482265.1.amrfinder.tsv
GCA_050482265.1:18,18,GCA_050482265.1,Bacteraemia,aadD1,BLASTX,AMINOGLYCOSIDE,KANAMYCIN/TOBRAMYCIN,CP174916.1,100,99.6,accepted_functional_amr_detection,,GCA_050482265.1.amrfinder.tsv
GCA_050482265.1:20,20,GCA_050482265.1,Bacteraemia,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,CP174917.1,100,100,accepted_functional_amr_detection,,GCA_050482265.1.amrfinder.tsv
GCA_050482265.1:22,22,GCA_050482265.1,Bacteraemia,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP174917.1,100,100,accepted_functional_amr_detection,,GCA_050482265.1.amrfinder.tsv
GCA_050485045.1:14,14,GCA_050485045.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP174869.1,100,100,accepted_functional_amr_detection,,GCA_050485045.1.amrfinder.tsv
GCA_050485045.1:4,4,GCA_050485045.1,Bacteraemia,aadD1,BLASTX,AMINOGLYCOSIDE,KANAMYCIN/TOBRAMYCIN,CP174866.1,100,99.6,accepted_functional_amr_detection,,GCA_050485045.1.amrfinder.tsv
GCA_050485055.1:10,10,GCA_050485055.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP174864.1,100,100,accepted_functional_amr_detection,,GCA_050485055.1.amrfinder.tsv
GCA_050485055.1:7,7,GCA_050485055.1,Bacteraemia,aadD1,BLASTX,AMINOGLYCOSIDE,KANAMYCIN/TOBRAMYCIN,CP174863.1,100,99.6,accepted_functional_amr_detection,,GCA_050485055.1.amrfinder.tsv
GCA_050485625.1:18,18,GCA_050485625.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP174859.1,100,100,accepted_functional_amr_detection,,GCA_050485625.1.amrfinder.tsv
GCA_050485625.1:13,13,GCA_050485625.1,Bacteraemia,aadD1,BLASTX,AMINOGLYCOSIDE,KANAMYCIN/TOBRAMYCIN,CP174858.1,100,99.6,accepted_functional_amr_detection,,GCA_050485625.1.amrfinder.tsv
GCA_050485625.1:3,3,GCA_050485625.1,Bacteraemia,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,CP174857.1,100,100,accepted_functional_amr_detection,,GCA_050485625.1.amrfinder.tsv
GCA_050485625.1:1,1,GCA_050485625.1,Bacteraemia,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP174857.1,100,100,accepted_functional_amr_detection,,GCA_050485625.1.amrfinder.tsv
GCA_050485635.1:15,15,GCA_050485635.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP174856.1,100,100,accepted_functional_amr_detection,,GCA_050485635.1.amrfinder.tsv
GCA_050485635.1:5,5,GCA_050485635.1,Bacteraemia,aadD1,BLASTX,AMINOGLYCOSIDE,KANAMYCIN/TOBRAMYCIN,CP174855.1,100,99.6,accepted_functional_amr_detection,,GCA_050485635.1.amrfinder.tsv
GCA_050485635.1:2,2,GCA_050485635.1,Bacteraemia,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,CP174854.1,100,100,accepted_functional_amr_detection,,GCA_050485635.1.amrfinder.tsv
GCA_050485635.1:4,4,GCA_050485635.1,Bacteraemia,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP174854.1,100,100,accepted_functional_amr_detection,,GCA_050485635.1.amrfinder.tsv
GCA_050486705.1:3,3,GCA_050486705.1,Bacteraemia,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,CP174840.1,100,100,accepted_functional_amr_detection,,GCA_050486705.1.amrfinder.tsv
GCA_050486705.1:1,1,GCA_050486705.1,Bacteraemia,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP174840.1,100,100,accepted_functional_amr_detection,,GCA_050486705.1.amrfinder.tsv
GCA_050491675.1:7,7,GCA_050491675.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175116.1,100,100,accepted_functional_amr_detection,,GCA_050491675.1.amrfinder.tsv
GCA_050491675.1:3,3,GCA_050491675.1,Bacteraemia,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175116.1,58.89,99.41,excluded_from_functional_presence,PARTIALX;coverage_below_80,GCA_050491675.1.amrfinder.tsv
GCA_050491675.1:6,6,GCA_050491675.1,Bacteraemia,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175116.1,87.75,100,excluded_from_functional_presence,PARTIALX,GCA_050491675.1.amrfinder.tsv
GCA_050491675.1:4,4,GCA_050491675.1,Bacteraemia,aph(3')-IIIa,BLASTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP175116.1,100,99.62,accepted_functional_amr_detection,,GCA_050491675.1.amrfinder.tsv
GCA_050491685.1:7,7,GCA_050491685.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175113.1,100,100,accepted_functional_amr_detection,,GCA_050491685.1.amrfinder.tsv
GCA_050491685.1:3,3,GCA_050491685.1,Bacteraemia,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175113.1,58.89,99.41,excluded_from_functional_presence,PARTIALX;coverage_below_80,GCA_050491685.1.amrfinder.tsv
GCA_050491685.1:6,6,GCA_050491685.1,Bacteraemia,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175113.1,87.75,100,excluded_from_functional_presence,PARTIALX,GCA_050491685.1.amrfinder.tsv
GCA_050491685.1:4,4,GCA_050491685.1,Bacteraemia,aph(3')-IIIa,BLASTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP175113.1,100,99.62,accepted_functional_amr_detection,,GCA_050491685.1.amrfinder.tsv
GCA_050492125.1:2,2,GCA_050492125.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175110.1,100,100,accepted_functional_amr_detection,,GCA_050492125.1.amrfinder.tsv
GCA_050492125.1:11,11,GCA_050492125.1,Bacteraemia,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175112.1,100,100,accepted_functional_amr_detection,,GCA_050492125.1.amrfinder.tsv
GCA_050492125.1:13,13,GCA_050492125.1,Bacteraemia,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP175112.1,100,100,accepted_functional_amr_detection,,GCA_050492125.1.amrfinder.tsv
GCA_050492135.1:2,2,GCA_050492135.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175106.1,100,100,accepted_functional_amr_detection,,GCA_050492135.1.amrfinder.tsv
GCA_050492135.1:11,11,GCA_050492135.1,Bacteraemia,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175109.1,100,100,accepted_functional_amr_detection,,GCA_050492135.1.amrfinder.tsv
GCA_050492135.1:13,13,GCA_050492135.1,Bacteraemia,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP175109.1,100,100,accepted_functional_amr_detection,,GCA_050492135.1.amrfinder.tsv
GCA_050505635.1:2,2,GCA_050505635.1,Bacteraemia,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175162.1,52.61,98.68,excluded_from_functional_presence,PARTIALX;coverage_below_80,GCA_050505635.1.amrfinder.tsv
GCA_050505635.1:6,6,GCA_050505635.1,Bacteraemia,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175162.1,100,100,accepted_functional_amr_detection,,GCA_050505635.1.amrfinder.tsv
GCA_050505635.1:3,3,GCA_050505635.1,Bacteraemia,spw,EXACTX,AMINOGLYCOSIDE,AMINOGLYCOSIDE,CP175162.1,100,100,accepted_functional_amr_detection,,GCA_050505635.1.amrfinder.tsv
GCA_050505645.1:2,2,GCA_050505645.1,Bacteraemia,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175163.1,100,100,accepted_functional_amr_detection,,GCA_050505645.1.amrfinder.tsv
GCA_050505645.1:6,6,GCA_050505645.1,Bacteraemia,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175163.1,52.61,98.68,excluded_from_functional_presence,PARTIALX;coverage_below_80,GCA_050505645.1.amrfinder.tsv
GCA_050505645.1:5,5,GCA_050505645.1,Bacteraemia,spw,EXACTX,AMINOGLYCOSIDE,AMINOGLYCOSIDE,CP175163.1,100,100,accepted_functional_amr_detection,,GCA_050505645.1.amrfinder.tsv
GCA_050506745.1:5,5,GCA_050506745.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175276.1,100,100,accepted_functional_amr_detection,,GCA_050506745.1.amrfinder.tsv
GCA_050506745.1:18,18,GCA_050506745.1,Bacteraemia,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175277.1,100,100,accepted_functional_amr_detection,,GCA_050506745.1.amrfinder.tsv
GCA_050506745.1:20,20,GCA_050506745.1,Bacteraemia,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP175277.1,100,100,accepted_functional_amr_detection,,GCA_050506745.1.amrfinder.tsv
GCA_050506755.1:8,8,GCA_050506755.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175273.1,100,100,accepted_functional_amr_detection,,GCA_050506755.1.amrfinder.tsv
GCA_050506815.1:7,7,GCA_050506815.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175260.1,100,100,accepted_functional_amr_detection,,GCA_050506815.1.amrfinder.tsv
GCA_050506815.1:3,3,GCA_050506815.1,Bacteraemia,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175260.1,58.89,99.41,excluded_from_functional_presence,PARTIALX;coverage_below_80,GCA_050506815.1.amrfinder.tsv
GCA_050506815.1:6,6,GCA_050506815.1,Bacteraemia,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175260.1,87.75,100,excluded_from_functional_presence,PARTIALX,GCA_050506815.1.amrfinder.tsv
GCA_050506815.1:4,4,GCA_050506815.1,Bacteraemia,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP175260.1,100,100,accepted_functional_amr_detection,,GCA_050506815.1.amrfinder.tsv
GCA_050506865.1:7,7,GCA_050506865.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175257.1,100,100,accepted_functional_amr_detection,,GCA_050506865.1.amrfinder.tsv
GCA_050506865.1:3,3,GCA_050506865.1,Bacteraemia,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175257.1,58.89,99.41,excluded_from_functional_presence,PARTIALX;coverage_below_80,GCA_050506865.1.amrfinder.tsv
GCA_050506865.1:6,6,GCA_050506865.1,Bacteraemia,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175257.1,87.75,100,excluded_from_functional_presence,PARTIALX,GCA_050506865.1.amrfinder.tsv
GCA_050506865.1:4,4,GCA_050506865.1,Bacteraemia,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP175257.1,100,100,accepted_functional_amr_detection,,GCA_050506865.1.amrfinder.tsv
GCA_050506885.1:10,10,GCA_050506885.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175253.1,100,100,accepted_functional_amr_detection,,GCA_050506885.1.amrfinder.tsv
GCA_050506905.1:12,12,GCA_050506905.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175241.1,100,100,accepted_functional_amr_detection,,GCA_050506905.1.amrfinder.tsv
GCA_050507075.1:2,2,GCA_050507075.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175221.1,100,100,accepted_functional_amr_detection,,GCA_050507075.1.amrfinder.tsv
GCA_050507075.1:10,10,GCA_050507075.1,Bacteraemia,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175222.1,100,100,accepted_functional_amr_detection,,GCA_050507075.1.amrfinder.tsv
GCA_050507075.1:12,12,GCA_050507075.1,Bacteraemia,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP175222.1,100,100,accepted_functional_amr_detection,,GCA_050507075.1.amrfinder.tsv
GCA_050507105.1:2,2,GCA_050507105.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175219.1,100,100,accepted_functional_amr_detection,,GCA_050507105.1.amrfinder.tsv
GCA_050507105.1:11,11,GCA_050507105.1,Bacteraemia,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175220.1,100,100,accepted_functional_amr_detection,,GCA_050507105.1.amrfinder.tsv
GCA_050507105.1:9,9,GCA_050507105.1,Bacteraemia,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP175220.1,100,100,accepted_functional_amr_detection,,GCA_050507105.1.amrfinder.tsv
GCA_050516665.1:1,1,GCA_050516665.1,Bacteraemia,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175396.1,100,100,accepted_functional_amr_detection,,GCA_050516665.1.amrfinder.tsv
GCA_050516665.1:3,3,GCA_050516665.1,Bacteraemia,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP175396.1,100,100,accepted_functional_amr_detection,,GCA_050516665.1.amrfinder.tsv
GCF_053117575.1:7,7,GCF_053117575.1,Reproductive,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,NZ_CP181216.1,100,100,accepted_functional_amr_detection,,GCF_053117575.1.amrfinder.tsv
GCF_053117575.1:3,3,GCF_053117575.1,Reproductive,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181216.1,58.89,99.41,excluded_from_functional_presence,PARTIALX;coverage_below_80,GCF_053117575.1.amrfinder.tsv
GCF_053117575.1:6,6,GCF_053117575.1,Reproductive,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181216.1,87.75,100,excluded_from_functional_presence,PARTIALX,GCF_053117575.1.amrfinder.tsv
GCF_053117575.1:4,4,GCF_053117575.1,Reproductive,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,NZ_CP181216.1,100,100,accepted_functional_amr_detection,,GCF_053117575.1.amrfinder.tsv
GCF_053117585.1:4,4,GCF_053117585.1,Reproductive,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,NZ_CP181214.1,100,100,accepted_functional_amr_detection,,GCF_053117585.1.amrfinder.tsv
GCF_053117585.1:3,3,GCF_053117585.1,Reproductive,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181214.1,87.11,100,excluded_from_functional_presence,PARTIALX,GCF_053117585.1.amrfinder.tsv
GCF_053117585.1:7,7,GCF_053117585.1,Reproductive,str,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181214.1,100,100,accepted_functional_amr_detection,,GCF_053117585.1.amrfinder.tsv
GCF_053117655.1:3,3,GCF_053117655.1,Reproductive,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181220.1,100,100,accepted_functional_amr_detection,,GCF_053117655.1.amrfinder.tsv
GCF_053117655.1:5,5,GCF_053117655.1,Reproductive,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181220.1,58.89,99.41,excluded_from_functional_presence,PARTIALX;coverage_below_80,GCF_053117655.1.amrfinder.tsv
GCF_053117655.1:8,8,GCF_053117655.1,Reproductive,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181220.1,87.75,99.62,excluded_from_functional_presence,PARTIALX,GCF_053117655.1.amrfinder.tsv
GCF_053117655.1:6,6,GCF_053117655.1,Reproductive,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,NZ_CP181220.1,100,100,accepted_functional_amr_detection,,GCF_053117655.1.amrfinder.tsv
GCF_053117665.1:5,5,GCF_053117665.1,Reproductive,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181225.1,100,100,accepted_functional_amr_detection,,GCF_053117665.1.amrfinder.tsv
GCF_053117665.1:4,4,GCF_053117665.1,Reproductive,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,NZ_CP181224.1,100,100,accepted_functional_amr_detection,,GCF_053117665.1.amrfinder.tsv
GCF_053117665.1:7,7,GCF_053117665.1,Reproductive,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,NZ_CP181225.1,100,100,accepted_functional_amr_detection,,GCF_053117665.1.amrfinder.tsv
GCF_053117675.1:4,4,GCF_053117675.1,Reproductive,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181226.1,100,100,accepted_functional_amr_detection,,GCF_053117675.1.amrfinder.tsv
GCF_053117675.1:8,8,GCF_053117675.1,Reproductive,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181226.1,58.89,99.41,excluded_from_functional_presence,PARTIALX;coverage_below_80,GCF_053117675.1.amrfinder.tsv
GCF_053117675.1:11,11,GCF_053117675.1,Reproductive,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181226.1,87.75,100,excluded_from_functional_presence,PARTIALX,GCF_053117675.1.amrfinder.tsv
GCF_053117675.1:9,9,GCF_053117675.1,Reproductive,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,NZ_CP181226.1,100,100,accepted_functional_amr_detection,,GCF_053117675.1.amrfinder.tsv
GCF_053117675.1:7,7,GCF_053117675.1,Reproductive,spw,EXACTX,AMINOGLYCOSIDE,AMINOGLYCOSIDE,NZ_CP181226.1,100,100,accepted_functional_amr_detection,,GCF_053117675.1.amrfinder.tsv
GCF_053117685.1:3,3,GCF_053117685.1,Reproductive,aac(6')-Ie/aph(2'')-Ia,BLASTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,NZ_CP181229.1,100,99.79,accepted_functional_amr_detection,,GCF_053117685.1.amrfinder.tsv
GCF_053117685.1:4,4,GCF_053117685.1,Reproductive,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181229.1,87.75,100,excluded_from_functional_presence,PARTIALX,GCF_053117685.1.amrfinder.tsv
GCF_053117685.1:7,7,GCF_053117685.1,Reproductive,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181229.1,58.89,99.41,excluded_from_functional_presence,PARTIALX;coverage_below_80,GCF_053117685.1.amrfinder.tsv
GCF_053117685.1:6,6,GCF_053117685.1,Reproductive,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,NZ_CP181229.1,100,100,accepted_functional_amr_detection,,GCF_053117685.1.amrfinder.tsv
GCF_053117695.1:3,3,GCF_053117695.1,Reproductive,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,NZ_CP181235.1,100,100,accepted_functional_amr_detection,,GCF_053117695.1.amrfinder.tsv
GCF_053117705.1:7,7,GCF_053117705.1,Reproductive,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,NZ_CP181238.1,100,100,accepted_functional_amr_detection,,GCF_053117705.1.amrfinder.tsv
GCF_053117705.1:3,3,GCF_053117705.1,Reproductive,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181238.1,58.89,99.41,excluded_from_functional_presence,PARTIALX;coverage_below_80,GCF_053117705.1.amrfinder.tsv
GCF_053117705.1:6,6,GCF_053117705.1,Reproductive,ant(6)-Ia,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,NZ_CP181238.1,87.75,100,excluded_from_functional_presence,PARTIALX,GCF_053117705.1.amrfinder.tsv
GCF_053117705.1:4,4,GCF_053117705.1,Reproductive,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,NZ_CP181238.1,100,100,accepted_functional_amr_detection,,GCF_053117705.1.amrfinder.tsv
