sample_id	canonical_gene	selected_feature_id	reviewer	review_date	rationale
GCA_050472755.1	pstS	bacteraemia__GCA_050472755.1_01371	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050473345.1	gyd	bacteraemia__GCA_050473345.1_01179	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050473345.1	pstS	bacteraemia__GCA_050473345.1_01383	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050473355.1	gyd	bacteraemia__GCA_050473355.1_01617	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050473355.1	pstS	bacteraemia__GCA_050473355.1_01447	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050473905.1	gyd	bacteraemia__GCA_050473905.1_01012	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050473905.1	pstS	bacteraemia__GCA_050473905.1_01246	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050474485.1	gyd	bacteraemia__GCA_050474485.1_01636	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050474485.1	pstS	bacteraemia__GCA_050474485.1_01439	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050474495.1	gyd	bacteraemia__GCA_050474495.1_00799	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050474495.1	pstS	bacteraemia__GCA_050474495.1_01034	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050475565.1	gyd	bacteraemia__GCA_050475565.1_01202	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050475565.1	pstS	bacteraemia__GCA_050475565.1_01422	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050475575.1	gyd	bacteraemia__GCA_050475575.1_01847	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050475575.1	pstS	bacteraemia__GCA_050475575.1_01630	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050476085.1	gyd	bacteraemia__GCA_050476085.1_01875	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050476085.1	pstS	bacteraemia__GCA_050476085.1_01583	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050480515.1	gyd	bacteraemia__GCA_050480515.1_00780	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050480515.1	pstS	bacteraemia__GCA_050480515.1_00586	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050481105.1	gyd	bacteraemia__GCA_050481105.1_01085	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050481105.1	pstS	bacteraemia__GCA_050481105.1_01279	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050481115.1	gyd	bacteraemia__GCA_050481115.1_01715	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050481115.1	pstS	bacteraemia__GCA_050481115.1_01521	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050481685.1	gyd	bacteraemia__GCA_050481685.1_01715	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050481685.1	pstS	bacteraemia__GCA_050481685.1_01521	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050481695.1	gyd	bacteraemia__GCA_050481695.1_00753	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050481695.1	pstS	bacteraemia__GCA_050481695.1_01004	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050482265.1	gyd	bacteraemia__GCA_050482265.1_01732	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050482265.1	pstS	bacteraemia__GCA_050482265.1_01480	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050485045.1	gyd	bacteraemia__GCA_050485045.1_00807	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050485045.1	pstS	bacteraemia__GCA_050485045.1_01061	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050485055.1	gyd	bacteraemia__GCA_050485055.1_02061	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050485055.1	pstS	bacteraemia__GCA_050485055.1_01805	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050485625.1	gyd	bacteraemia__GCA_050485625.1_00794	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050485625.1	pstS	bacteraemia__GCA_050485625.1_01045	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050485635.1	gyd	bacteraemia__GCA_050485635.1_01997	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050485635.1	pstS	bacteraemia__GCA_050485635.1_01748	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050486705.1	gyd	bacteraemia__GCA_050486705.1_02088	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050486705.1	pstS	bacteraemia__GCA_050486705.1_02283	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050486715.1	gyd	bacteraemia__GCA_050486715.1_01648	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050486715.1	pstS	bacteraemia__GCA_050486715.1_01472	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050491675.1	gyd	bacteraemia__GCA_050491675.1_01659	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050491675.1	pstS	bacteraemia__GCA_050491675.1_01489	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050491685.1	gyd	bacteraemia__GCA_050491685.1_01658	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050491685.1	pstS	bacteraemia__GCA_050491685.1_01488	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050492125.1	gyd	bacteraemia__GCA_050492125.1_01806	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050492125.1	pstS	bacteraemia__GCA_050492125.1_01554	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050492135.1	gyd	bacteraemia__GCA_050492135.1_01847	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050492135.1	pstS	bacteraemia__GCA_050492135.1_01595	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050505635.1	gyd	bacteraemia__GCA_050505635.1_00625	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050505635.1	pstS	bacteraemia__GCA_050505635.1_00801	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050505645.1	gyd	bacteraemia__GCA_050505645.1_00784	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050505645.1	pstS	bacteraemia__GCA_050505645.1_00608	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050506665.1	gyd	bacteraemia__GCA_050506665.1_01706	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050506665.1	pstS	bacteraemia__GCA_050506665.1_01529	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050506675.1	gyd	bacteraemia__GCA_050506675.1_01706	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050506675.1	pstS	bacteraemia__GCA_050506675.1_01529	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050506685.1	gyd	bacteraemia__GCA_050506685.1_01893	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050506685.1	pstS	bacteraemia__GCA_050506685.1_01352	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050506695.1	gyd	bacteraemia__GCA_050506695.1_01891	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050506695.1	pstS	bacteraemia__GCA_050506695.1_01350	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050506725.1	gyd	bacteraemia__GCA_050506725.1_01603	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050506725.1	pstS	bacteraemia__GCA_050506725.1_01387	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050506735.1	gyd	bacteraemia__GCA_050506735.1_01602	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050506735.1	pstS	bacteraemia__GCA_050506735.1_01386	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050506745.1	gyd	bacteraemia__GCA_050506745.1_00666	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050506745.1	pstS	bacteraemia__GCA_050506745.1_00919	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050506755.1	gyd	bacteraemia__GCA_050506755.1_01660	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050506755.1	pstS	bacteraemia__GCA_050506755.1_01408	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050506765.1	gyd	bacteraemia__GCA_050506765.1_01656	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050506765.1	pstS	bacteraemia__GCA_050506765.1_01461	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050506775.1	gyd	bacteraemia__GCA_050506775.1_01707	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050506775.1	pstS	bacteraemia__GCA_050506775.1_01498	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050506815.1	gyd	bacteraemia__GCA_050506815.1_01789	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050506815.1	pstS	bacteraemia__GCA_050506815.1_01571	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050506825.1	gyd	bacteraemia__GCA_050506825.1_01807	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050506825.1	pstS	bacteraemia__GCA_050506825.1_01612	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050506865.1	gyd	bacteraemia__GCA_050506865.1_01729	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050506865.1	pstS	bacteraemia__GCA_050506865.1_01553	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050506875.1	gyd	bacteraemia__GCA_050506875.1_01819	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050506875.1	pstS	bacteraemia__GCA_050506875.1_01624	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050506885.1	gyd	bacteraemia__GCA_050506885.1_01801	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050506885.1	pstS	bacteraemia__GCA_050506885.1_01567	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050506905.1	gyd	bacteraemia__GCA_050506905.1_01848	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050506905.1	pstS	bacteraemia__GCA_050506905.1_01610	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050506915.1	gyd	bacteraemia__GCA_050506915.1_01672	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050506915.1	pstS	bacteraemia__GCA_050506915.1_01490	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050506925.1	gyd	bacteraemia__GCA_050506925.1_01153	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050506925.1	pstS	bacteraemia__GCA_050506925.1_01335	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050506935.1	gyd	bacteraemia__GCA_050506935.1_01099	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050506935.1	pstS	bacteraemia__GCA_050506935.1_01281	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050506985.1	gyd	bacteraemia__GCA_050506985.1_01099	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050506985.1	pstS	bacteraemia__GCA_050506985.1_01281	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
