dataset	assembly_accession	sample_id	contigs	bases	CDS	rRNA	tRNA	tmRNA	prokka_version
bacteraemia	GCA_050507075.1	bacteraemia__GCA_050507075.1	2	3219868	3142	12	63	1	1.15.6
bacteraemia	GCA_050507105.1	bacteraemia__GCA_050507105.1	2	3219878	3131	12	63	1	1.15.6
bacteraemia	GCA_050516645.1	bacteraemia__GCA_050516645.1	5	3134338	3024	12	61	1	1.15.6
bacteraemia	GCA_050516655.1	bacteraemia__GCA_050516655.1	4	3134322	3024	12	61	1	1.15.6
bacteraemia	GCA_050516665.1	bacteraemia__GCA_050516665.1	2	3071291	2948	12	61	1	1.15.6
bacteraemia	GCA_050516675.1	bacteraemia__GCA_050516675.1	2	3041171	2904	12	61	1	1.15.6
reproductive	GCA_029011255.1	reproductive__GCA_029011255.1	2	2755036	2547	12	58	1	1.15.6
reproductive	GCA_029011395.1	reproductive__GCA_029011395.1	3	3006678	2969	12	62	1	1.15.6
reproductive	GCA_029011535.1	reproductive__GCA_029011535.1	4	2988172	3016	12	61	1	1.15.6
reproductive	GCA_029011745.1	reproductive__GCA_029011745.1	2	3041350	3271	12	61	1	1.15.6
reproductive	GCF_049262565.1	reproductive__GCF_049262565.1	3	2998769	2850	12	62	1	1.15.6
reproductive	GCF_053117575.1	reproductive__GCF_053117575.1	4	3109802	2996	12	62	1	1.15.6
reproductive	GCF_053117585.1	reproductive__GCF_053117585.1	2	2981430	2800	12	62	1	1.15.6
reproductive	GCF_053117655.1	reproductive__GCF_053117655.1	2	2834003	2759	12	61	1	1.15.6
reproductive	GCF_053117665.1	reproductive__GCF_053117665.1	4	3298346	3173	12	62	1	1.15.6
reproductive	GCF_053117675.1	reproductive__GCF_053117675.1	3	3024060	2945	12	62	1	1.15.6
reproductive	GCF_053117685.1	reproductive__GCF_053117685.1	5	3077672	2943	12	60	1	1.15.6
reproductive	GCF_053117695.1	reproductive__GCF_053117695.1	4	3032491	2915	12	62	1	1.15.6
reproductive	GCF_053117705.1	reproductive__GCF_053117705.1	5	3079400	2929	12	60	1	1.15.6
reproductive	GCF_906464925.1	reproductive__GCF_906464925.1	3	2927246	2755	12	60	1	1.15.6
