Heatmap_variant	Dimension	Item_1	Item_2	Item_1_accession	Item_2_accession	Distance	Item_1_cluster_order	Item_2_cluster_order	Distance_method	Scaling_normalisation	Linkage_method
clustered	rows (strains)	C1554	VSI48	GCA_050473355.1	GCA_029011255.1	0.5	24	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1539	VSI48	GCA_050473905.1	GCA_029011255.1	0.9090909090909091	62	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1473	VSI48	GCA_050474485.1	GCA_029011255.1	0	10	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1472	VSI48	GCA_050474495.1	GCA_029011255.1	0.8333333333333334	60	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1336	VSI48	GCA_050475565.1	GCA_029011255.1	0.8333333333333334	61	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1329	VSI48	GCA_050475575.1	GCA_029011255.1	0.75	31	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1321	VSI48	GCA_050476085.1	GCA_029011255.1	0	9	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C8814	VSI48	GCA_050480515.1	GCA_029011255.1	0.5	23	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C8810	VSI48	GCA_050481105.1	GCA_029011255.1	0.5	22	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C2195	VSI48	GCA_050481115.1	GCA_029011255.1	0.5	21	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C2194	VSI48	GCA_050481685.1	GCA_029011255.1	0.5	20	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1225	VSI48	GCA_050481695.1	GCA_029011255.1	0.9473684210526315	41	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1224	VSI48	GCA_050482265.1	GCA_029011255.1	0.9473684210526315	42	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C8816	VSI48	GCA_050485045.1	GCA_029011255.1	0.9285714285714286	43	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C8811	VSI48	GCA_050485055.1	GCA_029011255.1	0.9166666666666666	44	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C2198	VSI48	GCA_050485625.1	GCA_029011255.1	0.9444444444444444	40	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C2196	VSI48	GCA_050485635.1	GCA_029011255.1	0.9411764705882353	39	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1228	VSI48	GCA_050486705.1	GCA_029011255.1	0.875	48	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1226	VSI48	GCA_050486715.1	GCA_029011255.1	0.6666666666666666	14	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1576	VSI48	GCA_050491675.1	GCA_029011255.1	0.8888888888888888	52	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1574	VSI48	GCA_050491685.1	GCA_029011255.1	0.8888888888888888	53	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1552	VSI48	GCA_050492125.1	GCA_029011255.1	0.9	67	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1551	VSI48	GCA_050492135.1	GCA_029011255.1	0.9	65	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	H797	VSI48	GCA_050505635.1	GCA_029011255.1	0.875	46	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	H813	VSI48	GCA_050505645.1	GCA_029011255.1	0.875	47	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6489	VSI48	GCA_050506665.1	GCA_029011255.1	0.75	15	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6504	VSI48	GCA_050506675.1	GCA_029011255.1	0.75	16	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5882	VSI48	GCA_050506685.1	GCA_029011255.1	0.6666666666666666	29	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5881	VSI48	GCA_050506695.1	GCA_029011255.1	0.6666666666666666	30	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5874	VSI48	GCA_050506725.1	GCA_029011255.1	0	8	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5873	VSI48	GCA_050506735.1	GCA_029011255.1	0	7	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5846	VSI48	GCA_050506745.1	GCA_029011255.1	0.9230769230769231	68	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5844	VSI48	GCA_050506755.1	GCA_029011255.1	0.9	69	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6411	VSI48	GCA_050506765.1	GCA_029011255.1	0.6666666666666666	28	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6409	VSI48	GCA_050506775.1	GCA_029011255.1	0	6	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6391	VSI48	GCA_050506815.1	GCA_029011255.1	0.8333333333333334	57	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6389	VSI48	GCA_050506825.1	GCA_029011255.1	0.5	19	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6388	VSI48	GCA_050506865.1	GCA_029011255.1	0.8333333333333334	58	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6375	VSI48	GCA_050506875.1	GCA_029011255.1	0.6666666666666666	13	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5858	VSI48	GCA_050506885.1	GCA_029011255.1	0.9166666666666666	37	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5845	VSI48	GCA_050506905.1	GCA_029011255.1	0.9166666666666666	38	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1545	VSI48	GCA_050506915.1	GCA_029011255.1	0	5	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1544	VSI48	GCA_050506925.1	GCA_029011255.1	0	4	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1542	VSI48	GCA_050506935.1	GCA_029011255.1	0	3	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1538	VSI48	GCA_050506985.1	GCA_029011255.1	0	2	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1335	VSI48	GCA_050506995.1	GCA_029011255.1	0.5	18	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1337	VSI48	GCA_050507065.1	GCA_029011255.1	0.5	17	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1469	VSI48	GCA_050507075.1	GCA_029011255.1	0.9	64	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1468	VSI48	GCA_050507105.1	GCA_029011255.1	0.9	63	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5822	VSI48	GCA_050516645.1	GCA_029011255.1	0.6666666666666666	35	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5819	VSI48	GCA_050516655.1	GCA_029011255.1	0.6666666666666666	36	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6697	VSI48	GCA_050516665.1	GCA_029011255.1	0.8333333333333334	50	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6696	VSI48	GCA_050516675.1	GCA_029011255.1	0.6666666666666666	27	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	UMB6935B	VSI48	GCF_049262565.1	GCA_029011255.1	0.5	34	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	5245	VSI48	GCF_053117575.1	GCA_029011255.1	0.8333333333333334	56	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	5410	VSI48	GCF_053117585.1	GCA_029011255.1	0.8571428571428571	70	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	5034	VSI48	GCF_053117655.1	GCA_029011255.1	0.8	49	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	4953	VSI48	GCF_053117665.1	GCA_029011255.1	0.8333333333333334	51	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	4774	VSI48	GCF_053117675.1	GCA_029011255.1	0.9230769230769231	45	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	4638	VSI48	GCF_053117685.1	GCA_029011255.1	0.8333333333333334	55	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	4153	VSI48	GCF_053117695.1	GCA_029011255.1	0.8	32	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	2819	VSI48	GCF_053117705.1	GCA_029011255.1	0.8333333333333334	54	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	BX5936	VSI48	GCF_906464925.1	GCA_029011255.1	0.875	72	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	VSI48	VSI36	GCA_029011255.1	GCA_029011395.1	0.5	11	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	VSI36	VSI36	GCA_029011395.1	GCA_029011395.1	0	25	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	VSI19	VSI36	GCA_029011535.1	GCA_029011395.1	1	33	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	VSI09	VSI36	GCA_029011745.1	GCA_029011395.1	0.5	1	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	H820	VSI36	GCA_050469755.1	GCA_029011395.1	0.6666666666666666	59	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	H815	VSI36	GCA_050471105.1	GCA_029011395.1	0	26	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1578	VSI36	GCA_050472745.1	GCA_029011395.1	0.8	66	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1577	VSI36	GCA_050472755.1	GCA_029011395.1	0.7142857142857143	71	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1555	VSI36	GCA_050473345.1	GCA_029011395.1	0.5	12	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1554	VSI36	GCA_050473355.1	GCA_029011395.1	0	24	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1539	VSI36	GCA_050473905.1	GCA_029011395.1	0.8181818181818182	62	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1473	VSI36	GCA_050474485.1	GCA_029011395.1	0.5	10	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1472	VSI36	GCA_050474495.1	GCA_029011395.1	0.6666666666666666	60	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1336	VSI36	GCA_050475565.1	GCA_029011395.1	0.6666666666666666	61	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1329	VSI36	GCA_050475575.1	GCA_029011395.1	0.5	31	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1321	VSI36	GCA_050476085.1	GCA_029011395.1	0.5	9	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C8814	VSI36	GCA_050480515.1	GCA_029011395.1	0	23	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C8810	VSI36	GCA_050481105.1	GCA_029011395.1	0	22	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C2195	VSI36	GCA_050481115.1	GCA_029011395.1	0	21	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C2194	VSI36	GCA_050481685.1	GCA_029011395.1	0	20	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1225	VSI36	GCA_050481695.1	GCA_029011395.1	0.8947368421052632	41	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1224	VSI36	GCA_050482265.1	GCA_029011395.1	0.8947368421052632	42	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C8816	VSI36	GCA_050485045.1	GCA_029011395.1	0.8571428571428571	43	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C8811	VSI36	GCA_050485055.1	GCA_029011395.1	0.8333333333333334	44	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C2198	VSI36	GCA_050485625.1	GCA_029011395.1	0.8888888888888888	40	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C2196	VSI36	GCA_050485635.1	GCA_029011395.1	0.8823529411764706	39	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1228	VSI36	GCA_050486705.1	GCA_029011395.1	0.75	48	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1226	VSI36	GCA_050486715.1	GCA_029011395.1	0.3333333333333333	14	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1576	VSI36	GCA_050491675.1	GCA_029011395.1	0.7777777777777778	52	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1574	VSI36	GCA_050491685.1	GCA_029011395.1	0.7777777777777778	53	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1552	VSI36	GCA_050492125.1	GCA_029011395.1	0.8	67	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1551	VSI36	GCA_050492135.1	GCA_029011395.1	0.8	65	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	H797	VSI36	GCA_050505635.1	GCA_029011395.1	0.75	46	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	H813	VSI36	GCA_050505645.1	GCA_029011395.1	0.75	47	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6489	VSI36	GCA_050506665.1	GCA_029011395.1	0.5	15	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6504	VSI36	GCA_050506675.1	GCA_029011395.1	0.5	16	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5882	VSI36	GCA_050506685.1	GCA_029011395.1	0.3333333333333333	29	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5881	VSI36	GCA_050506695.1	GCA_029011395.1	0.3333333333333333	30	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5874	VSI36	GCA_050506725.1	GCA_029011395.1	0.5	8	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5873	VSI36	GCA_050506735.1	GCA_029011395.1	0.5	7	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5846	VSI36	GCA_050506745.1	GCA_029011395.1	0.8461538461538461	68	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5844	VSI36	GCA_050506755.1	GCA_029011395.1	0.8	69	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6411	VSI36	GCA_050506765.1	GCA_029011395.1	0.3333333333333333	28	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6409	VSI36	GCA_050506775.1	GCA_029011395.1	0.5	6	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6391	VSI36	GCA_050506815.1	GCA_029011395.1	0.6666666666666666	57	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6389	VSI36	GCA_050506825.1	GCA_029011395.1	0	19	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6388	VSI36	GCA_050506865.1	GCA_029011395.1	0.6666666666666666	58	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6375	VSI36	GCA_050506875.1	GCA_029011395.1	0.75	13	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5858	VSI36	GCA_050506885.1	GCA_029011395.1	0.9230769230769231	37	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5845	VSI36	GCA_050506905.1	GCA_029011395.1	0.8333333333333334	38	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1545	VSI36	GCA_050506915.1	GCA_029011395.1	0.5	5	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1544	VSI36	GCA_050506925.1	GCA_029011395.1	0.5	4	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1542	VSI36	GCA_050506935.1	GCA_029011395.1	0.5	3	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1538	VSI36	GCA_050506985.1	GCA_029011395.1	0.5	2	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1335	VSI36	GCA_050506995.1	GCA_029011395.1	0	18	25	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
