Name,Protein id,Contig id,Start,Stop,Strand,Element symbol,Element name,Scope,Type,Subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference,% Identity to reference,Alignment length,Closest reference accession,Closest reference name,HMM accession,HMM description
GCF_049262565.1,,NZ_CP185999.1,21851,22585,+,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),core,AMR,AMR,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,EXACTX,245,245,100.0,100.0,245,WP_001038790.1,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),,
GCF_053117575.1,,NZ_CP181216.1,883721,885637,+,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100.0,100.0,639,WP_002364936.1,tetracycline resistance ribosomal protection protein Tet(M),,
GCF_053117575.1,,NZ_CP181216.1,1535738,1536472,-,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),core,AMR,AMR,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,EXACTX,245,245,100.0,100.0,245,WP_002292226.1,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),,
GCF_053117575.1,,NZ_CP181216.1,1540802,1541308,-,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIALX,169,287,58.89,99.41,169,WP_002294505.1,aminoglycoside nucleotidyltransferase ANT(6)-Ia,,
GCF_053117575.1,,NZ_CP181216.1,1541791,1542582,-,aph(3')-IIIa,aminoglycoside O-phosphotransferase APH(3')-IIIa,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,EXACTX,264,264,100.0,100.0,264,WP_001096887.1,aminoglycoside O-phosphotransferase APH(3')-IIIa,,
GCF_053117575.1,,NZ_CP181216.1,1542678,1543217,-,sat4,streptothricin N-acetyltransferase Sat4,core,AMR,AMR,STREPTOTHRICIN,STREPTOTHRICIN,EXACTX,180,180,100.0,100.0,180,WP_000627290.1,streptothricin N-acetyltransferase Sat4,,
GCF_053117575.1,,NZ_CP181216.1,1543217,1544011,-,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIALX,265,302,87.75,100.0,265,WP_001255866.1,aminoglycoside nucleotidyltransferase ANT(6)-Ia,,
GCF_053117575.1,,NZ_CP181216.1,1544184,1545620,-,aac(6')-Ie/aph(2'')-Ia,bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,EXACTX,479,479,100.0,100.0,479,WP_001028144.1,bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia,,
GCF_053117575.1,,NZ_CP181216.1,1546450,1547184,-,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),core,AMR,AMR,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,EXACTX,245,245,100.0,100.0,245,WP_002292226.1,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),,
GCF_053117575.1,,NZ_CP181216.1,2423346,2424839,-,lsa(A),ABC-F type ribosomal protection protein Lsa(A),core,AMR,AMR,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,BLASTX,498,498,100.0,99.0,498,WP_002398829.1,ABC-F type ribosomal protection protein Lsa(A),,
GCF_053117585.1,,NZ_CP181214.1,159223,159717,+,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,165,165,100.0,100.0,165,WP_000868795.1,trimethoprim-resistant dihydrofolate reductase DfrG,,
GCF_053117585.1,,NZ_CP181214.1,911184,913100,+,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100.0,100.0,639,WP_002364936.1,tetracycline resistance ribosomal protection protein Tet(M),,
GCF_053117585.1,,NZ_CP181214.1,1559069,1559818,-,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIALX,250,287,87.11,100.0,250,WP_002294505.1,aminoglycoside nucleotidyltransferase ANT(6)-Ia,,
GCF_053117585.1,,NZ_CP181214.1,1559991,1561427,-,aac(6')-Ie/aph(2'')-Ia,bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,EXACTX,479,479,100.0,100.0,479,WP_001028144.1,bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia,,
GCF_053117585.1,,NZ_CP181214.1,1562257,1562991,-,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),core,AMR,AMR,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,EXACTX,245,245,100.0,100.0,245,WP_002292226.1,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),,
GCF_053117585.1,,NZ_CP181214.1,1567506,1568150,+,catA,type A-8 chloramphenicol O-acetyltransferase,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,215,215,100.0,100.0,215,WP_002352254.1,type A-8 chloramphenicol O-acetyltransferase,,
GCF_053117585.1,,NZ_CP181214.1,1569208,1570053,+,str,streptomycin adenylyltransferase Str,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,282,282,100.0,100.0,282,WP_010711054.1,streptomycin adenylyltransferase Str,,
GCF_053117585.1,,NZ_CP181214.1,2358348,2359841,-,lsa(A),ABC-F type ribosomal protection protein Lsa(A),core,AMR,AMR,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,BLASTX,498,498,100.0,99.4,498,WP_002365053.1,ABC-F type ribosomal protection protein Lsa(A),,
GCF_053117655.1,,NZ_CP181220.1,821941,823857,+,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100.0,100.0,639,WP_002364936.1,tetracycline resistance ribosomal protection protein Tet(M),,
GCF_053117655.1,,NZ_CP181220.1,1473425,1474159,-,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),core,AMR,AMR,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,EXACTX,245,245,100.0,100.0,245,WP_002292226.1,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),,
GCF_053117655.1,,NZ_CP181220.1,1478487,1479347,-,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,287,287,100.0,100.0,287,WP_002294505.1,aminoglycoside nucleotidyltransferase ANT(6)-Ia,,
GCF_053117655.1,,NZ_CP181220.1,1484766,1485566,-,lsa(E),ABC-F type ribosomal protection protein Lsa(E),core,AMR,AMR,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,PARTIALX,267,494,53.85,99.25,267,WP_002294513.1,ABC-F type ribosomal protection protein Lsa(E),,
GCF_053117655.1,,NZ_CP181220.1,1489147,1489653,-,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIALX,169,287,58.89,99.41,169,WP_002294505.1,aminoglycoside nucleotidyltransferase ANT(6)-Ia,,
GCF_053117655.1,,NZ_CP181220.1,1490134,1490925,-,aph(3')-IIIa,aminoglycoside O-phosphotransferase APH(3')-IIIa,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,EXACTX,264,264,100.0,100.0,264,WP_001096887.1,aminoglycoside O-phosphotransferase APH(3')-IIIa,,
GCF_053117655.1,,NZ_CP181220.1,1491203,1491562,-,sat4,streptothricin N-acetyltransferase Sat4,core,AMR,AMR,STREPTOTHRICIN,STREPTOTHRICIN,INTERNAL_STOP,120,180,66.67,95.83,120,WP_000627290.1,streptothricin N-acetyltransferase Sat4,,
GCF_053117655.1,,NZ_CP181220.1,1491562,1492359,-,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIALX,266,302,87.75,99.62,266,WP_001255866.1,aminoglycoside nucleotidyltransferase ANT(6)-Ia,,
GCF_053117655.1,,NZ_CP181220.1,1494803,1495537,-,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),core,AMR,AMR,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,EXACTX,245,245,100.0,100.0,245,WP_002292226.1,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),,
GCF_053117655.1,,NZ_CP181220.1,2258736,2260229,-,lsa(A),ABC-F type ribosomal protection protein Lsa(A),core,AMR,AMR,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,BLASTX,498,498,100.0,99.0,498,WP_002398829.1,ABC-F type ribosomal protection protein Lsa(A),,
GCF_053117665.1,,NZ_CP181222.1,652358,653851,+,lsa(A),ABC-F type ribosomal protection protein Lsa(A),core,AMR,AMR,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,BLASTX,498,498,100.0,99.6,498,WP_002365053.1,ABC-F type ribosomal protection protein Lsa(A),,
GCF_053117665.1,,NZ_CP181222.1,2666380,2668296,+,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100.0,100.0,639,WP_000691746.1,tetracycline resistance ribosomal protection protein Tet(M),,
GCF_053117665.1,,NZ_CP181224.1,43578,44117,+,sat4,streptothricin N-acetyltransferase Sat4,core,AMR,AMR,STREPTOTHRICIN,STREPTOTHRICIN,EXACTX,180,180,100.0,100.0,180,WP_000627290.1,streptothricin N-acetyltransferase Sat4,,
GCF_053117665.1,,NZ_CP181224.1,44213,45004,+,aph(3')-IIIa,aminoglycoside O-phosphotransferase APH(3')-IIIa,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,EXACTX,264,264,100.0,100.0,264,WP_001096887.1,aminoglycoside O-phosphotransferase APH(3')-IIIa,,
GCF_053117665.1,,NZ_CP181225.1,39639,40544,+,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,302,302,100.0,100.0,302,WP_001255866.1,aminoglycoside nucleotidyltransferase ANT(6)-Ia,,
GCF_053117665.1,,NZ_CP181225.1,40544,41083,+,sat4,streptothricin N-acetyltransferase Sat4,core,AMR,AMR,STREPTOTHRICIN,STREPTOTHRICIN,EXACTX,180,180,100.0,100.0,180,WP_000627290.1,streptothricin N-acetyltransferase Sat4,,
GCF_053117665.1,,NZ_CP181225.1,41179,41970,+,aph(3')-IIIa,aminoglycoside O-phosphotransferase APH(3')-IIIa,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,EXACTX,264,264,100.0,100.0,264,WP_001096887.1,aminoglycoside O-phosphotransferase APH(3')-IIIa,,
GCF_053117665.1,,NZ_CP181225.1,42723,43457,+,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),core,AMR,AMR,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,EXACTX,245,245,100.0,100.0,245,WP_002292226.1,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),,
GCF_053117675.1,,NZ_CP181226.1,6137,8635,+,gyrA_S83Y,Enterococcus faecalis quinolone resistant GyrA,core,AMR,POINT,QUINOLONE,QUINOLONE,POINTX,833,833,100.0,99.64,833,WP_033785346.1,DNA gyrase subunit A GyrA,,
GCF_053117675.1,,NZ_CP181226.1,1501361,1503820,-,parC_S80I,Enterococcus faecalis quinolone resistant ParC,core,AMR,POINT,QUINOLONE,QUINOLONE,POINTX,820,820,100.0,99.76,820,WP_002371880.1,DNA topoisomerase IV subunit A ParC,,
GCF_053117675.1,,NZ_CP181226.1,1543787,1544506,-,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),core,AMR,AMR,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,BLASTX,240,245,97.96,97.92,240,WP_002292226.1,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),,
GCF_053117675.1,,NZ_CP181226.1,1548849,1549709,-,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,287,287,100.0,100.0,287,WP_002294505.1,aminoglycoside nucleotidyltransferase ANT(6)-Ia,,
GCF_053117675.1,,NZ_CP181226.1,1553595,1554395,-,lnu(B),lincosamide nucleotidyltransferase Lnu(B),core,AMR,AMR,LINCOSAMIDE,LINCOSAMIDE,EXACTX,267,267,100.0,100.0,267,WP_002294514.1,lincosamide nucleotidyltransferase Lnu(B),,
GCF_053117675.1,,NZ_CP181226.1,1554452,1555933,-,lsa(E),ABC-F type ribosomal protection protein Lsa(E),core,AMR,AMR,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,EXACTX,494,494,100.0,100.0,494,WP_002294513.1,ABC-F type ribosomal protection protein Lsa(E),,
GCF_053117675.1,,NZ_CP181226.1,1558003,1558809,-,spw,ANT(9) family aminoglycoside nucleotidyltransferase Spw,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,EXACTX,269,269,100.0,100.0,269,WP_002294509.1,ANT(9) family aminoglycoside nucleotidyltransferase Spw,,
GCF_053117675.1,,NZ_CP181226.1,1559514,1560020,-,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIALX,169,287,58.89,99.41,169,WP_002294505.1,aminoglycoside nucleotidyltransferase ANT(6)-Ia,,
GCF_053117675.1,,NZ_CP181226.1,1560503,1561294,-,aph(3')-IIIa,aminoglycoside O-phosphotransferase APH(3')-IIIa,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,EXACTX,264,264,100.0,100.0,264,WP_001096887.1,aminoglycoside O-phosphotransferase APH(3')-IIIa,,
GCF_053117675.1,,NZ_CP181226.1,1561390,1561929,-,sat4,streptothricin N-acetyltransferase Sat4,core,AMR,AMR,STREPTOTHRICIN,STREPTOTHRICIN,EXACTX,180,180,100.0,100.0,180,WP_000627290.1,streptothricin N-acetyltransferase Sat4,,
GCF_053117675.1,,NZ_CP181226.1,1561929,1562723,-,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIALX,265,302,87.75,100.0,265,WP_001255866.1,aminoglycoside nucleotidyltransferase ANT(6)-Ia,,
GCF_053117675.1,,NZ_CP181226.1,1565153,1565887,-,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),core,AMR,AMR,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,EXACTX,245,245,100.0,100.0,245,WP_002292226.1,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),,
GCF_053117675.1,,NZ_CP181226.1,2299482,2300975,-,lsa(A),ABC-F type ribosomal protection protein Lsa(A),core,AMR,AMR,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,BLASTX,498,498,100.0,99.6,498,WP_002398829.1,ABC-F type ribosomal protection protein Lsa(A),,
GCF_053117675.1,,NZ_CP181226.1,2318834,2319328,+,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,165,165,100.0,100.0,165,WP_000868795.1,trimethoprim-resistant dihydrofolate reductase DfrG,,
GCF_053117675.1,,NZ_CP181226.1,2829757,2831130,-,tet(L),tetracycline efflux MFS transporter Tet(L),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,458,458,100.0,100.0,458,WP_001574277.1,tetracycline efflux MFS transporter Tet(L),,
GCF_053117675.1,,NZ_CP181226.1,2831327,2833243,-,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100.0,100.0,639,WP_001574275.1,tetracycline resistance ribosomal protection protein Tet(M),,
GCF_053117685.1,,NZ_CP181229.1,720484,721977,+,lsa(A),ABC-F type ribosomal protection protein Lsa(A),core,AMR,AMR,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,BLASTX,498,498,100.0,99.0,498,WP_002398829.1,ABC-F type ribosomal protection protein Lsa(A),,
GCF_053117685.1,,NZ_CP181229.1,1561510,1562244,+,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),core,AMR,AMR,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,EXACTX,245,245,100.0,100.0,245,WP_002292226.1,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),,
GCF_053117685.1,,NZ_CP181229.1,1563074,1564510,+,aac(6')-Ie/aph(2'')-Ia,bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,BLASTX,479,479,100.0,99.79,479,WP_001028144.1,bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia,,
GCF_053117685.1,,NZ_CP181229.1,1564683,1565477,+,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIALX,265,302,87.75,100.0,265,WP_001255866.1,aminoglycoside nucleotidyltransferase ANT(6)-Ia,,
GCF_053117685.1,,NZ_CP181229.1,1565477,1566016,+,sat4,streptothricin N-acetyltransferase Sat4,core,AMR,AMR,STREPTOTHRICIN,STREPTOTHRICIN,EXACTX,180,180,100.0,100.0,180,WP_000627290.1,streptothricin N-acetyltransferase Sat4,,
GCF_053117685.1,,NZ_CP181229.1,1566112,1566903,+,aph(3')-IIIa,aminoglycoside O-phosphotransferase APH(3')-IIIa,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,EXACTX,264,264,100.0,100.0,264,WP_001096887.1,aminoglycoside O-phosphotransferase APH(3')-IIIa,,
GCF_053117685.1,,NZ_CP181229.1,1567386,1567892,+,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIALX,169,287,58.89,99.41,169,WP_002294505.1,aminoglycoside nucleotidyltransferase ANT(6)-Ia,,
GCF_053117685.1,,NZ_CP181229.1,1572222,1572956,+,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),core,AMR,AMR,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,EXACTX,245,245,100.0,100.0,245,WP_002292226.1,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),,
GCF_053117685.1,,NZ_CP181229.1,2220971,2222887,-,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100.0,100.0,639,WP_002364936.1,tetracycline resistance ribosomal protection protein Tet(M),,
GCF_053117695.1,,NZ_CP181234.1,289916,291832,+,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100.0,99.53,639,WP_063856111.1,tetracycline resistance ribosomal protection protein Tet(M),,
GCF_053117695.1,,NZ_CP181234.1,798638,800131,+,lsa(A),ABC-F type ribosomal protection protein Lsa(A),core,AMR,AMR,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,BLASTX,498,498,100.0,99.8,498,WP_002411322.1,ABC-F type ribosomal protection protein Lsa(A),,
GCF_053117695.1,,NZ_CP181235.1,48441,49877,-,aac(6')-Ie/aph(2'')-Ia,bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,EXACTX,479,479,100.0,100.0,479,WP_001028144.1,bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia,,
GCF_053117695.1,,NZ_CP181236.1,27939,28673,-,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),core,AMR,AMR,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,EXACTX,245,245,100.0,100.0,245,WP_002292226.1,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),,
GCF_053117695.1,,NZ_CP181236.1,32083,32727,+,catA,type A-7 chloramphenicol O-acetyltransferase,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,215,215,100.0,100.0,215,WP_002331392.1,type A-7 chloramphenicol O-acetyltransferase,,
GCF_053117705.1,,NZ_CP181238.1,883340,885256,+,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100.0,100.0,639,WP_002364936.1,tetracycline resistance ribosomal protection protein Tet(M),,
GCF_053117705.1,,NZ_CP181238.1,1533670,1534404,-,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),core,AMR,AMR,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,EXACTX,245,245,100.0,100.0,245,WP_002292226.1,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),,
GCF_053117705.1,,NZ_CP181238.1,1538734,1539240,-,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIALX,169,287,58.89,99.41,169,WP_002294505.1,aminoglycoside nucleotidyltransferase ANT(6)-Ia,,
GCF_053117705.1,,NZ_CP181238.1,1539723,1540514,-,aph(3')-IIIa,aminoglycoside O-phosphotransferase APH(3')-IIIa,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,EXACTX,264,264,100.0,100.0,264,WP_001096887.1,aminoglycoside O-phosphotransferase APH(3')-IIIa,,
GCF_053117705.1,,NZ_CP181238.1,1540610,1541149,-,sat4,streptothricin N-acetyltransferase Sat4,core,AMR,AMR,STREPTOTHRICIN,STREPTOTHRICIN,EXACTX,180,180,100.0,100.0,180,WP_000627290.1,streptothricin N-acetyltransferase Sat4,,
