genome_accession	source	ST	BioProject	replicon_accession	replicon_description	localisation_classification	replicon_length_bp	aac(6')-Ie/aph(2'')-Ia	aadD1	ant(6)-Ia	aph(3')-IIIa	catA	dfrF	dfrG	erm(B)	fexA	gyrA_S83I	gyrA_S83R	gyrA_S83Y	lnu(B)	lsa(A)	lsa(E)	optrA	parC_S80I	rpsJ_RATHK53Q	sat4	spw	str	tet(L)	tet(M)	tet(S)	vanA	vanB	vanH-A	vanH-B	vanR-A	vanR-B	vanS-A	vanS-B	vanW-B	vanX-A	vanX-B	vanY-A	vanY-B	vanZ-A
GCA_050474495.1	Bacteraemia	778	PRJNA1185791	CP175042.1	unnamed1	Plasmid	67144	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050474495.1	Bacteraemia	778	PRJNA1185791	CP175045.1	chromosome	Chromosome	3208846	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050475565.1	Bacteraemia	28	PRJNA1185791	CP175029.1	unnamed2	Plasmid	56318	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050475565.1	Bacteraemia	28	PRJNA1185791	CP175030.1	chromosome	Chromosome	3072001	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050475575.1	Bacteraemia	179	PRJNA1185791	CP175027.1	chromosome	Chromosome	2993298	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050476085.1	Bacteraemia	21	PRJNA1185791	CP175020.1	chromosome	Chromosome	3008707	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050480515.1	Bacteraemia	40	PRJNA1185791	CP174930.1	chromosome	Chromosome	2947309	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050481105.1	Bacteraemia	40	PRJNA1185791	CP174928.1	chromosome	Chromosome	2974126	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050481115.1	Bacteraemia	40	PRJNA1185791	CP174925.1	chromosome	Chromosome	2993907	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050481685.1	Bacteraemia	40	PRJNA1185791	CP174922.1	chromosome	Chromosome	2993910	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050481695.1	Bacteraemia	6	PRJNA1185791	CP174918.1	unnamed1	Plasmid	32284	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	1	0	1
GCA_050481695.1	Bacteraemia	6	PRJNA1185791	CP174919.1	unnamed2	Plasmid	66291	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050481695.1	Bacteraemia	6	PRJNA1185791	CP174921.1	chromosome	Chromosome	3187783	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050482265.1	Bacteraemia	6	PRJNA1185791	CP174914.1	chromosome	Chromosome	3187794	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050482265.1	Bacteraemia	6	PRJNA1185791	CP174916.1	unnamed3	Plasmid	32284	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	1	0	1
GCA_050482265.1	Bacteraemia	6	PRJNA1185791	CP174917.1	unnamed1	Plasmid	66291	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050485045.1	Bacteraemia	6	PRJNA1185791	CP174866.1	unnamed2	Plasmid	28345	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	1	0	1
GCA_050485045.1	Bacteraemia	6	PRJNA1185791	CP174869.1	chromosome	Chromosome	3260673	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050485055.1	Bacteraemia	16	PRJNA1185791	CP174863.1	unnamed4	Plasmid	27754	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	1	0	1
GCA_050485055.1	Bacteraemia	16	PRJNA1185791	CP174864.1	chromosome	Chromosome	3241590	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050485625.1	Bacteraemia	6	PRJNA1185791	CP174857.1	unnamed1	Plasmid	65719	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050485625.1	Bacteraemia	6	PRJNA1185791	CP174858.1	unnamed2	Plasmid	28345	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	1	0	1
GCA_050485625.1	Bacteraemia	6	PRJNA1185791	CP174859.1	chromosome	Chromosome	3276744	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050485635.1	Bacteraemia	Unassigned	PRJNA1185791	CP174854.1	unnamed1	Plasmid	65538	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050485635.1	Bacteraemia	Unassigned	PRJNA1185791	CP174855.1	unnamed2	Plasmid	27938	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	1	0	1
GCA_050485635.1	Bacteraemia	Unassigned	PRJNA1185791	CP174856.1	chromosome	Chromosome	3260275	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050486705.1	Bacteraemia	40	PRJNA1185791	CP174840.1	unnamed1	Plasmid	134136	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050486705.1	Bacteraemia	40	PRJNA1185791	CP174842.1	chromosome	Chromosome	2965852	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050486715.1	Bacteraemia	Unassigned	PRJNA1185791	CP174839.1	chromosome	Chromosome	2786849	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050491675.1	Bacteraemia	480	PRJNA1185791	CP175116.1	chromosome	Chromosome	2792402	1	0	0	1	0	0	1	2	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050491685.1	Bacteraemia	480	PRJNA1185791	CP175113.1	chromosome	Chromosome	2792402	1	0	0	1	0	0	1	2	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050492125.1	Bacteraemia	6	PRJNA1185791	CP175110.1	chromosome	Chromosome	2988292	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050492125.1	Bacteraemia	6	PRJNA1185791	CP175112.1	unnamed1	Plasmid	139524	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050492135.1	Bacteraemia	6	PRJNA1185791	CP175106.1	chromosome	Chromosome	3022894	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050492135.1	Bacteraemia	6	PRJNA1185791	CP175108.1	unnamed3	Plasmid	93191	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050492135.1	Bacteraemia	6	PRJNA1185791	CP175109.1	unnamed1	Plasmid	46333	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050505635.1	Bacteraemia	16	PRJNA1185791	CP175162.1	chromosome	Chromosome	2873527	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050505645.1	Bacteraemia	16	PRJNA1185791	CP175163.1	chromosome	Chromosome	2873526	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506665.1	Bacteraemia	16	PRJNA1185791	CP175301.1	chromosome	Chromosome	2908051	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506675.1	Bacteraemia	16	PRJNA1185791	CP175300.1	chromosome	Chromosome	2908051	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506685.1	Bacteraemia	179	PRJNA1185791	CP175298.1	chromosome	Chromosome	3086816	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506695.1	Bacteraemia	179	PRJNA1185791	CP175296.1	chromosome	Chromosome	3086814	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506725.1	Bacteraemia	40	PRJNA1185791	CP175283.1	chromosome	Chromosome	2858939	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506735.1	Bacteraemia	40	PRJNA1185791	CP175280.1	chromosome	Chromosome	2858939	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	CP175276.1	chromosome	Chromosome	3111171	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	1	0	1	1	0	1	0	1	0
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	CP175277.1	unnamed2	Plasmid	128835	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506755.1	Bacteraemia	6	PRJNA1185791	CP175273.1	chromosome	Chromosome	3109149	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	1	0	1	1	0	1	0	1	0
GCA_050506755.1	Bacteraemia	6	PRJNA1185791	CP175274.1	unnamed3	Plasmid	82234	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506765.1	Bacteraemia	40	PRJNA1185791	CP175270.1	unnamed2	Plasmid	73879	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506765.1	Bacteraemia	40	PRJNA1185791	CP175271.1	chromosome	Chromosome	2894747	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506775.1	Bacteraemia	Unassigned	PRJNA1185791	CP175268.1	chromosome	Chromosome	2888006	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506815.1	Bacteraemia	179	PRJNA1185791	CP175260.1	chromosome	Chromosome	2948300	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506825.1	Bacteraemia	40	PRJNA1185791	CP175258.1	chromosome	Chromosome	3017096	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506865.1	Bacteraemia	16	PRJNA1185791	CP175257.1	chromosome	Chromosome	2847511	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506875.1	Bacteraemia	1271	PRJNA1185791	CP175255.1	chromosome	Chromosome	2948600	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506875.1	Bacteraemia	1271	PRJNA1185791	CP175256.1	unnamed1	Plasmid	49320	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506885.1	Bacteraemia	1112	PRJNA1185791	CP175251.1	unnamed1	Plasmid	86004	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	1	0	1
GCA_050506885.1	Bacteraemia	1112	PRJNA1185791	CP175253.1	unnamed3	Plasmid	55988	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506885.1	Bacteraemia	1112	PRJNA1185791	CP175254.1	chromosome	Chromosome	3020926	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506905.1	Bacteraemia	778	PRJNA1185791	CP175239.1	chromosome	Chromosome	3124614	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506905.1	Bacteraemia	778	PRJNA1185791	CP175240.1	unnamed2	Plasmid	73589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1
GCA_050506905.1	Bacteraemia	778	PRJNA1185791	CP175241.1	unnamed3	Plasmid	68931	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506915.1	Bacteraemia	19	PRJNA1185791	CP175237.1	chromosome	Chromosome	2873641	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506925.1	Bacteraemia	19	PRJNA1185791	CP175233.1	chromosome	Chromosome	2873855	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506935.1	Bacteraemia	19	PRJNA1185791	CP175230.1	chromosome	Chromosome	2873857	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506985.1	Bacteraemia	19	PRJNA1185791	CP175228.1	chromosome	Chromosome	2873855	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050506995.1	Bacteraemia	179	PRJNA1185791	CP175225.1	chromosome	Chromosome	2898686	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050507065.1	Bacteraemia	179	PRJNA1185791	CP175224.1	chromosome	Chromosome	2898685	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050507075.1	Bacteraemia	6	PRJNA1185791	CP175221.1	chromosome	Chromosome	3154081	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050507075.1	Bacteraemia	6	PRJNA1185791	CP175222.1	unnamed1	Plasmid	65787	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050507105.1	Bacteraemia	6	PRJNA1185791	CP175219.1	chromosome	Chromosome	3154091	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050507105.1	Bacteraemia	6	PRJNA1185791	CP175220.1	unnamed1	Plasmid	65787	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050516645.1	Bacteraemia	220	PRJNA1185791	CP175406.1	chromosome	Chromosome	2969095	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050516655.1	Bacteraemia	220	PRJNA1185791	CP175400.1	chromosome	Chromosome	2969079	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050516665.1	Bacteraemia	179	PRJNA1185791	CP175396.1	unnamed1	Plasmid	129195	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050516665.1	Bacteraemia	179	PRJNA1185791	CP175397.1	chromosome	Chromosome	2942096	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050516675.1	Bacteraemia	179	PRJNA1185791	CP175395.1	chromosome	Chromosome	2936827	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_049262565.1	Reproductive	30	PRJNA316969	NZ_CP185997.1	chromosome	Chromosome	2891874	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_049262565.1	Reproductive	30	PRJNA316969	NZ_CP185999.1	pUMB6935B-2	Plasmid	53305	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_053117575.1	Reproductive	179	PRJNA1209846	NZ_CP181216.1	chromosome	Chromosome	2956378	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_053117585.1	Reproductive	16	PRJNA1209846	NZ_CP181214.1	chromosome	Chromosome	2932787	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_053117655.1	Reproductive	179	PRJNA1209846	NZ_CP181220.1	chromosome	Chromosome	2790331	0	0	1	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_053117665.1	Reproductive	40	PRJNA1209846	NZ_CP181222.1	chromosome	Chromosome	3118143	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_053117665.1	Reproductive	40	PRJNA1209846	NZ_CP181224.1	p4953.2	Plasmid	83755	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_053117665.1	Reproductive	40	PRJNA1209846	NZ_CP181225.1	p4953.3	Plasmid	52025	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_053117675.1	Reproductive	480	PRJNA1209846	NZ_CP181226.1	chromosome	Chromosome	2862424	0	0	1	1	0	0	1	2	0	0	0	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_053117685.1	Reproductive	179	PRJNA1209846	NZ_CP181229.1	chromosome	Chromosome	2917348	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_053117695.1	Reproductive	211	PRJNA1209846	NZ_CP181234.1	chromosome	Chromosome	2924729	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_053117695.1	Reproductive	211	PRJNA1209846	NZ_CP181235.1	p4153.1	Plasmid	61479	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
