genome_accession	source	ST	BioProject	AMR_gene	AMR_class	AMR_plot_class	AMRFinderPlus_contig_ID	replicon_accession	replicon_description	localisation_classification	evidence_used	replicon_length_bp	replicon_role	sequence_report_path	AMRFinderPlus_raw_record_ID
GCA_050471105.1	Bacteraemia	40	PRJNA1185791	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175093.1	CP175093.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2942728	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050471105.1/sequence_report.jsonl	GCA_050471105.1:1
GCA_050471105.1	Bacteraemia	40	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175093.1	CP175093.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2942728	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050471105.1/sequence_report.jsonl	GCA_050471105.1:2
GCA_050472745.1	Bacteraemia	6	PRJNA1185791	ant(6)-Ia	AMINOGLYCOSIDE	Aminoglycoside	CP175061.1	CP175061.1	unnamed1	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	67301	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050472745.1/sequence_report.jsonl	GCA_050472745.1:1
GCA_050472745.1	Bacteraemia	6	PRJNA1185791	aph(3')-IIIa	AMINOGLYCOSIDE	Aminoglycoside	CP175061.1	CP175061.1	unnamed1	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	67301	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050472745.1/sequence_report.jsonl	GCA_050472745.1:3
GCA_050472745.1	Bacteraemia	6	PRJNA1185791	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175061.1	CP175061.1	unnamed1	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	67301	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050472745.1/sequence_report.jsonl	GCA_050472745.1:4
GCA_050472745.1	Bacteraemia	6	PRJNA1185791	sat4	STREPTOTHRICIN	Other	CP175061.1	CP175061.1	unnamed1	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	67301	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050472745.1/sequence_report.jsonl	GCA_050472745.1:2
GCA_050472745.1	Bacteraemia	6	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	AMINOGLYCOSIDE	Aminoglycoside	CP175062.1	CP175062.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3118646	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050472745.1/sequence_report.jsonl	GCA_050472745.1:6
GCA_050472745.1	Bacteraemia	6	PRJNA1185791	dfrF	TRIMETHOPRIM	Other	CP175062.1	CP175062.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3118646	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050472745.1/sequence_report.jsonl	GCA_050472745.1:10
GCA_050472745.1	Bacteraemia	6	PRJNA1185791	dfrF	TRIMETHOPRIM	Other	CP175062.1	CP175062.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3118646	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050472745.1/sequence_report.jsonl	GCA_050472745.1:9
GCA_050472745.1	Bacteraemia	6	PRJNA1185791	gyrA_S83I	QUINOLONE	Other	CP175062.1	CP175062.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3118646	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050472745.1/sequence_report.jsonl	GCA_050472745.1:5
GCA_050472745.1	Bacteraemia	6	PRJNA1185791	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175062.1	CP175062.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3118646	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050472745.1/sequence_report.jsonl	GCA_050472745.1:11
GCA_050472745.1	Bacteraemia	6	PRJNA1185791	parC_S80I	QUINOLONE	Other	CP175062.1	CP175062.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3118646	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050472745.1/sequence_report.jsonl	GCA_050472745.1:8
GCA_050472745.1	Bacteraemia	6	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175062.1	CP175062.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3118646	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050472745.1/sequence_report.jsonl	GCA_050472745.1:12
GCA_050472745.1	Bacteraemia	6	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175062.1	CP175062.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3118646	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050472745.1/sequence_report.jsonl	GCA_050472745.1:7
GCA_050472755.1	Bacteraemia	53	PRJNA1185791	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175059.1	CP175059.1	unnamed1	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	42347	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050472755.1/sequence_report.jsonl	GCA_050472755.1:1
GCA_050472755.1	Bacteraemia	53	PRJNA1185791	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175059.1	CP175059.1	unnamed1	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	42347	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050472755.1/sequence_report.jsonl	GCA_050472755.1:4
GCA_050472755.1	Bacteraemia	53	PRJNA1185791	tet(L)	TETRACYCLINE	Tetracycline	CP175059.1	CP175059.1	unnamed1	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	42347	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050472755.1/sequence_report.jsonl	GCA_050472755.1:3
GCA_050472755.1	Bacteraemia	53	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175059.1	CP175059.1	unnamed1	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	42347	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050472755.1/sequence_report.jsonl	GCA_050472755.1:2
GCA_050472755.1	Bacteraemia	53	PRJNA1185791	dfrG	TRIMETHOPRIM	Other	CP175060.1	CP175060.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2745438	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050472755.1/sequence_report.jsonl	GCA_050472755.1:6
GCA_050472755.1	Bacteraemia	53	PRJNA1185791	gyrA_S83Y	QUINOLONE	Other	CP175060.1	CP175060.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2745438	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050472755.1/sequence_report.jsonl	GCA_050472755.1:5
GCA_050472755.1	Bacteraemia	53	PRJNA1185791	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175060.1	CP175060.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2745438	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050472755.1/sequence_report.jsonl	GCA_050472755.1:8
GCA_050472755.1	Bacteraemia	53	PRJNA1185791	parC_S80I	QUINOLONE	Other	CP175060.1	CP175060.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2745438	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050472755.1/sequence_report.jsonl	GCA_050472755.1:7
GCA_050473345.1	Bacteraemia	202	PRJNA1185791	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175058.1	CP175058.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2794695	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050473345.1/sequence_report.jsonl	GCA_050473345.1:1
GCA_050473355.1	Bacteraemia	21	PRJNA1185791	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175057.1	CP175057.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2841459	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050473355.1/sequence_report.jsonl	GCA_050473355.1:10
GCA_050473355.1	Bacteraemia	21	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175057.1	CP175057.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2841459	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050473355.1/sequence_report.jsonl	GCA_050473355.1:11
GCA_050473905.1	Bacteraemia	6	PRJNA1185791	catA	PHENICOL	Other	CP175054.1	CP175054.1	unnamed1	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	23077	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050473905.1/sequence_report.jsonl	GCA_050473905.1:2
GCA_050473905.1	Bacteraemia	6	PRJNA1185791	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175054.1	CP175054.1	unnamed1	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	23077	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050473905.1/sequence_report.jsonl	GCA_050473905.1:1
GCA_050473905.1	Bacteraemia	6	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	AMINOGLYCOSIDE	Aminoglycoside	CP175056.1	CP175056.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3104972	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050473905.1/sequence_report.jsonl	GCA_050473905.1:6
GCA_050473905.1	Bacteraemia	6	PRJNA1185791	ant(6)-Ia	AMINOGLYCOSIDE	Aminoglycoside	CP175056.1	CP175056.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3104972	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050473905.1/sequence_report.jsonl	GCA_050473905.1:9
GCA_050473905.1	Bacteraemia	6	PRJNA1185791	aph(3')-IIIa	AMINOGLYCOSIDE	Aminoglycoside	CP175056.1	CP175056.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3104972	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050473905.1/sequence_report.jsonl	GCA_050473905.1:7
GCA_050473905.1	Bacteraemia	6	PRJNA1185791	dfrF	TRIMETHOPRIM	Other	CP175056.1	CP175056.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3104972	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050473905.1/sequence_report.jsonl	GCA_050473905.1:11
GCA_050473905.1	Bacteraemia	6	PRJNA1185791	dfrF	TRIMETHOPRIM	Other	CP175056.1	CP175056.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3104972	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050473905.1/sequence_report.jsonl	GCA_050473905.1:4
GCA_050473905.1	Bacteraemia	6	PRJNA1185791	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175056.1	CP175056.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3104972	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050473905.1/sequence_report.jsonl	GCA_050473905.1:10
GCA_050473905.1	Bacteraemia	6	PRJNA1185791	gyrA_S83I	QUINOLONE	Other	CP175056.1	CP175056.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3104972	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050473905.1/sequence_report.jsonl	GCA_050473905.1:3
GCA_050473905.1	Bacteraemia	6	PRJNA1185791	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175056.1	CP175056.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3104972	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050473905.1/sequence_report.jsonl	GCA_050473905.1:12
GCA_050473905.1	Bacteraemia	6	PRJNA1185791	parC_S80I	QUINOLONE	Other	CP175056.1	CP175056.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3104972	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050473905.1/sequence_report.jsonl	GCA_050473905.1:5
GCA_050473905.1	Bacteraemia	6	PRJNA1185791	sat4	STREPTOTHRICIN	Other	CP175056.1	CP175056.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3104972	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050473905.1/sequence_report.jsonl	GCA_050473905.1:8
GCA_050473905.1	Bacteraemia	6	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175056.1	CP175056.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3104972	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050473905.1/sequence_report.jsonl	GCA_050473905.1:13
