Genome,Source,ST,Study_ID,Contig_ID,Locus_number,Start,Stop,Strand,Best_reference_symbol,Best_reference_ID,Identity,Coverage,HSP_count,Matching_reference_IDs,Detection_status
GCA_050485055.1,Bacteraemia,16,PRJNA1185791,CP174860.1,1,1,3769,+,EF0485,WP_010710127,98.43451061571126,96.17151607963248,6,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050485055.1,Bacteraemia,16,PRJNA1185791,CP174861.1,2,37846,41763,+,EF0149,WP_011109430,93.77599999999998,99.5405819295559,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050485055.1,Bacteraemia,16,PRJNA1185791,CP174864.1,3,456377,460069,+,EF0485,WP_010710127,98.403,94.28279734558448,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050485625.1,Bacteraemia,6,PRJNA1185791,CP174859.1,1,2237238,2241131,-,EF0485,WP_010710127,94.67,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050485635.1,Bacteraemia,Unassigned,PRJNA1185791,CP174856.1,1,502681,506599,+,EF0485,WP_010710127,97.092,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050486705.1,Bacteraemia,40,PRJNA1185791,CP174840.1,1,123324,127214,+,asa1,WP_010785625,98.047,100.0,1,WP_010785625,accepted_present
GCA_050486715.1,Bacteraemia,Unassigned,PRJNA1185791,CP174839.1,1,370682,374599,+,EF0485,WP_010710127,96.299,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050491675.1,Bacteraemia,480,PRJNA1185791,CP175117.1,1,2870,6760,+,asa1,WP_010785625,97.353,100.0,1,WP_010785625,accepted_present
GCA_050491675.1,Bacteraemia,480,PRJNA1185791,CP175118.1,2,57183,61100,-,prgB/asc10,WP_002395058,95.484,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050491685.1,Bacteraemia,480,PRJNA1185791,CP175114.1,1,4136,8026,+,asa1,WP_010785625,97.353,100.0,1,WP_010785625,accepted_present
GCA_050491685.1,Bacteraemia,480,PRJNA1185791,CP175115.1,2,4467,8384,+,prgB/asc10,WP_002395058,95.484,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050492125.1,Bacteraemia,6,PRJNA1185791,CP175110.1,1,185943,189860,+,EF0149,WP_011109430,99.77,100.0,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050492125.1,Bacteraemia,6,PRJNA1185791,CP175110.1,2,451196,455089,+,EF0485,WP_010710127,94.67,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050492125.1,Bacteraemia,6,PRJNA1185791,CP175111.1,3,1,3918,+,EF0149,WP_011109430,95.0,99.5405819295559,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050492135.1,Bacteraemia,6,PRJNA1185791,CP175106.1,1,185943,189860,+,EF0149,WP_011109430,99.872,100.0,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050492135.1,Bacteraemia,6,PRJNA1185791,CP175106.1,2,451196,455089,+,EF0485,WP_010710127,94.67,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050492135.1,Bacteraemia,6,PRJNA1185791,CP175107.1,3,30692,34609,+,EF0149,WP_011109430,95.0,99.5405819295559,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050505635.1,Bacteraemia,16,PRJNA1185791,CP175162.1,1,2057430,2061347,-,EF0485,WP_010710127,100.0,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050505645.1,Bacteraemia,16,PRJNA1185791,CP175163.1,1,2276556,2280473,+,EF0485,WP_010710127,100.0,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050506665.1,Bacteraemia,16,PRJNA1185791,CP175301.1,1,367539,371456,+,EF0485,WP_010710127,100.0,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050506675.1,Bacteraemia,16,PRJNA1185791,CP175300.1,1,367539,371456,+,EF0485,WP_010710127,100.0,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050506685.1,Bacteraemia,179,PRJNA1185791,CP175298.1,1,134727,138644,+,EF0149,WP_011109430,99.974,100.0,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050506685.1,Bacteraemia,179,PRJNA1185791,CP175298.1,2,399994,403911,+,EF0485,WP_010710127,100.0,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050506695.1,Bacteraemia,179,PRJNA1185791,CP175296.1,1,134727,138644,+,EF0149,WP_011109430,99.974,100.0,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050506695.1,Bacteraemia,179,PRJNA1185791,CP175296.1,2,399994,403911,+,EF0485,WP_010710127,100.0,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050506725.1,Bacteraemia,40,PRJNA1185791,CP175285.1,1,57215,61076,+,asa1,WP_010785625,96.256,98.84348496530455,1,WP_010785625,accepted_present
GCA_050506725.1,Bacteraemia,40,PRJNA1185791,CP175285.1,2,118238,122128,+,asa1,WP_010785625,97.353,100.0,1,WP_010785625,accepted_present
GCA_050506735.1,Bacteraemia,40,PRJNA1185791,CP175282.1,1,1112,5002,+,asa1,WP_010785625,97.353,100.0,1,WP_010785625,accepted_present
GCA_050506745.1,Bacteraemia,6,PRJNA1185791,CP175276.1,1,2190259,2194152,-,EF0485,WP_010710127,94.67,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050506745.1,Bacteraemia,6,PRJNA1185791,CP175279.1,2,1,3900,+,EF0149,WP_011109430,94.0,99.5405819295559,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050506755.1,Bacteraemia,6,PRJNA1185791,CP175272.1,1,37239,41138,+,EF0149,WP_011109430,94.0,99.5405819295559,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050506755.1,Bacteraemia,6,PRJNA1185791,CP175273.1,2,165376,169269,+,EF0485,WP_010710127,94.67,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050506765.1,Bacteraemia,40,PRJNA1185791,CP175269.1,1,18644,22561,+,EF0149,WP_011109430,95.134,99.5405819295559,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050506775.1,Bacteraemia,Unassigned,PRJNA1185791,CP175266.1,1,72841,76758,+,prgB/asc10,WP_002395058,96.835,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050506815.1,Bacteraemia,179,PRJNA1185791,CP175259.1,1,1,3927,+,EF0485,WP_010710127,95.34,99.9744767738642,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050506815.1,Bacteraemia,179,PRJNA1185791,CP175260.1,2,134835,138752,+,EF0149,WP_011109430,99.974,100.0,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050506815.1,Bacteraemia,179,PRJNA1185791,CP175260.1,3,400241,404158,+,EF0485,WP_010710127,100.0,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050506865.1,Bacteraemia,16,PRJNA1185791,CP175257.1,1,405177,409094,+,EF0485,WP_010710127,100.0,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050506875.1,Bacteraemia,1271,PRJNA1185791,CP175255.1,1,478795,482685,+,EF0485,WP_010710127,95.712,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050506885.1,Bacteraemia,1112,PRJNA1185791,CP175251.1,1,69929,73828,+,EF0149,WP_011109430,93.949,99.5405819295559,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050506885.1,Bacteraemia,1112,PRJNA1185791,CP175254.1,2,364786,368676,+,EF0485,WP_010710127,95.789,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050506905.1,Bacteraemia,778,PRJNA1185791,CP175240.1,1,26343,30260,+,EF0149,WP_011109430,95.108,99.5405819295559,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050506905.1,Bacteraemia,778,PRJNA1185791,CP175243.1,2,11669,15595,+,EF0485,WP_010710127,95.34,99.9744767738642,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050506905.1,Bacteraemia,778,PRJNA1185791,CP175244.1,3,11370,15287,+,EF0149,WP_011109430,95.051,99.5405819295559,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050506995.1,Bacteraemia,179,PRJNA1185791,CP175225.1,1,155852,159770,+,EF0485,WP_010710127,99.49,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050506995.1,Bacteraemia,179,PRJNA1185791,CP175225.1,2,2704673,2708590,-,EF0149,WP_011109430,98.367,100.0,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050507065.1,Bacteraemia,179,PRJNA1185791,CP175223.1,1,1,3927,+,EF0485,WP_010710127,95.34,99.9744767738642,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050507065.1,Bacteraemia,179,PRJNA1185791,CP175224.1,2,2319130,2323047,+,EF0485,WP_010710127,100.0,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050507065.1,Bacteraemia,179,PRJNA1185791,CP175224.1,3,1969432,1973349,-,EF0149,WP_011109430,99.974,100.0,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050507075.1,Bacteraemia,6,PRJNA1185791,CP175221.1,1,431905,435798,+,EF0485,WP_010710127,94.67,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050507105.1,Bacteraemia,6,PRJNA1185791,CP175219.1,1,500491,504384,+,EF0485,WP_010710127,94.67,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050516645.1,Bacteraemia,220,PRJNA1185791,CP175404.1,1,48457,52374,+,prgB/asc10,WP_002395058,96.759,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050516645.1,Bacteraemia,220,PRJNA1185791,CP175405.1,2,20928,24846,+,prgB/asc10,WP_002395058,95.995,100.0,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050516655.1,Bacteraemia,220,PRJNA1185791,CP175398.1,1,88355,92273,+,prgB/asc10,WP_002395058,95.995,100.0,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050516655.1,Bacteraemia,220,PRJNA1185791,CP175401.1,2,48457,52374,+,prgB/asc10,WP_002395058,96.759,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050516665.1,Bacteraemia,179,PRJNA1185791,CP175396.1,1,67651,71577,-,EF0485,WP_010710127,95.34,99.9744767738642,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050516665.1,Bacteraemia,179,PRJNA1185791,CP175397.1,2,134859,138776,+,EF0149,WP_011109430,99.974,100.0,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050516665.1,Bacteraemia,179,PRJNA1185791,CP175397.1,3,400277,404194,+,EF0485,WP_010710127,100.0,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050516675.1,Bacteraemia,179,PRJNA1185791,CP175394.1,1,1,3927,+,EF0485,WP_010710127,95.34,99.9744767738642,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050516675.1,Bacteraemia,179,PRJNA1185791,CP175395.1,2,134667,138584,+,EF0149,WP_011109430,99.974,100.0,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050516675.1,Bacteraemia,179,PRJNA1185791,CP175395.1,3,400090,404007,+,EF0485,WP_010710127,100.0,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCF_049262565.1,Reproductive,30,PRJNA316969,NZ_CP185998.1,1,10543,14460,+,prgB/asc10,WP_002395058,96.759,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCF_053117575.1,Reproductive,179,PRJNA1209846,NZ_CP181216.1,1,134727,138644,+,EF0149,WP_011109430,99.974,100.0,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCF_053117575.1,Reproductive,179,PRJNA1209846,NZ_CP181216.1,2,400134,404051,+,EF0485,WP_010710127,100.0,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCF_053117575.1,Reproductive,179,PRJNA1209846,NZ_CP181217.1,3,11053,14979,+,EF0485,WP_010710127,95.314,99.9744767738642,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCF_053117575.1,Reproductive,179,PRJNA1209846,NZ_CP181217.1,4,64231,68148,+,prgB/asc10,WP_002395058,97.371,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCF_053117585.1,Reproductive,16,PRJNA1209846,NZ_CP181214.1,1,129116,133596,+,prgB/asc10,WP_002395058,93.66829523809524,97.85604900459418,6,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCF_053117585.1,Reproductive,16,PRJNA1209846,NZ_CP181214.1,2,405556,409473,+,EF0485,WP_010710127,100.0,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCF_053117585.1,Reproductive,16,PRJNA1209846,NZ_CP181215.1,3,19973,24302,+,EF0485,WP_010710127,90.7591239981141,99.9744767738642,9,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCF_053117655.1,Reproductive,179,PRJNA1209846,NZ_CP181220.1,1,367199,371116,+,EF0485,WP_010710127,99.413,100.0,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCF_053117655.1,Reproductive,179,PRJNA1209846,NZ_CP181221.1,2,2801,6717,+,EF0149,WP_011109430,97.846,99.5405819295559,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCF_053117665.1,Reproductive,40,PRJNA1209846,NZ_CP181222.1,1,1309740,1313631,+,asa1,WP_010785625,96.557,100.0,1,WP_010785625,accepted_present
GCF_053117675.1,Reproductive,480,PRJNA1209846,NZ_CP181227.1,1,23471,27388,+,prgB/asc10,WP_002395058,96.35,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCF_053117675.1,Reproductive,480,PRJNA1209846,NZ_CP181228.1,2,12804,16715,+,prgB/asc10,WP_002395058,94.646,100.0,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCF_053117675.1,Reproductive,480,PRJNA1209846,NZ_CP181228.1,3,63506,67417,+,prgB/asc10,WP_002395058,94.646,100.0,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCF_053117685.1,Reproductive,179,PRJNA1209846,NZ_CP181229.1,1,134643,138560,+,EF0149,WP_011109430,99.974,100.0,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCF_053117685.1,Reproductive,179,PRJNA1209846,NZ_CP181229.1,2,2702314,2706231,-,EF0485,WP_010710127,100.0,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCF_053117685.1,Reproductive,179,PRJNA1209846,NZ_CP181230.1,3,11780,15706,+,EF0485,WP_010710127,95.34,99.9744767738642,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCF_053117685.1,Reproductive,179,PRJNA1209846,NZ_CP181231.1,4,10593,14483,+,asa1,WP_010785625,96.942,100.0,1,WP_010785625,accepted_present
GCF_053117695.1,Reproductive,211,PRJNA1209846,NZ_CP181235.1,1,24696,28586,-,asa1,WP_010785625,96.967,100.0,1,WP_010785625,accepted_present
GCF_053117705.1,Reproductive,179,PRJNA1209846,NZ_CP181238.1,1,134835,138752,+,EF0149,WP_011109430,99.77,100.0,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCF_053117705.1,Reproductive,179,PRJNA1209846,NZ_CP181238.1,2,400258,404175,+,EF0485,WP_010710127,100.0,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCF_053117705.1,Reproductive,179,PRJNA1209846,NZ_CP181239.1,3,11053,14979,+,EF0485,WP_010710127,95.365,99.9744767738642,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCF_053117705.1,Reproductive,179,PRJNA1209846,NZ_CP181240.1,4,25313,29230,+,EF0149,WP_011109430,95.389,99.5405819295559,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCF_906464925.1,Reproductive,894,PRJEB36950,NZ_OD940434.1,1,140416,144333,+,EF0149,WP_011109430,99.974,100.0,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCF_906464925.1,Reproductive,894,PRJEB36950,NZ_OD940435.1,2,11806,15723,+,EF0485,WP_010710127,95.33,99.9744767738642,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
