Genome,Source,Target_gene,Detection_status,Status_reason,Database_gene_symbol,Reference_accession,Contig_ID,Start,Stop,Strand,Identity,Coverage,Candidate_locus_count
GCA_029011395.1,Reproductive,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP118057.1,1171206,1172132,-,99.569,100.0,2
GCA_029011395.1,Reproductive,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP118057.1,2086767,2090231,-,99.423,100.0,1
GCA_029011395.1,Reproductive,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP118057.1,2085333,2086763,-,99.72,100.0,1
GCA_029011395.1,Reproductive,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP118057.1,2083453,2085336,-,99.045,100.0,1
GCA_029011395.1,Reproductive,asa1_or_validated_equivalent,ambiguous_multiple_hit,Multiple distinct accepted loci require review,asa1,WP_010785625,CP118057.1,1327859,1331750,+,96.557,100.0,2
GCA_029011395.1,Reproductive,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP118057.1,1425222,1426754,+,98.82600000000001,100.0,1
GCA_029011395.1,Reproductive,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP118057.1,1426803,1427657,+,98.363,100.0,1
GCA_029011395.1,Reproductive,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_029011395.1,Reproductive,cylA,ambiguous_multiple_hit,Multiple distinct accepted loci require review,cylA,AAM75253,CP118057.1,1386676,1387914,+,99.516,100.0,2
GCA_029011535.1,Reproductive,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP118072.1,2009292,2011175,-,94.59083093231857,100.0,1
GCA_029011535.1,Reproductive,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP118072.1,1140007,1140933,-,99.569,100.0,2
GCA_029011535.1,Reproductive,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP118072.1,2018518,2021982,-,99.913,100.0,1
GCA_029011535.1,Reproductive,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP118072.1,2017084,2018514,-,99.161,100.0,1
GCA_029011535.1,Reproductive,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP118072.1,2015204,2017087,-,98.992,100.0,1
GCA_029011535.1,Reproductive,asa1_or_validated_equivalent,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,asa1,WP_010785625,CP118073.1,9856,13772,+,95.41944170403586,80.13364173734259,2
GCA_029011535.1,Reproductive,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP118072.1,1296181,1297713,+,98.956,100.0,1
GCA_029011535.1,Reproductive,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP118072.1,1297762,1298616,+,98.48,100.0,1
GCA_029011535.1,Reproductive,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_029011535.1,Reproductive,cylA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,cylA,AAM75253,CP118074.1,24159,25397,+,99.435,100.0,1
GCA_029011745.1,Reproductive,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP118085.1,2023771,2025654,-,94.44903830141548,100.0,1
GCA_029011745.1,Reproductive,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP118085.1,1052053,1052979,-,99.569,100.0,2
GCA_029011745.1,Reproductive,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP118085.1,2033194,2036657,-,99.423,100.0,1
GCA_029011745.1,Reproductive,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP118085.1,2031761,2033190,-,99.65100000000001,100.0,1
GCA_029011745.1,Reproductive,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP118085.1,2029881,2031764,-,99.045,100.0,1
GCA_029011745.1,Reproductive,asa1_or_validated_equivalent,ambiguous_multiple_hit,Multiple distinct accepted loci require review,asa1,WP_010785625,CP118085.1,1213182,1217073,+,96.557,100.0,2
GCA_029011745.1,Reproductive,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP118085.1,1371894,1373426,+,98.82600000000001,100.0,1
GCA_029011745.1,Reproductive,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP118085.1,1373475,1374329,+,98.246,100.0,1
GCA_029011745.1,Reproductive,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_029011745.1,Reproductive,cylA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,cylA,AAM75253,CP118085.1,1321805,1323043,+,98.789,100.0,1
GCA_050469755.1,Bacteraemia,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP175101.1,52017,54041,+,94.79255579553636,100.0,1
GCA_050469755.1,Bacteraemia,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP175101.1,940831,941757,+,99.892,100.0,2
GCA_050469755.1,Bacteraemia,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP175101.1,41209,44673,+,99.942,100.0,1
GCA_050469755.1,Bacteraemia,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP175101.1,44677,46107,+,100.0,100.0,1
GCA_050469755.1,Bacteraemia,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP175101.1,46104,47987,+,99.682,100.0,1
GCA_050469755.1,Bacteraemia,asa1_or_validated_equivalent,ambiguous_multiple_hit,Multiple distinct accepted loci require review,asa1,WP_010785625,CP175100.1,20404,24321,-,95.41986995515695,80.13364173734259,2
GCA_050469755.1,Bacteraemia,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP175101.1,705834,707366,-,100.0,100.0,1
GCA_050469755.1,Bacteraemia,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP175101.1,704931,705785,-,100.0,100.0,1
GCA_050469755.1,Bacteraemia,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050469755.1,Bacteraemia,cylA,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050471105.1,Bacteraemia,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP175093.1,54002,56026,+,93.2238198697854,100.0,1
GCA_050471105.1,Bacteraemia,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP175093.1,861641,862567,+,99.569,100.0,2
GCA_050471105.1,Bacteraemia,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP175093.1,40990,44454,+,99.509,100.0,1
GCA_050471105.1,Bacteraemia,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP175093.1,44458,45888,+,99.371,100.0,1
GCA_050471105.1,Bacteraemia,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP175093.1,45885,47768,+,99.045,100.0,1
GCA_050471105.1,Bacteraemia,asa1_or_validated_equivalent,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050471105.1,Bacteraemia,gelE,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050471105.1,Bacteraemia,sprE,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050471105.1,Bacteraemia,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050471105.1,Bacteraemia,cylA,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050472745.1,Bacteraemia,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP175062.1,1354392,1356416,+,94.79255579553636,100.0,1
GCA_050472745.1,Bacteraemia,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP175062.1,2294418,2295344,+,99.892,100.0,2
GCA_050472745.1,Bacteraemia,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP175062.1,1343584,1347048,+,99.913,100.0,1
GCA_050472745.1,Bacteraemia,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP175062.1,1347052,1348482,+,100.0,100.0,1
GCA_050472745.1,Bacteraemia,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP175062.1,1348479,1350362,+,99.682,100.0,1
GCA_050472745.1,Bacteraemia,asa1_or_validated_equivalent,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,asa1,WP_010785625,CP175062.1,433241,437133,+,93.37354225352112,80.10794140323824,1
GCA_050472745.1,Bacteraemia,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP175062.1,2057359,2058891,-,100.0,100.0,1
GCA_050472745.1,Bacteraemia,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP175062.1,2056456,2057310,-,100.0,100.0,1
GCA_050472745.1,Bacteraemia,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050472745.1,Bacteraemia,cylA,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050472755.1,Bacteraemia,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP175060.1,880130,882154,+,93.89461032531824,100.0,1
GCA_050472755.1,Bacteraemia,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP175060.1,1722909,1723835,+,99.784,100.0,1
GCA_050472755.1,Bacteraemia,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP175060.1,866189,869653,+,99.134,100.0,1
GCA_050472755.1,Bacteraemia,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP175060.1,869657,871087,+,99.371,100.0,1
GCA_050472755.1,Bacteraemia,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP175060.1,871084,872967,+,98.938,100.0,1
GCA_050472755.1,Bacteraemia,asa1_or_validated_equivalent,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050472755.1,Bacteraemia,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP175060.1,1555363,1556895,-,98.956,100.0,1
GCA_050472755.1,Bacteraemia,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP175060.1,1554460,1555314,-,99.649,100.0,1
GCA_050472755.1,Bacteraemia,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050472755.1,Bacteraemia,cylA,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050473345.1,Bacteraemia,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP175058.1,2045566,2047308,-,95.0988907894737,100.0,1
GCA_050473345.1,Bacteraemia,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP175058.1,1219082,1220008,-,99.676,100.0,1
GCA_050473345.1,Bacteraemia,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP175058.1,2054651,2058115,-,99.942,100.0,1
GCA_050473345.1,Bacteraemia,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP175058.1,2053217,2054647,-,99.161,100.0,1
GCA_050473345.1,Bacteraemia,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP175058.1,2051337,2053220,-,99.045,100.0,1
GCA_050473345.1,Bacteraemia,asa1_or_validated_equivalent,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050473345.1,Bacteraemia,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP175058.1,1380189,1381721,+,98.82600000000001,100.0,1
GCA_050473345.1,Bacteraemia,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP175058.1,1381770,1382624,+,98.83,100.0,1
GCA_050473345.1,Bacteraemia,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050473345.1,Bacteraemia,cylA,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050473355.1,Bacteraemia,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP175057.1,919619,921502,+,94.59083093231857,100.0,1
GCA_050473355.1,Bacteraemia,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP175057.1,1747042,1747968,+,99.676,100.0,2
GCA_050473355.1,Bacteraemia,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP175057.1,908812,912276,+,99.913,100.0,1
GCA_050473355.1,Bacteraemia,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP175057.1,912280,913710,+,99.02200000000002,100.0,1
GCA_050473355.1,Bacteraemia,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP175057.1,913707,915590,+,98.992,100.0,1
GCA_050473355.1,Bacteraemia,asa1_or_validated_equivalent,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050473355.1,Bacteraemia,gelE,flagged_partial,Identity is >=80% but reference coverage is 50-<80%,gelE,WP_002369251,CP175057.1,1585323,1586293,-,98.867,63.33985649054142,1
GCA_050473355.1,Bacteraemia,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP175057.1,1584420,1585274,-,98.713,100.0,1
GCA_050473355.1,Bacteraemia,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050473355.1,Bacteraemia,cylA,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050473905.1,Bacteraemia,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP175056.1,1862188,1864212,-,94.69622606191504,100.0,1
GCA_050473905.1,Bacteraemia,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP175056.1,933922,934848,-,99.892,100.0,2
GCA_050473905.1,Bacteraemia,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP175056.1,1871556,1875020,-,99.942,100.0,1
GCA_050473905.1,Bacteraemia,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP175056.1,1870122,1871552,-,100.0,100.0,1
GCA_050473905.1,Bacteraemia,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP175056.1,1868242,1870125,-,99.682,100.0,1
GCA_050473905.1,Bacteraemia,asa1_or_validated_equivalent,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,asa1,WP_010785625,CP175056.1,392282,396174,+,93.37354225352112,80.10794140323824,2
GCA_050473905.1,Bacteraemia,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP175056.1,1158360,1159892,+,100.0,100.0,1
GCA_050473905.1,Bacteraemia,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP175056.1,1159941,1160795,+,100.0,100.0,1
GCA_050473905.1,Bacteraemia,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050473905.1,Bacteraemia,cylA,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050474485.1,Bacteraemia,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP175046.1,955267,957432,+,93.48740324594256,100.0,1
GCA_050474485.1,Bacteraemia,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP175046.1,1803256,1804182,+,99.569,100.0,1
GCA_050474485.1,Bacteraemia,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP175046.1,942255,945719,+,99.365,100.0,1
GCA_050474485.1,Bacteraemia,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP175046.1,945723,947153,+,99.301,100.0,1
GCA_050474485.1,Bacteraemia,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP175046.1,947150,949033,+,99.045,100.0,1
GCA_050474485.1,Bacteraemia,asa1_or_validated_equivalent,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050474485.1,Bacteraemia,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP175046.1,1606538,1608070,-,98.62999999999998,100.0,1
GCA_050474485.1,Bacteraemia,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP175046.1,1605635,1606489,-,99.18100000000001,100.0,1
GCA_050474485.1,Bacteraemia,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050474485.1,Bacteraemia,cylA,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050474495.1,Bacteraemia,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP175045.1,1601231,1603255,-,94.81632541396688,100.0,1
GCA_050474495.1,Bacteraemia,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP175045.1,710891,711817,-,99.892,100.0,3
GCA_050474495.1,Bacteraemia,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP175045.1,1610599,1614063,-,99.942,100.0,1
GCA_050474495.1,Bacteraemia,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP175045.1,1609165,1610595,-,100.0,100.0,1
GCA_050474495.1,Bacteraemia,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP175045.1,1607285,1609168,-,99.682,100.0,1
GCA_050474495.1,Bacteraemia,asa1_or_validated_equivalent,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,asa1,WP_010785625,CP175045.1,2259767,2263659,-,91.9973056978233,80.10794140323824,2
GCA_050474495.1,Bacteraemia,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP175045.1,903328,904860,+,100.0,100.0,1
GCA_050474495.1,Bacteraemia,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP175045.1,904909,905763,+,100.0,100.0,1
GCA_050474495.1,Bacteraemia,esp,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,esp,AAD09858,CP175045.1,2815988,2820628,+,87.87061730195097,82.37282106012096,1
GCA_050474495.1,Bacteraemia,cylA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,cylA,AAM75253,CP175044.1,42822,44060,+,99.839,100.0,1
GCA_050475565.1,Bacteraemia,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP175030.1,1977931,1979955,-,93.92847516198704,100.0,1
GCA_050475565.1,Bacteraemia,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP175030.1,1157634,1158560,-,99.569,100.0,2
GCA_050475565.1,Bacteraemia,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP175030.1,1990492,1993956,-,99.134,100.0,1
GCA_050475565.1,Bacteraemia,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP175030.1,1989058,1990488,-,99.092,100.0,1
GCA_050475565.1,Bacteraemia,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP175030.1,1987178,1989061,-,98.938,100.0,1
GCA_050475565.1,Bacteraemia,asa1_or_validated_equivalent,ambiguous_multiple_hit,Multiple distinct accepted loci require review,asa1,WP_010785625,CP175029.1,3912,7802,+,99.126,100.0,3
GCA_050475565.1,Bacteraemia,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP175030.1,1327326,1328858,+,98.956,100.0,1
GCA_050475565.1,Bacteraemia,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP175030.1,1328907,1329761,+,98.246,100.0,1
GCA_050475565.1,Bacteraemia,esp,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,esp,AAD09858,CP175030.1,2610075,2615969,-,96.6128376523253,100.0,1
GCA_050475565.1,Bacteraemia,cylA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,cylA,AAM75253,CP175030.1,2636008,2637246,-,98.87,100.0,2
GCA_050475575.1,Bacteraemia,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP175027.1,1072712,1074595,+,93.99111649659864,100.0,1
GCA_050475575.1,Bacteraemia,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP175027.1,1951945,1952871,+,99.461,100.0,2
GCA_050475575.1,Bacteraemia,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP175027.1,1022265,1025729,+,99.509,100.0,1
GCA_050475575.1,Bacteraemia,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP175027.1,1025733,1027163,+,99.441,100.0,1
GCA_050475575.1,Bacteraemia,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP175027.1,1027160,1029043,+,99.363,100.0,1
GCA_050475575.1,Bacteraemia,asa1_or_validated_equivalent,ambiguous_multiple_hit,Multiple distinct accepted loci require review,asa1,WP_010785625,CP175024.1,640,4557,+,94.84304228058937,80.13364173734259,4
GCA_050475575.1,Bacteraemia,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP175027.1,1740847,1742379,-,98.89100000000002,100.0,1
GCA_050475575.1,Bacteraemia,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP175027.1,1739944,1740798,-,98.48,100.0,1
GCA_050475575.1,Bacteraemia,esp,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,esp,AAD09858,CP175027.1,448851,454472,+,96.83420225532797,100.0,1
GCA_050475575.1,Bacteraemia,cylA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,cylA,AAM75253,CP175027.1,441965,443203,+,99.839,100.0,1
GCA_050476085.1,Bacteraemia,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP175020.1,1039861,1041603,+,95.0987605263158,100.0,1
GCA_050476085.1,Bacteraemia,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP175020.1,1981498,1982424,+,99.676,100.0,1
GCA_050476085.1,Bacteraemia,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP175020.1,1029054,1032518,+,99.942,100.0,1
GCA_050476085.1,Bacteraemia,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP175020.1,1032522,1033952,+,99.161,100.0,1
GCA_050476085.1,Bacteraemia,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP175020.1,1033949,1035832,+,98.992,100.0,1
GCA_050476085.1,Bacteraemia,asa1_or_validated_equivalent,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_050476085.1,Bacteraemia,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP175020.1,1750137,1751669,-,98.82600000000001,100.0,1
GCA_050476085.1,Bacteraemia,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP175020.1,1749234,1750088,-,98.596,100.0,1
GCA_050476085.1,Bacteraemia,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
