Genome,Query_ID,Target_gene,Database_gene_symbol,Reference_accession,Reference_name,Mapping_status,Contig_ID,Locus_number_on_contig,Start,Stop,Strand,Identity,Coverage,HSP_count,Best_bitscore,Distinct_target_locus_number_on_contig,Distinct_target_locus_ID
GCA_029011395.1,VFG002174|WP_002369251|gelE|gelE,gelE,gelE,WP_002369251,coccolysin,approved_primary,CP118057.1,1,1425222,1426754,+,98.82600000000001,100.0,1,2684.0,1,CP118057.1|+|1
GCA_029011395.1,VFG002175|AAM75248|cylR1|cytolysin_operon_context,cytolysin_operon_context,cylR1,AAM75248,cytolysin regulator R1,context_only,CP118057.1,1,1380647,1380931,-,98.596,100.0,1,497.0,2,CP118057.1|-|2
GCA_029011395.1,VFG002175|AAM75248|cylR1|cytolysin_operon_context,cytolysin_operon_context,cylR1,AAM75248,cytolysin regulator R1,context_only,CP118058.1,1,18129,18413,-,98.596,100.0,1,497.0,2,CP118058.1|-|2
GCA_029011395.1,VFG002176|AAM75252|cylB|cytolysin_operon_context,cytolysin_operon_context,cylB,AAM75252,ABC-type transporter,context_only,CP118057.1,1,1384535,1386679,+,99.674,100.0,1,3837.0,3,CP118057.1|+|3
GCA_029011395.1,VFG002176|AAM75252|cylB|cytolysin_operon_context,cytolysin_operon_context,cylB,AAM75252,ABC-type transporter,context_only,CP118058.1,1,22017,24161,+,99.674,100.0,1,3837.0,3,CP118058.1|+|3
GCA_029011395.1,VFG002177|AAM75253|cylA|cylA,cylA,cylA,AAM75253,cytolysin activator,approved_primary,CP118057.1,1,1386676,1387914,+,99.516,100.0,1,2208.0,1,CP118057.1|+|1
GCA_029011395.1,VFG002177|AAM75253|cylA|cylA,cylA,cylA,AAM75253,cytolysin activator,approved_primary,CP118058.1,1,24158,25396,+,99.516,100.0,1,2208.0,1,CP118058.1|+|1
GCA_029011395.1,VFG002178|AAM75254|cylI|cytolysin_operon_context,cytolysin_operon_context,cylI,AAM75254,cytolysin immunity protein,context_only,CP118057.1,1,1387915,1388481,+,98.947,57.926829268292686,1,1000.0,4,CP118057.1|+|4
GCA_029011395.1,VFG002178|AAM75254|cylI|cytolysin_operon_context,cytolysin_operon_context,cylI,AAM75254,cytolysin immunity protein,context_only,CP118058.1,1,25397,26380,+,99.898,100.0,1,1771.0,4,CP118058.1|+|4
GCA_029011395.1,VFG002191|WP_002369252|sprE|sprE,sprE,sprE,WP_002369252,"serine proteinase, V8 family",approved_primary,CP118057.1,1,1426803,1427657,+,98.363,100.0,1,1480.0,1,CP118057.1|+|1
GCA_029011395.1,VFG042976|WP_154081516|ebpA|ebpA,ebpA,ebpA,WP_154081516,endocarditis and biofilm-associated pilus tip protein EbpA,approved_primary,CP118057.1,1,2086767,2090231,-,99.423,100.0,1,6159.0,1,CP118057.1|-|1
GCA_029011395.1,VFG042977|WP_002379309|ebpB|ebpB,ebpB,ebpB,WP_002379309,endocarditis and biofilm-associated pilus minor subunit EbpB,approved_primary,CP118057.1,1,2085333,2086763,-,99.72,100.0,1,2563.0,1,CP118057.1|-|1
GCA_029011395.1,VFG042978|WP_011109477|ebpC|ebpC,ebpC,ebpC,WP_011109477,endocarditis and biofilm-associated pilus major subunit EbpC,approved_primary,CP118057.1,1,2083453,2085336,-,99.045,100.0,1,3318.0,1,CP118057.1|-|1
GCA_029011395.1,VFG045470|AAM75247|cylR2|cytolysin_operon_context,cytolysin_operon_context,cylR2,AAM75247,cytolysin regulator R2,context_only,CP118057.1,1,1380446,1380646,-,99.502,100.0,1,359.0,1,CP118057.1|-|1
GCA_029011395.1,VFG045470|AAM75247|cylR2|cytolysin_operon_context,cytolysin_operon_context,cylR2,AAM75247,cytolysin regulator R2,context_only,CP118058.1,1,17928,18128,-,99.502,100.0,1,359.0,1,CP118058.1|-|1
GCA_029011395.1,VFG045472|AAM75249|cylL|cytolysin_operon_context,cytolysin_operon_context,cylL,AAM75249,CylL; cytolysin subunit,context_only,CP118057.1,1,1381050,1381423,+,96.56350515463917,100.0,2,374.0,1,CP118057.1|+|1
GCA_029011395.1,VFG045472|AAM75249|cylL|cytolysin_operon_context,cytolysin_operon_context,cylL,AAM75249,CylL; cytolysin subunit,context_only,CP118058.1,1,18532,18905,+,96.56350515463917,100.0,2,374.0,1,CP118058.1|+|1
GCA_029011395.1,VFG045473|AAM75250|cylS|cytolysin_operon_context,cytolysin_operon_context,cylS,AAM75250,CylS; cytolysin subunit,context_only,CP118057.1,1,1381064,1381481,+,96.37673913043479,100.0,2,347.0,1,CP118057.1|+|1
GCA_029011395.1,VFG045473|AAM75250|cylS|cytolysin_operon_context,cytolysin_operon_context,cylS,AAM75250,CylS; cytolysin subunit,context_only,CP118058.1,1,18546,18963,+,96.37673913043479,100.0,2,347.0,1,CP118058.1|+|1
GCA_029011395.1,VFG045474|AAM75251|cylM|cytolysin_operon_context,cytolysin_operon_context,cylM,AAM75251,CylM; cytolysin subunit modifier,context_only,CP118057.1,1,1381542,1384523,+,99.02700000000002,100.0,1,5248.0,2,CP118057.1|+|2
GCA_029011395.1,VFG045474|AAM75251|cylM|cytolysin_operon_context,cytolysin_operon_context,cylM,AAM75251,CylM; cytolysin subunit modifier,context_only,CP118058.1,1,19024,22005,+,99.02700000000002,100.0,1,5248.0,2,CP118058.1|+|2
GCA_029011535.1,VFG002164|WP_002395058|prgB/asc10|aggregation_substance_context,aggregation_substance_context,prgB/asc10,WP_002395058,aggregation substance PrgB/Asc10,review_required_context,CP118073.1,1,9856,13772,+,95.662,100.0,1,6291.0,1,CP118073.1|+|1
GCA_029011535.1,VFG002164|WP_002395058|prgB/asc10|aggregation_substance_context,aggregation_substance_context,prgB/asc10,WP_002395058,aggregation substance PrgB/Asc10,review_required_context,CP118075.1,1,41237,45154,+,89.492,100.0,1,5225.0,1,CP118075.1|+|1
GCA_029011535.1,VFG002165|WP_002356954|efaA|efaA,efaA,efaA,WP_002356954,endocarditis specific antigen,approved_primary,CP118072.1,1,1140007,1140933,-,99.569,100.0,1,1654.0,1,CP118072.1|-|1
GCA_029011535.1,VFG002165|WP_002356954|efaA|efaA,efaA,efaA,WP_002356954,endocarditis specific antigen,approved_primary,CP118072.1,2,2525958,2526767,-,68.237,87.37864077669903,1,269.0,2,CP118072.1|-|2
GCA_029011535.1,VFG002166|WP_010714416|ace|ace,ace,ace,WP_010714416,collagen adhesin protein,approved_primary,CP118072.1,1,2009292,2011175,-,94.59083093231857,100.0,8,2626.0,1,CP118072.1|-|1
GCA_029011535.1,VFG002171|WP_011109430|EF0149|aggregation_substance_context,aggregation_substance_context,EF0149,WP_011109430,aggregation substance,review_required_context,CP118073.1,1,9856,13703,+,90.119,98.39203675344564,1,5227.0,1,CP118073.1|+|1
GCA_029011535.1,VFG002171|WP_011109430|EF0149|aggregation_substance_context,aggregation_substance_context,EF0149,WP_011109430,aggregation substance,review_required_context,CP118075.1,1,41237,45136,+,95.109,99.5405819295559,1,6168.0,1,CP118075.1|+|1
GCA_029011535.1,VFG002172|WP_010710127|EF0485|aggregation_substance_context,aggregation_substance_context,EF0485,WP_010710127,aggregation substance,review_required_context,CP118073.1,1,9857,13772,+,94.564,99.97447677386421,1,6095.0,1,CP118073.1|+|1
GCA_029011535.1,VFG002172|WP_010710127|EF0485|aggregation_substance_context,aggregation_substance_context,EF0485,WP_010710127,aggregation substance,review_required_context,CP118075.1,1,41238,45076,+,89.849,97.8305257784584,1,5173.0,1,CP118075.1|+|1
GCA_029011535.1,VFG002173|WP_010785625|asa1|asa1_or_validated_equivalent,asa1_or_validated_equivalent,asa1,WP_010785625,aggregation substance Asa1,approved_primary,CP118073.1,1,9856,13772,+,95.41944170403586,80.13364173734259,2,3712.0,1,CP118073.1|+|1
GCA_029011535.1,VFG002173|WP_010785625|asa1|asa1_or_validated_equivalent,asa1_or_validated_equivalent,asa1,WP_010785625,aggregation substance Asa1,approved_primary,CP118075.1,1,41237,45076,+,94.30553346653346,77.07530197892572,2,3478.0,1,CP118075.1|+|1
GCA_029011535.1,VFG002174|WP_002369251|gelE|gelE,gelE,gelE,WP_002369251,coccolysin,approved_primary,CP118072.1,1,1296181,1297713,+,98.956,100.0,1,2693.0,1,CP118072.1|+|1
GCA_029011535.1,VFG002175|AAM75248|cylR1|cytolysin_operon_context,cytolysin_operon_context,cylR1,AAM75248,cytolysin regulator R1,context_only,CP118074.1,1,18130,18414,-,98.246,100.0,1,492.0,2,CP118074.1|-|2
GCA_029011535.1,VFG002176|AAM75252|cylB|cytolysin_operon_context,cytolysin_operon_context,cylB,AAM75252,ABC-type transporter,context_only,CP118074.1,1,22018,24162,+,99.674,100.0,1,3837.0,3,CP118074.1|+|3
GCA_029011535.1,VFG002177|AAM75253|cylA|cylA,cylA,cylA,AAM75253,cytolysin activator,approved_primary,CP118074.1,1,24159,25397,+,99.435,100.0,1,2204.0,1,CP118074.1|+|1
GCA_029011535.1,VFG002178|AAM75254|cylI|cytolysin_operon_context,cytolysin_operon_context,cylI,AAM75254,cytolysin immunity protein,context_only,CP118074.1,1,25398,26380,+,99.797,100.0,1,1763.0,4,CP118074.1|+|4
GCA_029011535.1,VFG002191|WP_002369252|sprE|sprE,sprE,sprE,WP_002369252,"serine proteinase, V8 family",approved_primary,CP118072.1,1,1297762,1298616,+,98.48,100.0,1,1484.0,1,CP118072.1|+|1
GCA_029011535.1,VFG042976|WP_154081516|ebpA|ebpA,ebpA,ebpA,WP_154081516,endocarditis and biofilm-associated pilus tip protein EbpA,approved_primary,CP118072.1,1,2018518,2021982,-,99.913,100.0,1,6236.0,1,CP118072.1|-|1
GCA_029011535.1,VFG042977|WP_002379309|ebpB|ebpB,ebpB,ebpB,WP_002379309,endocarditis and biofilm-associated pilus minor subunit EbpB,approved_primary,CP118072.1,1,2017084,2018514,-,99.161,100.0,1,2527.0,1,CP118072.1|-|1
GCA_029011535.1,VFG042978|WP_011109477|ebpC|ebpC,ebpC,ebpC,WP_011109477,endocarditis and biofilm-associated pilus major subunit EbpC,approved_primary,CP118072.1,1,2015204,2017087,-,98.992,100.0,1,3314.0,1,CP118072.1|-|1
GCA_029011535.1,VFG045470|AAM75247|cylR2|cytolysin_operon_context,cytolysin_operon_context,cylR2,AAM75247,cytolysin regulator R2,context_only,CP118074.1,1,17929,18129,-,99.502,100.0,1,359.0,1,CP118074.1|-|1
GCA_029011535.1,VFG045472|AAM75249|cylL|cytolysin_operon_context,cytolysin_operon_context,cylL,AAM75249,CylL; cytolysin subunit,context_only,CP118074.1,1,18533,18906,+,96.56350515463917,100.0,2,374.0,1,CP118074.1|+|1
GCA_029011535.1,VFG045473|AAM75250|cylS|cytolysin_operon_context,cytolysin_operon_context,cylS,AAM75250,CylS; cytolysin subunit,context_only,CP118074.1,1,18547,18964,+,96.37673913043479,100.0,2,347.0,1,CP118074.1|+|1
GCA_029011535.1,VFG045474|AAM75251|cylM|cytolysin_operon_context,cytolysin_operon_context,cylM,AAM75251,CylM; cytolysin subunit modifier,context_only,CP118074.1,1,19025,22006,+,99.02700000000002,100.0,1,5248.0,2,CP118074.1|+|2
GCA_029011745.1,VFG002164|WP_002395058|prgB/asc10|aggregation_substance_context,aggregation_substance_context,prgB/asc10,WP_002395058,aggregation substance PrgB/Asc10,review_required_context,CP118085.1,1,390488,394379,+,93.93,99.97447677386421,1,6001.0,1,CP118085.1|+|1
GCA_029011745.1,VFG002164|WP_002395058|prgB/asc10|aggregation_substance_context,aggregation_substance_context,prgB/asc10,WP_002395058,aggregation substance PrgB/Asc10,review_required_context,CP118085.1,2,1213182,1217073,+,93.72437111751522,79.58141909137315,2,3554.0,2,CP118085.1|+|2
GCA_029011745.1,VFG002165|WP_002356954|efaA|efaA,efaA,efaA,WP_002356954,endocarditis specific antigen,approved_primary,CP118085.1,1,447716,448525,+,68.237,87.37864077669903,1,269.0,1,CP118085.1|+|1
GCA_029011745.1,VFG002165|WP_002356954|efaA|efaA,efaA,efaA,WP_002356954,endocarditis specific antigen,approved_primary,CP118085.1,1,1052053,1052979,-,99.569,100.0,1,1654.0,1,CP118085.1|-|1
GCA_029011745.1,VFG002166|WP_010714416|ace|ace,ace,ace,WP_010714416,collagen adhesin protein,approved_primary,CP118085.1,1,2023771,2025654,-,94.44903830141548,100.0,7,2676.0,1,CP118085.1|-|1
GCA_029011745.1,VFG002171|WP_011109430|EF0149|aggregation_substance_context,aggregation_substance_context,EF0149,WP_011109430,aggregation substance,review_required_context,CP118085.1,1,390488,394310,+,87.594,98.36651352730985,1,4801.0,1,CP118085.1|+|1
GCA_029011745.1,VFG002171|WP_011109430|EF0149|aggregation_substance_context,aggregation_substance_context,EF0149,WP_011109430,aggregation substance,review_required_context,CP118085.1,2,1213182,1217004,+,94.12932338308458,76.92700357325165,2,3594.0,2,CP118085.1|+|2
GCA_029011745.1,VFG002172|WP_010710127|EF0485|aggregation_substance_context,aggregation_substance_context,EF0485,WP_010710127,aggregation substance,review_required_context,CP118085.1,1,390487,394379,+,93.702,100.0,1,5963.0,1,CP118085.1|+|1
GCA_029011745.1,VFG002172|WP_010710127|EF0485|aggregation_substance_context,aggregation_substance_context,EF0485,WP_010710127,aggregation substance,review_required_context,CP118085.1,2,1213183,1217073,+,93.01709449071109,79.55589586523736,2,3545.0,2,CP118085.1|+|2
GCA_029011745.1,VFG002173|WP_010785625|asa1|asa1_or_validated_equivalent,asa1_or_validated_equivalent,asa1,WP_010785625,aggregation substance Asa1,approved_primary,CP118085.1,1,390488,394379,+,91.96530825864278,80.10794140323824,2,3523.0,1,CP118085.1|+|1
GCA_029011745.1,VFG002173|WP_010785625|asa1|asa1_or_validated_equivalent,asa1_or_validated_equivalent,asa1,WP_010785625,aggregation substance Asa1,approved_primary,CP118085.1,2,1213182,1217073,+,96.557,100.0,1,6412.0,2,CP118085.1|+|2
GCA_029011745.1,VFG002174|WP_002369251|gelE|gelE,gelE,gelE,WP_002369251,coccolysin,approved_primary,CP118085.1,1,1371894,1373426,+,98.82600000000001,100.0,1,2684.0,1,CP118085.1|+|1
GCA_029011745.1,VFG002175|AAM75248|cylR1|cytolysin_operon_context,cytolysin_operon_context,cylR1,AAM75248,cytolysin regulator R1,context_only,CP118085.1,1,1315776,1316060,-,99.649,100.0,1,510.0,2,CP118085.1|-|2
GCA_029011745.1,VFG002176|AAM75252|cylB|cytolysin_operon_context,cytolysin_operon_context,cylB,AAM75252,ABC-type transporter,context_only,CP118085.1,1,1319664,1321808,+,99.114,100.0,1,3783.0,3,CP118085.1|+|3
GCA_029011745.1,VFG002177|AAM75253|cylA|cylA,cylA,cylA,AAM75253,cytolysin activator,approved_primary,CP118085.1,1,1321805,1323043,+,98.789,100.0,1,2168.0,1,CP118085.1|+|1
GCA_029011745.1,VFG002178|AAM75254|cylI|cytolysin_operon_context,cytolysin_operon_context,cylI,AAM75254,cytolysin immunity protein,context_only,CP118085.1,1,1323044,1324027,+,97.764,100.0,1,1676.0,4,CP118085.1|+|4
GCA_029011745.1,VFG002191|WP_002369252|sprE|sprE,sprE,sprE,WP_002369252,"serine proteinase, V8 family",approved_primary,CP118085.1,1,1373475,1374329,+,98.246,100.0,1,1475.0,1,CP118085.1|+|1
GCA_029011745.1,VFG042976|WP_154081516|ebpA|ebpA,ebpA,ebpA,WP_154081516,endocarditis and biofilm-associated pilus tip protein EbpA,approved_primary,CP118085.1,1,2033194,2036657,-,99.423,100.0,1,6156.0,1,CP118085.1|-|1
GCA_029011745.1,VFG042977|WP_002379309|ebpB|ebpB,ebpB,ebpB,WP_002379309,endocarditis and biofilm-associated pilus minor subunit EbpB,approved_primary,CP118085.1,1,2031761,2033190,-,99.65100000000001,100.0,1,2555.0,1,CP118085.1|-|1
GCA_029011745.1,VFG042978|WP_011109477|ebpC|ebpC,ebpC,ebpC,WP_011109477,endocarditis and biofilm-associated pilus major subunit EbpC,approved_primary,CP118085.1,1,2029881,2031764,-,99.045,100.0,1,3318.0,1,CP118085.1|-|1
GCA_029011745.1,VFG045470|AAM75247|cylR2|cytolysin_operon_context,cytolysin_operon_context,cylR2,AAM75247,cytolysin regulator R2,context_only,CP118085.1,1,1315576,1315775,-,97.512,100.0,1,337.0,1,CP118085.1|-|1
GCA_029011745.1,VFG045472|AAM75249|cylL|cytolysin_operon_context,cytolysin_operon_context,cylL,AAM75249,CylL; cytolysin subunit,context_only,CP118085.1,1,1316179,1316552,+,95.87642268041238,100.0,2,370.0,1,CP118085.1|+|1
GCA_029011745.1,VFG045473|AAM75250|cylS|cytolysin_operon_context,cytolysin_operon_context,cylS,AAM75250,CylS; cytolysin subunit,context_only,CP118085.1,1,1316193,1316610,+,96.01430434782608,100.0,2,343.0,1,CP118085.1|+|1
GCA_029011745.1,VFG045474|AAM75251|cylM|cytolysin_operon_context,cytolysin_operon_context,cylM,AAM75251,CylM; cytolysin subunit modifier,context_only,CP118085.1,1,1316671,1319652,+,98.793,100.0,1,5216.0,2,CP118085.1|+|2
GCA_050469755.1,VFG002164|WP_002395058|prgB/asc10|aggregation_substance_context,aggregation_substance_context,prgB/asc10,WP_002395058,aggregation substance PrgB/Asc10,review_required_context,CP175100.1,1,20404,24321,-,96.605,100.0,1,6467.0,1,CP175100.1|-|1
GCA_050469755.1,VFG002164|WP_002395058|prgB/asc10|aggregation_substance_context,aggregation_substance_context,prgB/asc10,WP_002395058,aggregation substance PrgB/Asc10,review_required_context,CP175101.1,1,2491355,2495247,+,94.469,99.97447677386421,1,6107.0,1,CP175101.1|+|1
GCA_050469755.1,VFG002165|WP_002356954|efaA|efaA,efaA,efaA,WP_002356954,endocarditis specific antigen,approved_primary,CP175101.1,1,940831,941757,+,99.892,100.0,1,1668.0,1,CP175101.1|+|1
GCA_050469755.1,VFG002165|WP_002356954|efaA|efaA,efaA,efaA,WP_002356954,endocarditis specific antigen,approved_primary,CP175101.1,2,2573034,2573843,+,68.237,87.37864077669903,1,269.0,2,CP175101.1|+|2
GCA_050469755.1,VFG002166|WP_010714416|ace|ace,ace,ace,WP_010714416,collagen adhesin protein,approved_primary,CP175101.1,1,52017,54041,+,94.79255579553636,100.0,7,3639.0,1,CP175101.1|+|1
GCA_050469755.1,VFG002171|WP_011109430|EF0149|aggregation_substance_context,aggregation_substance_context,EF0149,WP_011109430,aggregation substance,review_required_context,CP175100.1,1,20473,24321,-,90.31,98.39203675344564,1,5268.0,1,CP175100.1|-|1
GCA_050469755.1,VFG002171|WP_011109430|EF0149|aggregation_substance_context,aggregation_substance_context,EF0149,WP_011109430,aggregation substance,review_required_context,CP175101.1,1,2491355,2495178,+,89.105,98.36651352730985,1,5071.0,1,CP175101.1|+|1
GCA_050469755.1,VFG002172|WP_010710127|EF0485|aggregation_substance_context,aggregation_substance_context,EF0485,WP_010710127,aggregation substance,review_required_context,CP175100.1,1,20404,24320,-,96.017,99.97447677386421,1,6361.0,1,CP175100.1|-|1
GCA_050469755.1,VFG002172|WP_010710127|EF0485|aggregation_substance_context,aggregation_substance_context,EF0485,WP_010710127,aggregation substance,review_required_context,CP175101.1,1,2491354,2495247,+,94.67,100.0,1,6143.0,1,CP175101.1|+|1
GCA_050469755.1,VFG002173|WP_010785625|asa1|asa1_or_validated_equivalent,asa1_or_validated_equivalent,asa1,WP_010785625,aggregation substance Asa1,approved_primary,CP175100.1,1,20404,24321,-,95.41986995515695,80.13364173734259,2,3721.0,1,CP175100.1|-|1
GCA_050469755.1,VFG002173|WP_010785625|asa1|asa1_or_validated_equivalent,asa1_or_validated_equivalent,asa1,WP_010785625,aggregation substance Asa1,approved_primary,CP175101.1,1,2491355,2495247,+,93.37354225352112,80.10794140323824,2,3712.0,1,CP175101.1|+|1
GCA_050469755.1,VFG002174|WP_002369251|gelE|gelE,gelE,gelE,WP_002369251,coccolysin,approved_primary,CP175101.1,1,705834,707366,-,100.0,100.0,1,2765.0,1,CP175101.1|-|1
GCA_050469755.1,VFG002191|WP_002369252|sprE|sprE,sprE,sprE,WP_002369252,"serine proteinase, V8 family",approved_primary,CP175101.1,1,704931,705785,-,100.0,100.0,1,1543.0,1,CP175101.1|-|1
GCA_050469755.1,VFG042976|WP_154081516|ebpA|ebpA,ebpA,ebpA,WP_154081516,endocarditis and biofilm-associated pilus tip protein EbpA,approved_primary,CP175101.1,1,41209,44673,+,99.942,100.0,1,6240.0,1,CP175101.1|+|1
GCA_050469755.1,VFG042977|WP_002379309|ebpB|ebpB,ebpB,ebpB,WP_002379309,endocarditis and biofilm-associated pilus minor subunit EbpB,approved_primary,CP175101.1,1,44677,46107,+,100.0,100.0,1,2581.0,1,CP175101.1|+|1
GCA_050469755.1,VFG042978|WP_011109477|ebpC|ebpC,ebpC,ebpC,WP_011109477,endocarditis and biofilm-associated pilus major subunit EbpC,approved_primary,CP175101.1,1,46104,47987,+,99.682,100.0,1,3372.0,1,CP175101.1|+|1
GCA_050471105.1,VFG002165|WP_002356954|efaA|efaA,efaA,efaA,WP_002356954,endocarditis specific antigen,approved_primary,CP175093.1,1,861641,862567,+,99.569,100.0,1,1654.0,1,CP175093.1|+|1
GCA_050471105.1,VFG002165|WP_002356954|efaA|efaA,efaA,efaA,WP_002356954,endocarditis specific antigen,approved_primary,CP175093.1,2,2470268,2471077,+,68.237,87.37864077669903,1,269.0,2,CP175093.1|+|2
GCA_050471105.1,VFG002166|WP_010714416|ace|ace,ace,ace,WP_010714416,collagen adhesin protein,approved_primary,CP175093.1,1,54002,56026,+,93.2238198697854,100.0,7,3373.0,1,CP175093.1|+|1
GCA_050471105.1,VFG042976|WP_154081516|ebpA|ebpA,ebpA,ebpA,WP_154081516,endocarditis and biofilm-associated pilus tip protein EbpA,approved_primary,CP175093.1,1,40990,44454,+,99.509,100.0,1,6173.0,1,CP175093.1|+|1
GCA_050471105.1,VFG042977|WP_002379309|ebpB|ebpB,ebpB,ebpB,WP_002379309,endocarditis and biofilm-associated pilus minor subunit EbpB,approved_primary,CP175093.1,1,44458,45888,+,99.371,100.0,1,2541.0,1,CP175093.1|+|1
GCA_050471105.1,VFG042978|WP_011109477|ebpC|ebpC,ebpC,ebpC,WP_011109477,endocarditis and biofilm-associated pilus major subunit EbpC,approved_primary,CP175093.1,1,45885,47768,+,99.045,100.0,1,3318.0,1,CP175093.1|+|1
GCA_050472745.1,VFG002164|WP_002395058|prgB/asc10|aggregation_substance_context,aggregation_substance_context,prgB/asc10,WP_002395058,aggregation substance PrgB/Asc10,review_required_context,CP175062.1,1,433241,437133,+,94.469,99.97447677386421,1,6107.0,1,CP175062.1|+|1
GCA_050472745.1,VFG002165|WP_002356954|efaA|efaA,efaA,efaA,WP_002356954,endocarditis specific antigen,approved_primary,CP175062.1,1,527323,528132,+,68.237,87.37864077669903,1,269.0,1,CP175062.1|+|1
GCA_050472745.1,VFG002165|WP_002356954|efaA|efaA,efaA,efaA,WP_002356954,endocarditis specific antigen,approved_primary,CP175062.1,2,2294418,2295344,+,99.892,100.0,1,1668.0,2,CP175062.1|+|2
GCA_050472745.1,VFG002166|WP_010714416|ace|ace,ace,ace,WP_010714416,collagen adhesin protein,approved_primary,CP175062.1,1,1354392,1356416,+,94.79255579553636,100.0,7,3639.0,1,CP175062.1|+|1
