Genome,Source,Target_gene,Detection_status,Status_reason,Database_gene_symbol,Reference_accession,Contig_ID,Start,Stop,Strand,Identity,Coverage,Candidate_locus_count,Original_detection_status,Accepted_locus_count,Resolution_policy
GCA_029011395.1,Reproductive,asa1_specific,accepted_present,Explicit asa1 reference is the competitive best match at at least one accepted locus,asa1,WP_010785625,CP118057.1,1327859,1331750,+,96.557,100.0,2,ambiguous_multiple_hit,1,approved_competitive_best_reference_rule
GCA_029011395.1,Reproductive,cylA,accepted_present,Reviewed two-copy cylA detection: one chromosomal and one plasmid locus,cylA,AAM75253,CP118057.1,1386676.0,1387914.0,+,99.516,100.0,2,ambiguous_multiple_hit,2,approved_cylA_copy_number_2
GCA_029011395.1,Reproductive,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP118057.1,2086767.0,2090231.0,-,99.423,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011395.1,Reproductive,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP118057.1,2085333.0,2086763.0,-,99.72,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011395.1,Reproductive,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP118057.1,2083453.0,2085336.0,-,99.045,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011395.1,Reproductive,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP118057.1,1171206.0,1172132.0,-,99.569,100.0,2,accepted_present,1,unchanged_B3_status
GCA_029011395.1,Reproductive,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_029011395.1,Reproductive,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP118057.1,1425222.0,1426754.0,+,98.826,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011395.1,Reproductive,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP118057.1,1426803.0,1427657.0,+,98.363,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011535.1,Reproductive,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP118072.1,2009292.0,2011175.0,-,94.59083093231855,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011535.1,Reproductive,aggregation_substance_family_detected,accepted_present,At least one accepted aggregation-substance-family locus detected,prgB/asc10,WP_002395058,CP118073.1,9856,13772,+,95.662,100.0,2,accepted_present,2,approved_broad_aggregation_substance_family_rule
GCA_029011535.1,Reproductive,asa1_specific,review_required,Accepted-threshold asa1 query match is better supported by a related aggregation-substance reference,asa1,WP_010785625,CP118073.1,9856,13772,+,95.41944170403586,80.13364173734259,2,accepted_present,0,approved_competitive_best_reference_rule
GCA_029011535.1,Reproductive,cylA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,cylA,AAM75253,CP118074.1,24159.0,25397.0,+,99.435,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011535.1,Reproductive,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP118072.1,2018518.0,2021982.0,-,99.913,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011535.1,Reproductive,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP118072.1,2017084.0,2018514.0,-,99.161,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011535.1,Reproductive,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP118072.1,2015204.0,2017087.0,-,98.992,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011535.1,Reproductive,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP118072.1,1140007.0,1140933.0,-,99.569,100.0,2,accepted_present,1,unchanged_B3_status
GCA_029011535.1,Reproductive,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_029011535.1,Reproductive,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP118072.1,1296181.0,1297713.0,+,98.956,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011535.1,Reproductive,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP118072.1,1297762.0,1298616.0,+,98.48,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011745.1,Reproductive,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP118085.1,2023771.0,2025654.0,-,94.44903830141548,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011745.1,Reproductive,aggregation_substance_family_detected,accepted_present,At least one accepted aggregation-substance-family locus detected,asa1,WP_010785625,CP118085.1,1213182,1217073,+,96.557,100.0,2,ambiguous_multiple_hit,2,approved_broad_aggregation_substance_family_rule
GCA_029011745.1,Reproductive,asa1_specific,accepted_present,Explicit asa1 reference is the competitive best match at at least one accepted locus,asa1,WP_010785625,CP118085.1,1213182,1217073,+,96.557,100.0,2,ambiguous_multiple_hit,1,approved_competitive_best_reference_rule
GCA_029011745.1,Reproductive,cylA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,cylA,AAM75253,CP118085.1,1321805.0,1323043.0,+,98.789,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011745.1,Reproductive,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP118085.1,2033194.0,2036657.0,-,99.423,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011745.1,Reproductive,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP118085.1,2031761.0,2033190.0,-,99.651,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011745.1,Reproductive,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP118085.1,2029881.0,2031764.0,-,99.045,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011745.1,Reproductive,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP118085.1,1052053.0,1052979.0,-,99.569,100.0,2,accepted_present,1,unchanged_B3_status
GCA_029011745.1,Reproductive,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_029011745.1,Reproductive,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP118085.1,1371894.0,1373426.0,+,98.826,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011745.1,Reproductive,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP118085.1,1373475.0,1374329.0,+,98.246,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050469755.1,Bacteraemia,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP175101.1,52017.0,54041.0,+,94.79255579553636,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050469755.1,Bacteraemia,aggregation_substance_family_detected,accepted_present,At least one accepted aggregation-substance-family locus detected,prgB/asc10,WP_002395058,CP175100.1,20404,24321,-,96.605,100.0,2,ambiguous_multiple_hit,2,approved_broad_aggregation_substance_family_rule
GCA_050469755.1,Bacteraemia,asa1_specific,review_required,Accepted-threshold asa1 query match is better supported by a related aggregation-substance reference,asa1,WP_010785625,CP175100.1,20404,24321,-,95.41986995515695,80.13364173734259,2,ambiguous_multiple_hit,0,approved_competitive_best_reference_rule
GCA_050469755.1,Bacteraemia,cylA,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_050469755.1,Bacteraemia,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP175101.1,41209.0,44673.0,+,99.942,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050469755.1,Bacteraemia,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP175101.1,44677.0,46107.0,+,100.0,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050469755.1,Bacteraemia,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP175101.1,46104.0,47987.0,+,99.682,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050469755.1,Bacteraemia,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP175101.1,940831.0,941757.0,+,99.892,100.0,2,accepted_present,1,unchanged_B3_status
GCA_050469755.1,Bacteraemia,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_050469755.1,Bacteraemia,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP175101.1,705834.0,707366.0,-,100.0,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050469755.1,Bacteraemia,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP175101.1,704931.0,705785.0,-,100.0,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050471105.1,Bacteraemia,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP175093.1,54002.0,56026.0,+,93.2238198697854,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050471105.1,Bacteraemia,aggregation_substance_family_detected,not_detected,No retained aggregation-substance-family candidate,,,,,,,,,0,not_detected,0,approved_broad_aggregation_substance_family_rule
GCA_050471105.1,Bacteraemia,asa1_specific,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,approved_competitive_best_reference_rule
GCA_050471105.1,Bacteraemia,cylA,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_050471105.1,Bacteraemia,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP175093.1,40990.0,44454.0,+,99.509,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050471105.1,Bacteraemia,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP175093.1,44458.0,45888.0,+,99.371,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050471105.1,Bacteraemia,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP175093.1,45885.0,47768.0,+,99.045,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050471105.1,Bacteraemia,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP175093.1,861641.0,862567.0,+,99.569,100.0,2,accepted_present,1,unchanged_B3_status
GCA_050471105.1,Bacteraemia,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_050471105.1,Bacteraemia,gelE,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_050471105.1,Bacteraemia,sprE,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_050472745.1,Bacteraemia,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP175062.1,1354392.0,1356416.0,+,94.79255579553636,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050472745.1,Bacteraemia,aggregation_substance_family_detected,accepted_present,At least one accepted aggregation-substance-family locus detected,EF0485,WP_010710127,CP175062.1,433240,437133,+,94.67,100.0,1,accepted_present,1,approved_broad_aggregation_substance_family_rule
GCA_050472745.1,Bacteraemia,asa1_specific,review_required,Accepted-threshold asa1 query match is better supported by a related aggregation-substance reference,asa1,WP_010785625,CP175062.1,433241,437133,+,93.37354225352112,80.10794140323824,1,accepted_present,0,approved_competitive_best_reference_rule
GCA_050472745.1,Bacteraemia,cylA,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_050472745.1,Bacteraemia,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP175062.1,1343584.0,1347048.0,+,99.913,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050472745.1,Bacteraemia,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP175062.1,1347052.0,1348482.0,+,100.0,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050472745.1,Bacteraemia,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP175062.1,1348479.0,1350362.0,+,99.682,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050472745.1,Bacteraemia,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP175062.1,2294418.0,2295344.0,+,99.892,100.0,2,accepted_present,1,unchanged_B3_status
GCA_050472745.1,Bacteraemia,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_050472745.1,Bacteraemia,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP175062.1,2057359.0,2058891.0,-,100.0,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050472745.1,Bacteraemia,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP175062.1,2056456.0,2057310.0,-,100.0,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050472755.1,Bacteraemia,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP175060.1,880130.0,882154.0,+,93.89461032531824,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050472755.1,Bacteraemia,aggregation_substance_family_detected,not_detected,No retained aggregation-substance-family candidate,,,,,,,,,0,not_detected,0,approved_broad_aggregation_substance_family_rule
GCA_050472755.1,Bacteraemia,asa1_specific,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,approved_competitive_best_reference_rule
GCA_050472755.1,Bacteraemia,cylA,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_050472755.1,Bacteraemia,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP175060.1,866189.0,869653.0,+,99.134,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050472755.1,Bacteraemia,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP175060.1,869657.0,871087.0,+,99.371,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050472755.1,Bacteraemia,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP175060.1,871084.0,872967.0,+,98.938,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050472755.1,Bacteraemia,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP175060.1,1722909.0,1723835.0,+,99.784,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050472755.1,Bacteraemia,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_050472755.1,Bacteraemia,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP175060.1,1555363.0,1556895.0,-,98.956,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050472755.1,Bacteraemia,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP175060.1,1554460.0,1555314.0,-,99.649,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050473345.1,Bacteraemia,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP175058.1,2045566.0,2047308.0,-,95.0988907894737,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050473345.1,Bacteraemia,aggregation_substance_family_detected,not_detected,No retained aggregation-substance-family candidate,,,,,,,,,0,not_detected,0,approved_broad_aggregation_substance_family_rule
GCA_050473345.1,Bacteraemia,asa1_specific,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,approved_competitive_best_reference_rule
GCA_050473345.1,Bacteraemia,cylA,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_050473345.1,Bacteraemia,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP175058.1,2054651.0,2058115.0,-,99.942,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050473345.1,Bacteraemia,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP175058.1,2053217.0,2054647.0,-,99.161,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050473345.1,Bacteraemia,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP175058.1,2051337.0,2053220.0,-,99.045,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050473345.1,Bacteraemia,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP175058.1,1219082.0,1220008.0,-,99.676,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050473345.1,Bacteraemia,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_050473345.1,Bacteraemia,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP175058.1,1380189.0,1381721.0,+,98.826,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050473345.1,Bacteraemia,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP175058.1,1381770.0,1382624.0,+,98.83,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050473355.1,Bacteraemia,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP175057.1,919619.0,921502.0,+,94.59083093231855,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050473355.1,Bacteraemia,aggregation_substance_family_detected,not_detected,No retained aggregation-substance-family candidate,,,,,,,,,0,not_detected,0,approved_broad_aggregation_substance_family_rule
GCA_050473355.1,Bacteraemia,asa1_specific,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,approved_competitive_best_reference_rule
GCA_050473355.1,Bacteraemia,cylA,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_050473355.1,Bacteraemia,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP175057.1,908812.0,912276.0,+,99.913,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050473355.1,Bacteraemia,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP175057.1,912280.0,913710.0,+,99.02200000000002,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050473355.1,Bacteraemia,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP175057.1,913707.0,915590.0,+,98.992,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050473355.1,Bacteraemia,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP175057.1,1747042.0,1747968.0,+,99.676,100.0,2,accepted_present,1,unchanged_B3_status
GCA_050473355.1,Bacteraemia,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_050473355.1,Bacteraemia,gelE,flagged_partial,Identity is >=80% but reference coverage is 50-<80%,gelE,WP_002369251,CP175057.1,1585323.0,1586293.0,-,98.867,63.33985649054142,1,flagged_partial,0,unchanged_B3_status
GCA_050473355.1,Bacteraemia,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP175057.1,1584420.0,1585274.0,-,98.713,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050473905.1,Bacteraemia,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP175056.1,1862188.0,1864212.0,-,94.69622606191504,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050473905.1,Bacteraemia,aggregation_substance_family_detected,accepted_present,At least one accepted aggregation-substance-family locus detected,EF0485,WP_010710127,CP175055.1,1382,5307,+,95.289,99.9744767738642,2,accepted_present,2,approved_broad_aggregation_substance_family_rule
GCA_050473905.1,Bacteraemia,asa1_specific,review_required,Accepted-threshold asa1 query match is better supported by a related aggregation-substance reference,asa1,WP_010785625,CP175056.1,392282,396174,+,93.37354225352112,80.10794140323824,2,accepted_present,0,approved_competitive_best_reference_rule
GCA_050473905.1,Bacteraemia,cylA,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_050473905.1,Bacteraemia,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP175056.1,1871556.0,1875020.0,-,99.942,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050473905.1,Bacteraemia,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP175056.1,1870122.0,1871552.0,-,100.0,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050473905.1,Bacteraemia,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP175056.1,1868242.0,1870125.0,-,99.682,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050473905.1,Bacteraemia,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP175056.1,933922.0,934848.0,-,99.892,100.0,2,accepted_present,1,unchanged_B3_status
GCA_050473905.1,Bacteraemia,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_050473905.1,Bacteraemia,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP175056.1,1158360.0,1159892.0,+,100.0,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050473905.1,Bacteraemia,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP175056.1,1159941.0,1160795.0,+,100.0,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050474485.1,Bacteraemia,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP175046.1,955267.0,957432.0,+,93.48740324594256,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050474485.1,Bacteraemia,aggregation_substance_family_detected,not_detected,No retained aggregation-substance-family candidate,,,,,,,,,0,not_detected,0,approved_broad_aggregation_substance_family_rule
GCA_050474485.1,Bacteraemia,asa1_specific,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,approved_competitive_best_reference_rule
GCA_050474485.1,Bacteraemia,cylA,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_050474485.1,Bacteraemia,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP175046.1,942255.0,945719.0,+,99.365,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050474485.1,Bacteraemia,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP175046.1,945723.0,947153.0,+,99.301,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050474485.1,Bacteraemia,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP175046.1,947150.0,949033.0,+,99.045,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050474485.1,Bacteraemia,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP175046.1,1803256.0,1804182.0,+,99.569,100.0,1,accepted_present,1,unchanged_B3_status
GCA_050474485.1,Bacteraemia,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
