Genome_1,Genome_2,AMR_Jaccard_distance,AMR_Jaccard_similarity,Nine_locus_patristic_distance,ST_pair_evaluable,ST_relationship,Source_relationship,Study_relationship
GCA_029011255.1,GCF_053117695.1,0.8,0.19999999999999996,0.0158342637,TRUE,Different ST,Same source,Different study
GCA_029011255.1,GCA_050471105.1,0.5,0.5,0.0147071829,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050481115.1,0.5,0.5,0.0147071829,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050481685.1,0.5,0.5,0.0147071829,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050481105.1,0.5,0.5,0.0147071829,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050480515.1,0.5,0.5,0.014708628300000002,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050486705.1,0.875,0.125,0.014615601,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050506725.1,0,1,0.0147120367,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050506735.1,0,1,0.0147120367,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCF_053117665.1,0.8333333333333334,0.16666666666666663,0.014806649800000002,TRUE,Different ST,Same source,Different study
GCA_029011255.1,GCA_050506765.1,0.6666666666666667,0.33333333333333326,0.0160868717,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050506825.1,0.5,0.5,0.015993161600000003,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050516645.1,0.6666666666666667,0.33333333333333326,0.0167718409,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050516655.1,0.6666666666666667,0.33333333333333326,0.0167718409,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050475575.1,0.75,0.25,0.017168064700000003,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCF_053117685.1,0.8333333333333334,0.16666666666666663,0.017168064700000003,TRUE,Different ST,Same source,Different study
GCA_029011255.1,GCF_053117705.1,0.8333333333333334,0.16666666666666663,0.017168064700000003,TRUE,Different ST,Same source,Different study
GCA_029011255.1,GCA_050506695.1,0.6666666666666667,0.33333333333333326,0.017168064700000003,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050506815.1,0.8333333333333334,0.16666666666666663,0.017168064700000003,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050516665.1,0.8333333333333334,0.16666666666666663,0.017168064700000003,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050507065.1,0.5,0.5,0.017168064700000003,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCF_053117575.1,0.8333333333333334,0.16666666666666663,0.017168064700000003,TRUE,Different ST,Same source,Different study
GCA_029011255.1,GCA_050506995.1,0.5,0.5,0.017168064700000003,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCF_053117655.1,0.8,0.19999999999999996,0.017168064700000003,TRUE,Different ST,Same source,Different study
GCA_029011255.1,GCA_050506685.1,0.6666666666666667,0.33333333333333326,0.017168064700000003,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050516675.1,0.6666666666666667,0.33333333333333326,0.0172580329,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050485055.1,0.9166666666666666,0.08333333333333337,0.015806402700000003,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050506675.1,0.75,0.25,0.015806402700000003,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCF_053117585.1,0.8571428571428572,0.1428571428571428,0.015806402700000003,TRUE,Different ST,Same source,Different study
GCA_029011255.1,GCA_050506865.1,0.8333333333333334,0.16666666666666663,0.015806402700000003,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050506665.1,0.75,0.25,0.015806402700000003,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050505635.1,0.875,0.125,0.0158990055,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050505645.1,0.875,0.125,0.0158990001,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050486715.1,0.6666666666666667,0.33333333333333326,0.015895486,FALSE,ST comparison unavailable,Different source,Different study
GCA_029011255.1,GCA_050491675.1,0.8888888888888888,0.11111111111111116,0.0169770427,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050491685.1,0.8888888888888888,0.11111111111111116,0.0169770427,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCF_053117675.1,0.9230769230769231,0.07692307692307687,0.0168835148,TRUE,Different ST,Same source,Different study
GCA_029011255.1,GCA_050472755.1,0.8571428571428572,0.1428571428571428,0.016637714999999997,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050506875.1,0.6666666666666667,0.33333333333333326,0.0041608678,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_029011745.1,0.5,0.5,2e-6,TRUE,Same ST,Same source,Same study
GCA_029011395.1,GCA_050475565.1,0.6666666666666667,0.33333333333333326,0.008358111,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCF_906464925.1,0.8,0.19999999999999996,0.0105912259,TRUE,Different ST,Same source,Different study
GCA_029011395.1,GCA_050506775.1,0.5,0.5,0.0114335414,FALSE,ST comparison unavailable,Different source,Different study
GCA_029011395.1,GCA_029011535.1,1,0,0.018962203100000002,TRUE,Different ST,Same source,Same study
GCA_029011395.1,GCA_050506915.1,0.5,0.5,0.018966776100000002,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050506985.1,0.5,0.5,0.018966776100000002,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050506935.1,0.5,0.5,0.018966776100000002,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050506925.1,0.5,0.5,0.018966776100000002,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050476085.1,0.5,0.5,0.015920835900000003,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050473355.1,0,1,0.015340266,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050473345.1,0.5,0.5,0.015474417400000001,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCF_049262565.1,0.6666666666666667,0.33333333333333326,0.016064305,TRUE,Different ST,Same source,Different study
GCA_029011395.1,GCA_050474485.1,0.5,0.5,0.013176889,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050485635.1,0.8888888888888888,0.11111111111111116,0.010853600500000001,FALSE,ST comparison unavailable,Different source,Different study
GCA_029011395.1,GCA_050469755.1,0.6666666666666667,0.33333333333333326,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050507105.1,0.8,0.19999999999999996,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050481695.1,0.8947368421052632,0.10526315789473684,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050473905.1,0.8181818181818181,0.18181818181818188,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050507075.1,0.8,0.19999999999999996,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050482265.1,0.8947368421052632,0.10526315789473684,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050492135.1,0.8,0.19999999999999996,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050492125.1,0.8,0.19999999999999996,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050506745.1,0.8823529411764706,0.11764705882352944,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050506755.1,0.8571428571428572,0.1428571428571428,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050485045.1,0.8571428571428572,0.1428571428571428,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050472745.1,0.8,0.19999999999999996,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050485625.1,0.8888888888888888,0.11111111111111116,0.01178938,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050506885.1,0.9230769230769231,0.07692307692307687,0.014818332,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050474495.1,0.6666666666666667,0.33333333333333326,0.015572233,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050506905.1,0.8333333333333334,0.16666666666666663,0.015572233,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCF_053117695.1,0.6,0.4,0.0127891402,TRUE,Different ST,Same source,Different study
GCA_029011395.1,GCA_050471105.1,0,1,0.012825583,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050481115.1,0,1,0.012825583,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050481685.1,0,1,0.012825583,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050481105.1,0,1,0.012825583,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050480515.1,0,1,0.012827028400000001,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050486705.1,0.75,0.25,0.0127340011,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050506725.1,0.5,0.5,0.0128304368,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050506735.1,0.5,0.5,0.0128304368,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCF_053117665.1,0.6666666666666667,0.33333333333333326,0.0129250499,TRUE,Different ST,Same source,Different study
GCA_029011395.1,GCA_050506765.1,0.33333333333333337,0.6666666666666666,0.014205271799999999,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050506825.1,0,1,0.014111561699999999,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050516645.1,0.75,0.25,0.014890240999999999,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050516655.1,0.75,0.25,0.014890240999999999,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050475575.1,0.5,0.5,0.015429753799999996,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCF_053117685.1,0.6666666666666667,0.33333333333333326,0.015429753799999996,TRUE,Different ST,Same source,Different study
GCA_029011395.1,GCF_053117705.1,0.6666666666666667,0.33333333333333326,0.015429753799999996,TRUE,Different ST,Same source,Different study
GCA_029011395.1,GCA_050506695.1,0.33333333333333337,0.6666666666666666,0.015429753799999996,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050506815.1,0.6666666666666667,0.33333333333333326,0.015429753799999996,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050516665.1,0.6666666666666667,0.33333333333333326,0.015429753799999996,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050507065.1,0,1,0.015429753799999996,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCF_053117575.1,0.6666666666666667,0.33333333333333326,0.015429753799999996,TRUE,Different ST,Same source,Different study
GCA_029011395.1,GCA_050506995.1,0,1,0.015429753799999996,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCF_053117655.1,0.6,0.4,0.015429753799999996,TRUE,Different ST,Same source,Different study
GCA_029011395.1,GCA_050506685.1,0.33333333333333337,0.6666666666666666,0.015429753799999996,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050516675.1,0.33333333333333337,0.6666666666666666,0.015519721999999998,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050485055.1,0.8333333333333334,0.16666666666666663,0.014068091799999996,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050506675.1,0.5,0.5,0.014068091799999996,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCF_053117585.1,0.7142857142857143,0.2857142857142857,0.014068091799999996,TRUE,Different ST,Same source,Different study
GCA_029011395.1,GCA_050506865.1,0.6666666666666667,0.33333333333333326,0.014068091799999996,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050506665.1,0.5,0.5,0.014068091799999996,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050505635.1,0.75,0.25,0.014160694599999999,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050505645.1,0.75,0.25,0.014160689199999998,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050486715.1,0.33333333333333337,0.6666666666666666,0.014157175099999999,FALSE,ST comparison unavailable,Different source,Different study
GCA_029011395.1,GCA_050491675.1,0.7777777777777778,0.2222222222222222,0.015238731799999997,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050491685.1,0.7777777777777778,0.2222222222222222,0.015238731799999997,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCF_053117675.1,0.8461538461538461,0.15384615384615385,0.015145203899999998,TRUE,Different ST,Same source,Different study
GCA_029011395.1,GCA_050472755.1,0.7142857142857143,0.2857142857142857,0.0172052005,TRUE,Different ST,Different source,Different study
GCA_029011395.1,GCA_050506875.1,0.75,0.25,0.0199082587,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050475565.1,0.8333333333333334,0.16666666666666663,0.008358111,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCF_906464925.1,0.9,0.09999999999999998,0.0105912259,TRUE,Different ST,Same source,Different study
GCA_029011745.1,GCA_050506775.1,1,0,0.0114335414,FALSE,ST comparison unavailable,Different source,Different study
GCA_029011745.1,GCA_029011535.1,1,0,0.018962203100000002,TRUE,Different ST,Same source,Same study
GCA_029011745.1,GCA_050506915.1,1,0,0.018966776100000002,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050506985.1,1,0,0.018966776100000002,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050506935.1,1,0,0.018966776100000002,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050506925.1,1,0,0.018966776100000002,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050476085.1,1,0,0.015920835900000003,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050473355.1,0.5,0.5,0.015340266,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050473345.1,1,0,0.015474417400000001,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCF_049262565.1,1,0,0.016064305,TRUE,Different ST,Same source,Different study
GCA_029011745.1,GCA_050474485.1,1,0,0.013176889,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050485635.1,0.9444444444444444,0.05555555555555558,0.010853600500000001,FALSE,ST comparison unavailable,Different source,Different study
GCA_029011745.1,GCA_050469755.1,0.8333333333333334,0.16666666666666663,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050507105.1,0.9,0.09999999999999998,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050481695.1,0.9473684210526316,0.05263157894736836,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050473905.1,0.9090909090909091,0.09090909090909094,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050507075.1,0.9,0.09999999999999998,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050482265.1,0.9473684210526316,0.05263157894736836,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050492135.1,0.9,0.09999999999999998,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050492125.1,0.9,0.09999999999999998,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050506745.1,0.9411764705882353,0.05882352941176472,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050506755.1,0.9285714285714286,0.0714285714285714,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050485045.1,0.9285714285714286,0.0714285714285714,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050472745.1,0.9,0.09999999999999998,0.011697097699999999,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050485625.1,0.9444444444444444,0.05555555555555558,0.01178938,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050506885.1,1,0,0.014818332,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050474495.1,0.8333333333333334,0.16666666666666663,0.015572233,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050506905.1,0.9166666666666666,0.08333333333333337,0.015572233,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCF_053117695.1,0.8,0.19999999999999996,0.0127891402,TRUE,Different ST,Same source,Different study
GCA_029011745.1,GCA_050471105.1,0.5,0.5,0.012825583,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050481115.1,0.5,0.5,0.012825583,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050481685.1,0.5,0.5,0.012825583,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050481105.1,0.5,0.5,0.012825583,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050480515.1,0.5,0.5,0.012827028400000001,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050486705.1,0.875,0.125,0.0127340011,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050506725.1,1,0,0.0128304368,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050506735.1,1,0,0.0128304368,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCF_053117665.1,0.8333333333333334,0.16666666666666663,0.0129250499,TRUE,Different ST,Same source,Different study
GCA_029011745.1,GCA_050506765.1,0.6666666666666667,0.33333333333333326,0.014205271799999999,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050506825.1,0.5,0.5,0.014111561699999999,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050516645.1,1,0,0.014890240999999999,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050516655.1,1,0,0.014890240999999999,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050475575.1,0.75,0.25,0.015429753799999996,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCF_053117685.1,0.8333333333333334,0.16666666666666663,0.015429753799999996,TRUE,Different ST,Same source,Different study
GCA_029011745.1,GCF_053117705.1,0.8333333333333334,0.16666666666666663,0.015429753799999996,TRUE,Different ST,Same source,Different study
GCA_029011745.1,GCA_050506695.1,0.6666666666666667,0.33333333333333326,0.015429753799999996,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050506815.1,0.8333333333333334,0.16666666666666663,0.015429753799999996,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050516665.1,0.8333333333333334,0.16666666666666663,0.015429753799999996,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050507065.1,0.5,0.5,0.015429753799999996,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCF_053117575.1,0.8333333333333334,0.16666666666666663,0.015429753799999996,TRUE,Different ST,Same source,Different study
GCA_029011745.1,GCA_050506995.1,0.5,0.5,0.015429753799999996,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCF_053117655.1,0.8,0.19999999999999996,0.015429753799999996,TRUE,Different ST,Same source,Different study
GCA_029011745.1,GCA_050506685.1,0.6666666666666667,0.33333333333333326,0.015429753799999996,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050516675.1,0.6666666666666667,0.33333333333333326,0.015519721999999998,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050485055.1,0.9166666666666666,0.08333333333333337,0.014068091799999996,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050506675.1,0.75,0.25,0.014068091799999996,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCF_053117585.1,0.8571428571428572,0.1428571428571428,0.014068091799999996,TRUE,Different ST,Same source,Different study
GCA_029011745.1,GCA_050506865.1,0.8333333333333334,0.16666666666666663,0.014068091799999996,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050506665.1,0.75,0.25,0.014068091799999996,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050505635.1,0.875,0.125,0.014160694599999999,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050505645.1,0.875,0.125,0.014160689199999998,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050486715.1,0.6666666666666667,0.33333333333333326,0.014157175099999999,FALSE,ST comparison unavailable,Different source,Different study
GCA_029011745.1,GCA_050491675.1,0.8888888888888888,0.11111111111111116,0.015238731799999997,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050491685.1,0.8888888888888888,0.11111111111111116,0.015238731799999997,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCF_053117675.1,0.9230769230769231,0.07692307692307687,0.015145203899999998,TRUE,Different ST,Same source,Different study
GCA_029011745.1,GCA_050472755.1,0.8571428571428572,0.1428571428571428,0.0172052005,TRUE,Different ST,Different source,Different study
GCA_029011745.1,GCA_050506875.1,1,0,0.0199082587,TRUE,Different ST,Different source,Different study
GCA_050475565.1,GCF_906464925.1,0.5454545454545454,0.4545454545454546,0.0079718631,TRUE,Different ST,Different source,Different study
GCA_050475565.1,GCA_050506775.1,0.8333333333333334,0.16666666666666663,0.0088141786,FALSE,ST comparison unavailable,Same source,Same study
GCA_050475565.1,GCA_029011535.1,0.8571428571428572,0.1428571428571428,0.0163428403,TRUE,Different ST,Different source,Different study
GCA_050475565.1,GCA_050506915.1,0.8333333333333334,0.16666666666666663,0.016347413300000002,TRUE,Different ST,Same source,Same study
GCA_050475565.1,GCA_050506985.1,0.8333333333333334,0.16666666666666663,0.016347413300000002,TRUE,Different ST,Same source,Same study
GCA_050475565.1,GCA_050506935.1,0.8333333333333334,0.16666666666666663,0.016347413300000002,TRUE,Different ST,Same source,Same study
GCA_050475565.1,GCA_050506925.1,0.8333333333333334,0.16666666666666663,0.016347413300000002,TRUE,Different ST,Same source,Same study
GCA_050475565.1,GCA_050476085.1,0.8333333333333334,0.16666666666666663,0.0133014731,TRUE,Different ST,Same source,Same study
GCA_050475565.1,GCA_050473355.1,0.6666666666666667,0.33333333333333326,0.0127209032,TRUE,Different ST,Same source,Same study
GCA_050475565.1,GCA_050473345.1,0.8333333333333334,0.16666666666666663,0.0128550546,TRUE,Different ST,Same source,Same study
GCA_050475565.1,GCF_049262565.1,0.6666666666666667,0.33333333333333326,0.013444942199999999,TRUE,Different ST,Different source,Different study
GCA_050475565.1,GCA_050474485.1,0.8333333333333334,0.16666666666666663,0.0105575262,TRUE,Different ST,Same source,Same study
GCA_050475565.1,GCA_050485635.1,0.736842105263158,0.26315789473684204,0.008234237699999999,FALSE,ST comparison unavailable,Same source,Same study
GCA_050475565.1,GCA_050469755.1,0.2857142857142857,0.7142857142857143,0.009077734899999999,TRUE,Different ST,Same source,Same study
GCA_050475565.1,GCA_050507105.1,0.4,0.6,0.009077734899999999,TRUE,Different ST,Same source,Same study
GCA_050475565.1,GCA_050481695.1,0.6842105263157895,0.3157894736842105,0.009077734899999999,TRUE,Different ST,Same source,Same study
GCA_050475565.1,GCA_050473905.1,0.4545454545454546,0.5454545454545454,0.009077734899999999,TRUE,Different ST,Same source,Same study
GCA_050475565.1,GCA_050507075.1,0.4,0.6,0.009077734899999999,TRUE,Different ST,Same source,Same study
GCA_050475565.1,GCA_050482265.1,0.6842105263157895,0.3157894736842105,0.009077734899999999,TRUE,Different ST,Same source,Same study
GCA_050475565.1,GCA_050492135.1,0.4,0.6,0.009077734899999999,TRUE,Different ST,Same source,Same study
GCA_050475565.1,GCA_050492125.1,0.4,0.6,0.009077734899999999,TRUE,Different ST,Same source,Same study
GCA_050475565.1,GCA_050506745.1,0.6470588235294117,0.3529411764705883,0.009077734899999999,TRUE,Different ST,Same source,Same study
GCA_050475565.1,GCA_050506755.1,0.5714285714285714,0.4285714285714286,0.009077734899999999,TRUE,Different ST,Same source,Same study
