Genome,Source,Study_ID,Study_title,Associated_publication,Country,Year,gdh,gyd,pstS,gki,aroE,xpt,yqiL,Allele_profile,Dataset_profile,Dataset_profile_complete,MLST_status,MLST_status_reason,ST,PubMLST_CC_if_officially_available,HLGR_proxy,Other_aminoglycoside_genes,AMR_burden
GCA_050473905.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,NA,HLGR-associated genotype proxy detected,ant(6)-Ia; aph(3')-IIIa,11
GCA_050474485.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,8,7,9,5,4,4,1,gdh8-gyd7-pstS9-gki5-aroE4-xpt4-yqiL1,gdh8-gyd7-pstS9-gki5-aroE4-xpt4-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,32,NA,HLGR-associated genotype proxy not detected,None detected,1
GCA_050474495.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,12,7,3,32,32,26,31,gdh12-gyd7-pstS3-gki32-aroE32-xpt26-yqiL31,gdh12-gyd7-pstS3-gki32-aroE32-xpt26-yqiL31,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,778,NA,HLGR-associated genotype proxy detected,None detected,6
GCA_050475565.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,4,4,8,3,8,1,3,gdh4-gyd4-pstS8-gki3-aroE8-xpt1-yqiL3,gdh4-gyd4-pstS8-gki3-aroE8-xpt1-yqiL3,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,28,NA,HLGR-associated genotype proxy detected,None detected,6
GCA_050475575.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,NA,HLGR-associated genotype proxy detected,None detected,4
GCA_050476085.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,1,7,9,1,1,1,1,gdh1-gyd7-pstS9-gki1-aroE1-xpt1-yqiL1,gdh1-gyd7-pstS9-gki1-aroE1-xpt1-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,21,NA,HLGR-associated genotype proxy not detected,None detected,1
GCA_050480515.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,NA,HLGR-associated genotype proxy not detected,None detected,2
GCA_050481105.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,NA,HLGR-associated genotype proxy not detected,None detected,2
GCA_050481115.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,NA,HLGR-associated genotype proxy not detected,None detected,2
GCA_050481685.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,NA,HLGR-associated genotype proxy not detected,None detected,2
GCA_050481695.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,NA,HLGR-associated genotype proxy detected,aadD1; ant(6)-Ia; aph(3')-IIIa,19
GCA_050482265.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,NA,HLGR-associated genotype proxy detected,aadD1; ant(6)-Ia; aph(3')-IIIa,19
GCA_050485045.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,NA,HLGR-associated genotype proxy detected,aadD1,14
GCA_050485055.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,5,1,1,3,7,7,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,16,NA,HLGR-associated genotype proxy detected,aadD1,12
GCA_050485625.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,NA,HLGR-associated genotype proxy detected,aadD1; ant(6)-Ia; aph(3')-IIIa,18
GCA_050485635.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,8,7,3,5,4,4,1,gdh8-gyd7-pstS3-gki5-aroE4-xpt4-yqiL1,gdh8-gyd7-pstS3-gki5-aroE4-xpt4-yqiL1,TRUE,Unassigned_profile_not_in_PubMLST,Exact known-allele combination absent from pinned profile table,Unassigned,NA,HLGR-associated genotype proxy detected,aadD1; ant(6)-Ia; aph(3')-IIIa,18
GCA_050486705.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,NA,HLGR-associated genotype proxy not detected,ant(6)-Ia; aph(3')-IIIa,8
GCA_050486715.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,5,1,1,3,7,7,NA,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiLUNRESOLVED,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiLNOVEL_1099e30c0981,TRUE,Unassigned_incomplete_profile,yqiL:Novel_allele_candidate,Unassigned,NA,HLGR-associated genotype proxy not detected,None detected,3
GCA_050491675.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,1,1,22,22,7,17,6,gdh1-gyd1-pstS22-gki22-aroE7-xpt17-yqiL6,gdh1-gyd1-pstS22-gki22-aroE7-xpt17-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,480,NA,HLGR-associated genotype proxy detected,aph(3')-IIIa,9
GCA_050491685.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,1,1,22,22,7,17,6,gdh1-gyd1-pstS22-gki22-aroE7-xpt17-yqiL6,gdh1-gyd1-pstS22-gki22-aroE7-xpt17-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,480,NA,HLGR-associated genotype proxy detected,aph(3')-IIIa,9
GCA_050492125.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,NA,HLGR-associated genotype proxy detected,ant(6)-Ia; aph(3')-IIIa,10
GCA_050492135.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,NA,HLGR-associated genotype proxy detected,ant(6)-Ia; aph(3')-IIIa,10
GCA_050505635.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,5,1,1,3,7,7,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,16,NA,HLGR-associated genotype proxy not detected,ant(6)-Ia; spw,8
GCA_050505645.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,2018,5,1,1,3,7,7,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,16,NA,HLGR-associated genotype proxy not detected,ant(6)-Ia; spw,8
GCA_050506665.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,5,1,1,3,7,7,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,16,NA,HLGR-associated genotype proxy not detected,None detected,4
GCA_050506675.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,5,1,1,3,7,7,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,16,NA,HLGR-associated genotype proxy not detected,None detected,4
GCA_050506685.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,NA,HLGR-associated genotype proxy not detected,None detected,3
GCA_050506695.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,NA,HLGR-associated genotype proxy not detected,None detected,3
GCA_050506725.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,NA,HLGR-associated genotype proxy not detected,None detected,1
GCA_050506735.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,NA,HLGR-associated genotype proxy not detected,None detected,1
GCA_050506745.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,NA,HLGR-associated genotype proxy detected,ant(6)-Ia; aph(3')-IIIa,17
GCA_050506755.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,NA,HLGR-associated genotype proxy detected,None detected,14
GCA_050506765.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,NA,HLGR-associated genotype proxy not detected,None detected,3
GCA_050506775.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,14,1,NA,37,6,48,NA,gdh14-gyd1-pstSUNRESOLVED-gki37-aroE6-xpt48-yqiLUNRESOLVED,gdh14-gyd1-pstSNOVEL_a6ba33650b6d-gki37-aroE6-xpt48-yqiLNOVEL_03f789d462bc,TRUE,Unassigned_incomplete_profile,pstS:Novel_allele_candidate; yqiL:Novel_allele_candidate,Unassigned,NA,HLGR-associated genotype proxy not detected,None detected,1
GCA_050506815.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,NA,HLGR-associated genotype proxy detected,aph(3')-IIIa,6
GCA_050506825.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,NA,HLGR-associated genotype proxy not detected,None detected,2
GCA_050506865.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,5,1,1,3,7,7,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,16,NA,HLGR-associated genotype proxy detected,aph(3')-IIIa,6
GCA_050506875.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,15,2,3,2,3,1,11,gdh15-gyd2-pstS3-gki2-aroE3-xpt1-yqiL11,gdh15-gyd2-pstS3-gki2-aroE3-xpt1-yqiL11,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,1271,NA,HLGR-associated genotype proxy not detected,None detected,3
GCA_050506885.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,9,7,3,2,6,1,5,gdh9-gyd7-pstS3-gki2-aroE6-xpt1-yqiL5,gdh9-gyd7-pstS3-gki2-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,1112,NA,HLGR-associated genotype proxy detected,None detected,12
GCA_050506905.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,12,7,3,32,32,26,31,gdh12-gyd7-pstS3-gki32-aroE32-xpt26-yqiL31,gdh12-gyd7-pstS3-gki32-aroE32-xpt26-yqiL31,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,778,NA,HLGR-associated genotype proxy detected,None detected,12
GCA_050506915.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,1,2,12,8,1,6,1,gdh1-gyd2-pstS12-gki8-aroE1-xpt6-yqiL1,gdh1-gyd2-pstS12-gki8-aroE1-xpt6-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,19,NA,HLGR-associated genotype proxy not detected,None detected,1
GCA_050506925.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,1,2,12,8,1,6,1,gdh1-gyd2-pstS12-gki8-aroE1-xpt6-yqiL1,gdh1-gyd2-pstS12-gki8-aroE1-xpt6-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,19,NA,HLGR-associated genotype proxy not detected,None detected,1
GCA_050506935.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,1,2,12,8,1,6,1,gdh1-gyd2-pstS12-gki8-aroE1-xpt6-yqiL1,gdh1-gyd2-pstS12-gki8-aroE1-xpt6-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,19,NA,HLGR-associated genotype proxy not detected,None detected,1
GCA_050506985.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,1,2,12,8,1,6,1,gdh1-gyd2-pstS12-gki8-aroE1-xpt6-yqiL1,gdh1-gyd2-pstS12-gki8-aroE1-xpt6-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,19,NA,HLGR-associated genotype proxy not detected,None detected,1
GCA_050506995.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,NA,HLGR-associated genotype proxy not detected,None detected,2
GCA_050507065.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,NA,HLGR-associated genotype proxy not detected,None detected,2
GCA_050507075.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,NA,HLGR-associated genotype proxy detected,ant(6)-Ia; aph(3')-IIIa,10
