Genome,Source,ST,Study_ID,Original_genome_status,Contig_ID,Replicon_type,Replicon_description,Start,Stop,Strand,Asa1_reference_ID,Asa1_identity,Asa1_coverage,Asa1_bitscore,Asa1_HSP_count,Best_context_symbol,Best_context_reference_ID,Best_context_identity,Best_context_coverage,Best_context_bitscore,Competitive_locus_interpretation
GCA_050475565.1,Bacteraemia,28,PRJNA1185791,ambiguous_multiple_hit,CP175028.1,plasmid,"Enterococcus faecalis strain C1336 plasmid unnamed1, complete sequence",22201,26091,+,WP_010785625,95.631,100.0,6251.0,1,prgB/asc10,WP_002395058,92.6651204356182,79.58141909137315,3451.0,asa1_reference_best_supported
GCA_050475565.1,Bacteraemia,28,PRJNA1185791,ambiguous_multiple_hit,CP175029.1,plasmid,"Enterococcus faecalis strain C1336 plasmid unnamed2, complete sequence",3912,7802,+,WP_010785625,99.126,100.0,6864.0,1,EF0485,WP_010710127,93.87991316885616,79.55589586523736,3595.0,asa1_reference_best_supported
GCA_050475565.1,Bacteraemia,28,PRJNA1185791,ambiguous_multiple_hit,CP175030.1,chromosome,"Enterococcus faecalis strain C1336 chromosome, complete genome",2739666,2743581,-,WP_010785625,92.66259147709069,80.10794140323824,3482.0,2,EF0485,WP_010710127,95.203,100.0,6210.0,related_aggregation_substance_reference_best_supported
GCA_050475575.1,Bacteraemia,179,PRJNA1185791,ambiguous_multiple_hit,CP175024.1,plasmid,"Enterococcus faecalis strain C1329 plasmid unnamed1, complete sequence",640,4557,+,WP_010785625,94.84304228058936,80.13364173734259,3626.0,2,prgB/asc10,WP_002395058,95.433,100.0,6254.0,related_aggregation_substance_reference_best_supported
GCA_050475575.1,Bacteraemia,179,PRJNA1185791,ambiguous_multiple_hit,CP175025.1,plasmid,"Enterococcus faecalis strain C1329 plasmid unnamed2, complete sequence",1,3927,+,WP_010785625,94.50676237623765,80.13364173734259,3597.0,2,prgB/asc10,WP_002395058,95.239,100.0,6238.0,related_aggregation_substance_reference_best_supported
GCA_050475575.1,Bacteraemia,179,PRJNA1185791,ambiguous_multiple_hit,CP175027.1,chromosome,"Enterococcus faecalis strain C1329 chromosome, complete genome",401960,405876,+,WP_010785625,93.62338929830184,80.10794140323824,3581.0,2,EF0485,WP_010710127,99.974,100.0,7062.0,related_aggregation_substance_reference_best_supported
GCA_050480515.1,Bacteraemia,40,PRJNA1185791,accepted_present,CP174929.1,plasmid,"Enterococcus faecalis strain C8814 plasmid unnamed1, complete sequence",41089,44979,+,WP_010785625,99.1,100.0,6860.0,1,EF0485,WP_010710127,93.87991316885616,79.55589586523736,3595.0,asa1_reference_best_supported
GCA_050481105.1,Bacteraemia,40,PRJNA1185791,accepted_present,CP174926.1,plasmid,"Enterococcus faecalis strain C8810 plasmid unnamed1, complete sequence",41089,44979,+,WP_010785625,99.1,100.0,6860.0,1,EF0485,WP_010710127,93.87991316885616,79.55589586523736,3595.0,asa1_reference_best_supported
GCA_050481695.1,Bacteraemia,6,PRJNA1185791,accepted_present,CP174921.1,chromosome,"Enterococcus faecalis strain C1225 chromosome, complete genome",2202591,2206483,-,WP_010785625,93.37354225352112,80.10794140323824,3712.0,2,EF0485,WP_010710127,94.67,100.0,6143.0,related_aggregation_substance_reference_best_supported
GCA_050482265.1,Bacteraemia,6,PRJNA1185791,accepted_present,CP174914.1,chromosome,"Enterococcus faecalis strain C1224 chromosome, complete genome",280096,283988,+,WP_010785625,93.37354225352112,80.10794140323824,3712.0,2,EF0485,WP_010710127,94.67,100.0,6143.0,related_aggregation_substance_reference_best_supported
GCA_050485045.1,Bacteraemia,6,PRJNA1185791,accepted_present,CP174869.1,chromosome,"Enterococcus faecalis strain C8816 chromosome, complete genome",2326500,2330392,-,WP_010785625,93.37354225352112,80.10794140323824,3712.0,2,EF0485,WP_010710127,94.67,100.0,6143.0,related_aggregation_substance_reference_best_supported
GCA_050485625.1,Bacteraemia,6,PRJNA1185791,accepted_present,CP174859.1,chromosome,"Enterococcus faecalis strain C2198 chromosome, complete genome",2237238,2241130,-,WP_010785625,93.37354225352112,80.10794140323824,3712.0,2,EF0485,WP_010710127,94.67,100.0,6143.0,related_aggregation_substance_reference_best_supported
GCA_050485635.1,Bacteraemia,Unassigned,PRJNA1185791,accepted_present,CP174856.1,chromosome,"Enterococcus faecalis strain C2196 chromosome, complete genome",502682,506599,+,WP_010785625,94.2665797565663,80.10794140323824,3760.0,2,EF0485,WP_010710127,97.092,100.0,6545.0,related_aggregation_substance_reference_best_supported
GCA_050486705.1,Bacteraemia,40,PRJNA1185791,accepted_present,CP174840.1,plasmid,"Enterococcus faecalis strain C1228 plasmid unnamed1, complete sequence",123324,127214,+,WP_010785625,98.047,100.0,6675.0,1,EF0485,WP_010710127,93.97612367830824,79.55589586523736,3635.0,asa1_reference_best_supported
GCA_050486715.1,Bacteraemia,Unassigned,PRJNA1185791,accepted_present,CP174839.1,chromosome,"Enterococcus faecalis strain C1226 chromosome, complete genome",370683,374599,+,WP_010785625,94.5526600448574,80.10794140323824,3685.0,2,EF0485,WP_010710127,96.299,100.0,6413.0,related_aggregation_substance_reference_best_supported
GCA_050491675.1,Bacteraemia,480,PRJNA1185791,ambiguous_multiple_hit,CP175117.1,plasmid,"Enterococcus faecalis strain C1576 plasmid unnamed2, complete sequence",2870,6760,+,WP_010785625,97.353,100.0,6553.0,1,EF0485,WP_010710127,94.00803652675428,79.55589586523736,3635.0,asa1_reference_best_supported
GCA_050491675.1,Bacteraemia,480,PRJNA1185791,ambiguous_multiple_hit,CP175118.1,plasmid,"Enterococcus faecalis strain C1576 plasmid unnamed1, complete sequence",57183,61100,-,WP_010785625,94.74711947469572,80.13364173734259,3681.0,2,prgB/asc10,WP_002395058,95.484,100.0,6263.0,related_aggregation_substance_reference_best_supported
GCA_050491685.1,Bacteraemia,480,PRJNA1185791,ambiguous_multiple_hit,CP175114.1,plasmid,"Enterococcus faecalis strain C1574 plasmid unnamed2, complete sequence",4136,8026,+,WP_010785625,97.353,100.0,6553.0,1,EF0485,WP_010710127,94.00803652675428,79.55589586523736,3635.0,asa1_reference_best_supported
GCA_050491685.1,Bacteraemia,480,PRJNA1185791,ambiguous_multiple_hit,CP175115.1,plasmid,"Enterococcus faecalis strain C1574 plasmid unnamed1, complete sequence",4467,8384,+,WP_010785625,94.74711947469572,80.13364173734259,3681.0,2,prgB/asc10,WP_002395058,95.484,100.0,6263.0,related_aggregation_substance_reference_best_supported
GCA_050492125.1,Bacteraemia,6,PRJNA1185791,accepted_present,CP175110.1,chromosome,"Enterococcus faecalis strain C1552 chromosome, complete genome",451197,455089,+,WP_010785625,93.37354225352112,80.10794140323824,3712.0,2,EF0485,WP_010710127,94.67,100.0,6143.0,related_aggregation_substance_reference_best_supported
GCA_050492135.1,Bacteraemia,6,PRJNA1185791,accepted_present,CP175106.1,chromosome,"Enterococcus faecalis strain C1551 chromosome, complete genome",451197,455089,+,WP_010785625,93.37354225352112,80.10794140323824,3712.0,2,EF0485,WP_010710127,94.67,100.0,6143.0,related_aggregation_substance_reference_best_supported
GCA_050505635.1,Bacteraemia,16,PRJNA1185791,accepted_present,CP175162.1,chromosome,"Enterococcus faecalis strain H797 chromosome, complete genome",2057430,2061346,-,WP_010785625,93.59147644985582,80.10794140323824,3581.0,2,EF0485,WP_010710127,100.0,100.0,7066.0,related_aggregation_substance_reference_best_supported
GCA_050505645.1,Bacteraemia,16,PRJNA1185791,accepted_present,CP175163.1,chromosome,"Enterococcus faecalis strain H813 chromosome, complete genome",2276557,2280473,+,WP_010785625,93.59147644985582,80.10794140323824,3581.0,2,EF0485,WP_010710127,100.0,100.0,7066.0,related_aggregation_substance_reference_best_supported
GCA_050506665.1,Bacteraemia,16,PRJNA1185791,accepted_present,CP175301.1,chromosome,"Enterococcus faecalis strain C6489 chromosome, complete genome",367540,371456,+,WP_010785625,93.59147644985582,80.10794140323824,3581.0,2,EF0485,WP_010710127,100.0,100.0,7066.0,related_aggregation_substance_reference_best_supported
GCA_050506675.1,Bacteraemia,16,PRJNA1185791,accepted_present,CP175300.1,chromosome,"Enterococcus faecalis strain C6504 chromosome, complete genome",367540,371456,+,WP_010785625,93.59147644985582,80.10794140323824,3581.0,2,EF0485,WP_010710127,100.0,100.0,7066.0,related_aggregation_substance_reference_best_supported
GCA_050506685.1,Bacteraemia,179,PRJNA1185791,accepted_present,CP175298.1,chromosome,"Enterococcus faecalis strain C5882 chromosome, complete genome",399995,403911,+,WP_010785625,93.59147644985582,80.10794140323824,3581.0,2,EF0485,WP_010710127,100.0,100.0,7066.0,related_aggregation_substance_reference_best_supported
GCA_050506695.1,Bacteraemia,179,PRJNA1185791,accepted_present,CP175296.1,chromosome,"Enterococcus faecalis strain C5881 chromosome, complete genome",399995,403911,+,WP_010785625,93.59147644985582,80.10794140323824,3581.0,2,EF0485,WP_010710127,100.0,100.0,7066.0,related_aggregation_substance_reference_best_supported
GCA_050506725.1,Bacteraemia,40,PRJNA1185791,ambiguous_multiple_hit,CP175285.1,plasmid,"Enterococcus faecalis strain C5874 plasmid unnamed1, complete sequence",57215,61076,+,WP_010785625,96.256,98.84348496530455,6258.0,1,EF0485,WP_010710127,92.62008411214954,78.4073506891271,3340.0,asa1_reference_best_supported
GCA_050506725.1,Bacteraemia,40,PRJNA1185791,ambiguous_multiple_hit,CP175285.1,plasmid,"Enterococcus faecalis strain C5874 plasmid unnamed1, complete sequence",118238,122128,+,WP_010785625,97.353,100.0,6553.0,1,EF0485,WP_010710127,94.00803652675428,79.55589586523736,3635.0,asa1_reference_best_supported
GCA_050506735.1,Bacteraemia,40,PRJNA1185791,accepted_present,CP175282.1,plasmid,"Enterococcus faecalis strain C5873 plasmid unnamed1, complete sequence",1112,5002,+,WP_010785625,97.353,100.0,6553.0,1,EF0485,WP_010710127,94.00803652675428,79.55589586523736,3635.0,asa1_reference_best_supported
GCA_050506745.1,Bacteraemia,6,PRJNA1185791,accepted_present,CP175276.1,chromosome,"Enterococcus faecalis strain C5846 chromosome, complete genome",2190259,2194151,-,WP_010785625,93.37354225352112,80.10794140323824,3712.0,2,EF0485,WP_010710127,94.67,100.0,6143.0,related_aggregation_substance_reference_best_supported
GCA_050506755.1,Bacteraemia,6,PRJNA1185791,accepted_present,CP175273.1,chromosome,"Enterococcus faecalis strain C5844 chromosome, complete genome",165377,169269,+,WP_010785625,93.37354225352112,80.10794140323824,3712.0,2,EF0485,WP_010710127,94.67,100.0,6143.0,related_aggregation_substance_reference_best_supported
GCA_050506775.1,Bacteraemia,Unassigned,PRJNA1185791,accepted_present,CP175266.1,plasmid,"Enterococcus faecalis strain C6409 plasmid unnamed1, complete sequence",72841,76758,+,WP_010785625,94.90731550288277,80.13364173734259,3667.0,2,prgB/asc10,WP_002395058,96.835,100.0,6507.0,related_aggregation_substance_reference_best_supported
GCA_050506815.1,Bacteraemia,179,PRJNA1185791,accepted_present,CP175260.1,chromosome,"Enterococcus faecalis strain C6391 chromosome, complete genome",400242,404158,+,WP_010785625,93.59147644985582,80.10794140323824,3581.0,2,EF0485,WP_010710127,100.0,100.0,7066.0,related_aggregation_substance_reference_best_supported
GCA_050506865.1,Bacteraemia,16,PRJNA1185791,accepted_present,CP175257.1,chromosome,"Enterococcus faecalis strain C6388 chromosome, complete genome",405178,409094,+,WP_010785625,93.59147644985582,80.10794140323824,3581.0,2,EF0485,WP_010710127,100.0,100.0,7066.0,related_aggregation_substance_reference_best_supported
GCA_050506875.1,Bacteraemia,1271,PRJNA1185791,accepted_present,CP175255.1,chromosome,"Enterococcus faecalis strain C6375 chromosome, complete genome",478796,482685,+,WP_010785625,93.62396988144825,80.10794140323824,3694.0,2,EF0485,WP_010710127,95.712,100.0,6324.0,related_aggregation_substance_reference_best_supported
GCA_050506885.1,Bacteraemia,1112,PRJNA1185791,accepted_present,CP175254.1,chromosome,"Enterococcus faecalis strain C5858 chromosome, complete genome",364787,368676,+,WP_010785625,93.91245530278756,80.10794140323824,3735.0,2,EF0485,WP_010710127,95.789,100.0,6338.0,related_aggregation_substance_reference_best_supported
GCA_050506995.1,Bacteraemia,179,PRJNA1185791,accepted_present,CP175225.1,chromosome,"Enterococcus faecalis strain C1335 chromosome, complete genome",155853,159770,+,WP_010785625,93.62560794362588,80.10794140323824,3584.0,2,EF0485,WP_010710127,99.49,100.0,6974.0,related_aggregation_substance_reference_best_supported
GCA_050507065.1,Bacteraemia,179,PRJNA1185791,accepted_present,CP175224.1,chromosome,"Enterococcus faecalis strain C1337 chromosome, complete genome",2319131,2323047,+,WP_010785625,93.59147644985582,80.10794140323824,3581.0,2,EF0485,WP_010710127,100.0,100.0,7066.0,related_aggregation_substance_reference_best_supported
GCA_050507075.1,Bacteraemia,6,PRJNA1185791,accepted_present,CP175221.1,chromosome,"Enterococcus faecalis strain C1469 chromosome, complete genome",431906,435798,+,WP_010785625,93.37354225352112,80.10794140323824,3712.0,2,EF0485,WP_010710127,94.67,100.0,6143.0,related_aggregation_substance_reference_best_supported
GCA_050507105.1,Bacteraemia,6,PRJNA1185791,accepted_present,CP175219.1,chromosome,"Enterococcus faecalis strain C1468 chromosome, complete genome",500492,504384,+,WP_010785625,93.37354225352112,80.10794140323824,3712.0,2,EF0485,WP_010710127,94.67,100.0,6143.0,related_aggregation_substance_reference_best_supported
GCA_050516645.1,Bacteraemia,220,PRJNA1185791,accepted_present,CP175404.1,plasmid,"Enterococcus faecalis strain C5822 plasmid unnamed3, complete sequence",48457,52374,+,WP_010785625,94.33052946828955,80.13364173734259,3586.0,2,prgB/asc10,WP_002395058,96.759,100.0,6494.0,related_aggregation_substance_reference_best_supported
GCA_050516655.1,Bacteraemia,220,PRJNA1185791,accepted_present,CP175401.1,plasmid,"Enterococcus faecalis strain C5819 plasmid unnamed3, complete sequence",48457,52374,+,WP_010785625,94.33052946828955,80.13364173734259,3586.0,2,prgB/asc10,WP_002395058,96.759,100.0,6494.0,related_aggregation_substance_reference_best_supported
GCA_050516665.1,Bacteraemia,179,PRJNA1185791,accepted_present,CP175397.1,chromosome,"Enterococcus faecalis strain C6697 chromosome, complete genome",400278,404194,+,WP_010785625,93.59147644985582,80.10794140323824,3581.0,2,EF0485,WP_010710127,100.0,100.0,7066.0,related_aggregation_substance_reference_best_supported
GCA_050516675.1,Bacteraemia,179,PRJNA1185791,accepted_present,CP175395.1,chromosome,"Enterococcus faecalis strain C6696 chromosome, complete genome",400091,404007,+,WP_010785625,93.59147644985582,80.10794140323824,3581.0,2,EF0485,WP_010710127,100.0,100.0,7066.0,related_aggregation_substance_reference_best_supported
GCF_049262565.1,Reproductive,30,PRJNA316969,accepted_present,NZ_CP185998.1,plasmid,"Enterococcus faecalis strain UMB6935B plasmid pUMB6935B-1, complete sequence",10543,14460,+,WP_010785625,94.6509051889814,80.13364173734259,3640.0,2,prgB/asc10,WP_002395058,96.759,100.0,6494.0,related_aggregation_substance_reference_best_supported
GCF_053117575.1,Reproductive,179,PRJNA1209846,ambiguous_multiple_hit,NZ_CP181216.1,chromosome,"Enterococcus faecalis strain 5245 chromosome, complete genome",400135,404051,+,WP_010785625,93.59147644985582,80.10794140323824,3581.0,2,EF0485,WP_010710127,100.0,100.0,7066.0,related_aggregation_substance_reference_best_supported
GCF_053117575.1,Reproductive,179,PRJNA1209846,ambiguous_multiple_hit,NZ_CP181217.1,plasmid,"Enterococcus faecalis strain 5245 plasmid p5245.1, complete sequence",64231,68148,+,WP_010785625,94.52240262652144,80.13364173734259,3595.0,2,prgB/asc10,WP_002395058,97.371,100.0,6602.0,related_aggregation_substance_reference_best_supported
GCF_053117585.1,Reproductive,16,PRJNA1209846,ambiguous_multiple_hit,NZ_CP181214.1,chromosome,"Enterococcus faecalis strain 5410 chromosome, complete genome",405557,409473,+,WP_010785625,93.59147644985582,80.10794140323824,3581.0,2,EF0485,WP_010710127,100.0,100.0,7066.0,related_aggregation_substance_reference_best_supported
GCF_053117585.1,Reproductive,16,PRJNA1209846,ambiguous_multiple_hit,NZ_CP181215.1,plasmid,"Enterococcus faecalis strain 5410 plasmid p5410.1, complete sequence",19973,24302,+,WP_010785625,91.9231165020337,80.13364173734259,3777.0,3,EF0485,WP_010710127,90.7591239981141,99.9744767738642,5531.0,related_aggregation_substance_reference_best_supported
GCF_053117665.1,Reproductive,40,PRJNA1209846,accepted_present,NZ_CP181222.1,chromosome,"Enterococcus faecalis strain 4953 chromosome, complete genome",1309740,1313631,+,WP_010785625,96.557,100.0,6412.0,1,EF0149,WP_011109430,94.12932338308458,76.92700357325165,3594.0,asa1_reference_best_supported
GCF_053117675.1,Reproductive,480,PRJNA1209846,accepted_present,NZ_CP181227.1,plasmid,"Enterococcus faecalis strain 4774 plasmid p4774.1, complete sequence",23471,27388,+,WP_010785625,96.28474567584882,80.13364173734259,3874.0,2,prgB/asc10,WP_002395058,96.35,100.0,6422.0,related_aggregation_substance_reference_best_supported
GCF_053117685.1,Reproductive,179,PRJNA1209846,ambiguous_multiple_hit,NZ_CP181229.1,chromosome,"Enterococcus faecalis strain 4638 chromosome, complete genome",2702314,2706230,-,WP_010785625,93.59147644985582,80.10794140323824,3581.0,2,EF0485,WP_010710127,100.0,100.0,7066.0,related_aggregation_substance_reference_best_supported
GCF_053117685.1,Reproductive,179,PRJNA1209846,ambiguous_multiple_hit,NZ_CP181231.1,plasmid,"Enterococcus faecalis strain 4638 plasmid p4638.2, complete sequence",10593,14483,+,WP_010785625,96.942,100.0,6481.0,1,EF0485,WP_010710127,94.39810947503202,79.55589586523736,3690.0,asa1_reference_best_supported
GCF_053117695.1,Reproductive,211,PRJNA1209846,accepted_present,NZ_CP181235.1,plasmid,"Enterococcus faecalis strain 4153 plasmid p4153.1, complete sequence",24696,28586,-,WP_010785625,96.967,100.0,6486.0,1,EF0485,WP_010710127,94.43037708066582,79.55589586523736,3694.0,asa1_reference_best_supported
GCF_053117705.1,Reproductive,179,PRJNA1209846,accepted_present,NZ_CP181238.1,chromosome,"Enterococcus faecalis strain 2819 chromosome, complete genome",400259,404175,+,WP_010785625,93.59147644985582,80.10794140323824,3581.0,2,EF0485,WP_010710127,100.0,100.0,7066.0,related_aggregation_substance_reference_best_supported
GCF_906464925.1,Reproductive,894,PRJEB36950,accepted_present,NZ_OD940435.1,plasmid,"Enterococcus faecalis isolate BX5936 plasmid contig000002, complete sequence",11806,15723,+,WP_010785625,95.63828640153945,80.13364173734259,3714.0,2,EF0485,WP_010710127,95.33,99.9744767738642,6238.0,related_aggregation_substance_reference_best_supported
