Genome,Source,gdh,gyd,pstS,gki,aroE,xpt,yqiL,Allele_profile,Dataset_profile,Dataset_profile_complete,MLST_status,MLST_status_reason,ST,PubMLST_CC_if_officially_available
GCA_050480515.1,Bacteraemia,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,
GCA_050481105.1,Bacteraemia,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,
GCA_050481115.1,Bacteraemia,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,
GCA_050481685.1,Bacteraemia,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,
GCA_050481695.1,Bacteraemia,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,
GCA_050482265.1,Bacteraemia,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,
GCA_050485045.1,Bacteraemia,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,
GCA_050485055.1,Bacteraemia,5,1,1,3,7,7,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,16,
GCA_050485625.1,Bacteraemia,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,
GCA_050485635.1,Bacteraemia,8,7,3,5,4,4,1,gdh8-gyd7-pstS3-gki5-aroE4-xpt4-yqiL1,gdh8-gyd7-pstS3-gki5-aroE4-xpt4-yqiL1,TRUE,Unassigned_profile_not_in_PubMLST,Exact known-allele combination absent from pinned profile table,Unassigned,NA
GCA_050486705.1,Bacteraemia,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,
GCA_050486715.1,Bacteraemia,5,1,1,3,7,7,,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiLUNRESOLVED,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiLNOVEL_1099e30c0981,TRUE,Unassigned_incomplete_profile,yqiL:Novel_allele_candidate,Unassigned,NA
GCA_050491675.1,Bacteraemia,1,1,22,22,7,17,6,gdh1-gyd1-pstS22-gki22-aroE7-xpt17-yqiL6,gdh1-gyd1-pstS22-gki22-aroE7-xpt17-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,480,
GCA_050491685.1,Bacteraemia,1,1,22,22,7,17,6,gdh1-gyd1-pstS22-gki22-aroE7-xpt17-yqiL6,gdh1-gyd1-pstS22-gki22-aroE7-xpt17-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,480,
GCA_050492125.1,Bacteraemia,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,
GCA_050492135.1,Bacteraemia,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,
GCA_050505635.1,Bacteraemia,5,1,1,3,7,7,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,16,
GCA_050505645.1,Bacteraemia,5,1,1,3,7,7,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,16,
GCA_050506665.1,Bacteraemia,5,1,1,3,7,7,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,16,
GCA_050506675.1,Bacteraemia,5,1,1,3,7,7,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,16,
GCA_050506685.1,Bacteraemia,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,
GCA_050506695.1,Bacteraemia,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,
GCA_050506725.1,Bacteraemia,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,
GCA_050506735.1,Bacteraemia,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,
GCA_050506745.1,Bacteraemia,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,
GCA_050506755.1,Bacteraemia,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,
GCA_050506765.1,Bacteraemia,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,
GCA_050506775.1,Bacteraemia,14,1,,37,6,48,,gdh14-gyd1-pstSUNRESOLVED-gki37-aroE6-xpt48-yqiLUNRESOLVED,gdh14-gyd1-pstSNOVEL_a6ba33650b6d-gki37-aroE6-xpt48-yqiLNOVEL_03f789d462bc,TRUE,Unassigned_incomplete_profile,pstS:Novel_allele_candidate; yqiL:Novel_allele_candidate,Unassigned,NA
GCA_050506815.1,Bacteraemia,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,
GCA_050506825.1,Bacteraemia,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,
GCA_050506865.1,Bacteraemia,5,1,1,3,7,7,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,16,
GCA_050506875.1,Bacteraemia,15,2,3,2,3,1,11,gdh15-gyd2-pstS3-gki2-aroE3-xpt1-yqiL11,gdh15-gyd2-pstS3-gki2-aroE3-xpt1-yqiL11,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,1271,
GCA_050506885.1,Bacteraemia,9,7,3,2,6,1,5,gdh9-gyd7-pstS3-gki2-aroE6-xpt1-yqiL5,gdh9-gyd7-pstS3-gki2-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,1112,
GCA_050506905.1,Bacteraemia,12,7,3,32,32,26,31,gdh12-gyd7-pstS3-gki32-aroE32-xpt26-yqiL31,gdh12-gyd7-pstS3-gki32-aroE32-xpt26-yqiL31,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,778,
GCA_050506915.1,Bacteraemia,1,2,12,8,1,6,1,gdh1-gyd2-pstS12-gki8-aroE1-xpt6-yqiL1,gdh1-gyd2-pstS12-gki8-aroE1-xpt6-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,19,
GCA_050506925.1,Bacteraemia,1,2,12,8,1,6,1,gdh1-gyd2-pstS12-gki8-aroE1-xpt6-yqiL1,gdh1-gyd2-pstS12-gki8-aroE1-xpt6-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,19,
GCA_050506935.1,Bacteraemia,1,2,12,8,1,6,1,gdh1-gyd2-pstS12-gki8-aroE1-xpt6-yqiL1,gdh1-gyd2-pstS12-gki8-aroE1-xpt6-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,19,
GCA_050506985.1,Bacteraemia,1,2,12,8,1,6,1,gdh1-gyd2-pstS12-gki8-aroE1-xpt6-yqiL1,gdh1-gyd2-pstS12-gki8-aroE1-xpt6-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,19,
GCA_050506995.1,Bacteraemia,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,
GCA_050507065.1,Bacteraemia,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,
GCA_050507075.1,Bacteraemia,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,
GCA_050507105.1,Bacteraemia,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,
GCA_050516645.1,Bacteraemia,27,6,23,12,9,10,7,gdh27-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh27-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,220,
GCA_050516655.1,Bacteraemia,27,6,23,12,9,10,7,gdh27-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh27-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,220,
GCA_050516665.1,Bacteraemia,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,
GCA_050516675.1,Bacteraemia,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,
GCF_049262565.1,Reproductive,7,1,11,1,10,2,1,gdh7-gyd1-pstS11-gki1-aroE10-xpt2-yqiL1,gdh7-gyd1-pstS11-gki1-aroE10-xpt2-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,30,
GCF_053117575.1,Reproductive,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,
GCF_053117585.1,Reproductive,5,1,1,3,7,7,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,16,
GCF_053117655.1,Reproductive,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,
GCF_053117665.1,Reproductive,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,
GCF_053117675.1,Reproductive,1,1,22,22,7,17,6,gdh1-gyd1-pstS22-gki22-aroE7-xpt17-yqiL6,gdh1-gyd1-pstS22-gki22-aroE7-xpt17-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,480,
GCF_053117685.1,Reproductive,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,
GCF_053117695.1,Reproductive,4,1,48,21,1,2,4,gdh4-gyd1-pstS48-gki21-aroE1-xpt2-yqiL4,gdh4-gyd1-pstS48-gki21-aroE1-xpt2-yqiL4,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,211,
GCF_053117705.1,Reproductive,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,
GCF_906464925.1,Reproductive,1,1,92,3,14,17,1,gdh1-gyd1-pstS92-gki3-aroE14-xpt17-yqiL1,gdh1-gyd1-pstS92-gki3-aroE14-xpt17-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,894,
