Genome,Source,Locus,Assignment_status,Accepted_allele,Dataset_profile_token,Exact_alleles_detected,Exact_location_count,Best_reference_allele,Best_identity_percent,Best_allele_coverage_percent,Best_contig,Best_start,Best_stop,Best_strand,Status_reason,FNA_path
GCA_029011535.1,Reproductive,gki,Exact_known_allele,8,8,8,1,8,100,100,CP118072.1,664198,664635,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011535.1.fna
GCA_029011535.1,Reproductive,aroE,Exact_known_allele,1,1,1,1,1,100,100,CP118072.1,1565631,1566089,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011535.1.fna
GCA_029011535.1,Reproductive,xpt,Exact_known_allele,6,6,6,1,6,100,100,CP118072.1,1023356,1023811,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011535.1.fna
GCA_029011535.1,Reproductive,yqiL,Exact_known_allele,1,1,1,1,1,100,100,CP118072.1,1700214,1700649,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011535.1.fna
GCA_029011745.1,Reproductive,gdh,Exact_known_allele,13,13,13,1,13,100,100,CP118085.1,2129631,2130160,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011745.1.fna
GCA_029011745.1,Reproductive,gyd,Exact_known_allele,6,6,6,1,6,100,100,CP118085.1,1152274,1152668,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011745.1.fna
GCA_029011745.1,Reproductive,pstS,Exact_known_allele,5,5,5,1,5,100,100,CP118085.1,1489176,1489758,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011745.1.fna
GCA_029011745.1,Reproductive,gki,Exact_known_allele,14,14,14,1,14,100,100,CP118085.1,2445163,2445600,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011745.1.fna
GCA_029011745.1,Reproductive,aroE,Exact_known_allele,10,10,10,1,10,100,100,CP118085.1,1624604,1625062,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011745.1.fna
GCA_029011745.1,Reproductive,xpt,Exact_known_allele,9,9,9,1,9,100,100,CP118085.1,917833,918288,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011745.1.fna
GCA_029011745.1,Reproductive,yqiL,Exact_known_allele,5,5,5,1,5,100,100,CP118085.1,1757845,1758280,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011745.1.fna
GCA_050469755.1,Bacteraemia,gdh,Exact_known_allele,12,12,12,1,12,100,100,CP175101.1,2984515,2985044,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050469755.1.fna
GCA_050469755.1,Bacteraemia,gyd,Exact_known_allele,7,7,7,1,7,100,100,CP175101.1,843165,843559,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050469755.1.fna
GCA_050469755.1,Bacteraemia,pstS,Exact_known_allele,3,3,3,1,3,100,100,CP175101.1,586972,587554,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050469755.1.fna
GCA_050469755.1,Bacteraemia,gki,Exact_known_allele,7,7,7,1,7,100,100,CP175101.1,1517925,1518362,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050469755.1.fna
GCA_050469755.1,Bacteraemia,aroE,Exact_known_allele,6,6,6,1,6,100,100,CP175101.1,449474,449932,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050469755.1.fna
GCA_050469755.1,Bacteraemia,xpt,Exact_known_allele,1,1,1,1,1,100,100,CP175101.1,1133062,1133517,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050469755.1.fna
GCA_050469755.1,Bacteraemia,yqiL,Exact_known_allele,5,5,5,1,5,100,100,CP175101.1,322963,323398,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050469755.1.fna
GCA_050471105.1,Bacteraemia,gdh,Exact_known_allele,3,3,3,1,3,100,100,CP175093.1,2890843,2891372,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050471105.1.fna
GCA_050471105.1,Bacteraemia,gyd,Exact_known_allele,6,6,6,1,6,100,100,CP175093.1,766414,766808,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050471105.1.fna
GCA_050471105.1,Bacteraemia,pstS,Exact_known_allele,23,23,23,1,23,100,100,CP175093.1,603557,604139,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050471105.1.fna
GCA_050471105.1,Bacteraemia,gki,Exact_known_allele,12,12,12,1,12,100,100,CP175093.1,1379914,1380351,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050471105.1.fna
GCA_050471105.1,Bacteraemia,aroE,Exact_known_allele,9,9,9,1,9,100,100,CP175093.1,466380,466838,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050471105.1.fna
GCA_050471105.1,Bacteraemia,xpt,Exact_known_allele,10,10,10,1,10,100,100,CP175093.1,1004127,1004582,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050471105.1.fna
GCA_050471105.1,Bacteraemia,yqiL,Exact_known_allele,7,7,7,1,7,100,100,CP175093.1,333134,333569,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050471105.1.fna
GCA_050472745.1,Bacteraemia,gdh,Exact_known_allele,12,12,12,1,12,100,100,CP175062.1,1249763,1250292,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050472745.1.fna
GCA_050472745.1,Bacteraemia,gyd,Exact_known_allele,7,7,7,1,7,100,100,CP175062.1,2196751,2197145,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050472745.1.fna
GCA_050472745.1,Bacteraemia,pstS,Exact_known_allele,3,3,3,1,3,100,100,CP175062.1,1939873,1940455,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050472745.1.fna
GCA_050472745.1,Bacteraemia,gki,Exact_known_allele,7,7,7,1,7,100,100,CP175062.1,2871273,2871710,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050472745.1.fna
GCA_050472745.1,Bacteraemia,aroE,Exact_known_allele,6,6,6,1,6,100,100,CP175062.1,1802375,1802833,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050472745.1.fna
GCA_050472745.1,Bacteraemia,xpt,Exact_known_allele,1,1,1,1,1,100,100,CP175062.1,2486649,2487104,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050472745.1.fna
GCA_050472745.1,Bacteraemia,yqiL,Exact_known_allele,5,5,5,1,5,100,100,CP175062.1,1625289,1625724,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050472745.1.fna
GCA_050472755.1,Bacteraemia,gdh,Exact_known_allele,18,18,18,1,18,100,100,CP175060.1,772732,773261,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050472755.1.fna
GCA_050472755.1,Bacteraemia,gyd,Exact_known_allele,1,1,1,1,1,100,100,CP175060.1,1632132,1632526,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050472755.1.fna
GCA_050472755.1,Bacteraemia,pstS,Exact_known_allele,24,24,24,1,24,100,100,CP175060.1,1422456,1423038,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050472755.1.fna
GCA_050472755.1,Bacteraemia,gki,Exact_known_allele,24,24,24,1,24,100,100,CP175060.1,2262179,2262616,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050472755.1.fna
GCA_050472755.1,Bacteraemia,aroE,Exact_known_allele,20,20,20,1,20,100,100,CP175060.1,1286932,1287390,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050472755.1.fna
GCA_050472755.1,Bacteraemia,xpt,Exact_known_allele,17,17,17,1,17,100,100,CP175060.1,1856150,1856605,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050472755.1.fna
GCA_050472755.1,Bacteraemia,yqiL,Exact_known_allele,15,15,15,1,15,100,100,CP175060.1,1162158,1162593,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050472755.1.fna
GCA_050473345.1,Bacteraemia,gdh,Exact_known_allele,1,1,1,1,1,100,100,CP175058.1,2188996,2189525,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473345.1.fna
GCA_050473345.1,Bacteraemia,gyd,Exact_known_allele,7,7,7,1,7,100,100,CP175058.1,1275365,1275759,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473345.1.fna
GCA_050473345.1,Bacteraemia,pstS,Exact_known_allele,9,9,9,1,9,100,100,CP175058.1,1494893,1495475,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473345.1.fna
GCA_050473345.1,Bacteraemia,gki,Exact_known_allele,1,1,1,1,1,100,100,CP175058.1,645273,645710,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473345.1.fna
GCA_050473345.1,Bacteraemia,aroE,Exact_known_allele,1,1,1,1,1,100,100,CP175058.1,1635450,1635908,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473345.1.fna
GCA_050473345.1,Bacteraemia,xpt,Exact_known_allele,10,10,10,1,10,100,100,CP175058.1,1027261,1027716,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473345.1.fna
GCA_050473345.1,Bacteraemia,yqiL,Exact_known_allele,1,1,1,1,1,100,100,CP175058.1,1770061,1770496,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473345.1.fna
GCA_050473355.1,Bacteraemia,gdh,Exact_known_allele,1,1,1,1,1,100,100,CP175057.1,815824,816353,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473355.1.fna
GCA_050473355.1,Bacteraemia,gyd,Exact_known_allele,7,7,7,1,7,100,100,CP175057.1,1651387,1651781,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473355.1.fna
GCA_050473355.1,Bacteraemia,pstS,Exact_known_allele,9,9,9,1,9,100,100,CP175057.1,1471569,1472151,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473355.1.fna
GCA_050473355.1,Bacteraemia,gki,Exact_known_allele,1,1,1,1,1,100,100,CP175057.1,2336020,2336457,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473355.1.fna
GCA_050473355.1,Bacteraemia,aroE,Exact_known_allele,1,1,1,1,1,100,100,CP175057.1,1331134,1331592,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473355.1.fna
GCA_050473355.1,Bacteraemia,xpt,Exact_known_allele,1,1,1,1,1,100,100,CP175057.1,1892735,1893190,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473355.1.fna
GCA_050473355.1,Bacteraemia,yqiL,Exact_known_allele,1,1,1,1,1,100,100,CP175057.1,1196548,1196983,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473355.1.fna
GCA_050473905.1,Bacteraemia,gdh,Exact_known_allele,12,12,12,1,12,100,100,CP175056.1,1968517,1969046,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473905.1.fna
GCA_050473905.1,Bacteraemia,gyd,Exact_known_allele,7,7,7,1,7,100,100,CP175056.1,1032121,1032515,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473905.1.fna
GCA_050473905.1,Bacteraemia,pstS,Exact_known_allele,3,3,3,1,3,100,100,CP175056.1,1276774,1277356,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473905.1.fna
GCA_050473905.1,Bacteraemia,gki,Exact_known_allele,7,7,7,1,7,100,100,CP175056.1,2560118,2560555,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473905.1.fna
GCA_050473905.1,Bacteraemia,aroE,Exact_known_allele,6,6,6,1,6,100,100,CP175056.1,1414396,1414854,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473905.1.fna
GCA_050473905.1,Bacteraemia,xpt,Exact_known_allele,1,1,1,1,1,100,100,CP175056.1,743491,743946,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473905.1.fna
GCA_050473905.1,Bacteraemia,yqiL,Exact_known_allele,5,5,5,1,5,100,100,CP175056.1,1591500,1591935,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050473905.1.fna
GCA_050474485.1,Bacteraemia,gdh,Exact_known_allele,8,8,8,1,8,100,100,CP175046.1,849088,849617,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050474485.1.fna
GCA_050474485.1,Bacteraemia,gyd,Exact_known_allele,7,7,7,1,7,100,100,CP175046.1,1708272,1708666,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050474485.1.fna
GCA_050474485.1,Bacteraemia,pstS,Exact_known_allele,9,9,9,1,9,100,100,CP175046.1,1496055,1496637,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050474485.1.fna
GCA_050474485.1,Bacteraemia,gki,Exact_known_allele,5,5,5,1,5,100,100,CP175046.1,2322384,2322821,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050474485.1.fna
GCA_050474485.1,Bacteraemia,aroE,Exact_known_allele,4,4,4,1,4,100,100,CP175046.1,1358747,1359205,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050474485.1.fna
GCA_050474485.1,Bacteraemia,xpt,Exact_known_allele,4,4,4,1,4,100,100,CP175046.1,1953795,1954250,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050474485.1.fna
GCA_050474485.1,Bacteraemia,yqiL,Exact_known_allele,1,1,1,1,1,100,100,CP175046.1,1225898,1226333,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050474485.1.fna
GCA_050474495.1,Bacteraemia,gdh,Exact_known_allele,12,12,12,1,12,100,100,CP175045.1,1708944,1709473,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050474495.1.fna
GCA_050474495.1,Bacteraemia,gyd,Exact_known_allele,7,7,7,1,7,100,100,CP175045.1,766715,767109,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050474495.1.fna
GCA_050474495.1,Bacteraemia,pstS,Exact_known_allele,3,3,3,1,3,100,100,CP175045.1,1015981,1016563,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050474495.1.fna
GCA_050474495.1,Bacteraemia,gki,Exact_known_allele,32,32,32,1,32,100,100,CP175045.1,38046,38483,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_58_AMRFinder/02_genomes_fna/GCA_050474495.1.fna
