Genome	Source	Locus	Official_allele	Contig	Start	Stop	Strand	Identity_percent	Allele_coverage_percent	Alignment_length	Mismatches	Gaps	Evalue	Bitscore	Is_exact_full_length
GCA_029011255.1	Reproductive	aroE	34	CP118048.1	1286341	1286799	+	99.564	100	459	2	0	0	820	FALSE
GCA_029011255.1	Reproductive	aroE	52	CP118048.1	1286341	1286799	+	99.564	100	459	2	0	0	820	FALSE
GCA_029011255.1	Reproductive	aroE	60	CP118048.1	1286341	1286799	+	99.564	100	459	2	0	0	820	FALSE
GCA_029011255.1	Reproductive	aroE	63	CP118048.1	1286341	1286799	+	99.564	100	459	2	0	0	820	FALSE
GCA_029011255.1	Reproductive	aroE	73	CP118048.1	1286341	1286799	+	99.564	100	459	2	0	0	820	FALSE
GCA_029011255.1	Reproductive	aroE	76	CP118048.1	1286341	1286799	+	99.564	100	459	2	0	0	820	FALSE
GCA_029011255.1	Reproductive	aroE	78	CP118048.1	1286341	1286799	+	99.564	100	459	2	0	0	820	FALSE
GCA_029011255.1	Reproductive	xpt	15	CP118048.1	1828912	1829367	-	100	100	456	0	0	0	823	TRUE
GCA_029011255.1	Reproductive	xpt	3	CP118048.1	1828912	1829367	-	99.781	100	456	1	0	0	819	FALSE
GCA_029011255.1	Reproductive	xpt	49	CP118048.1	1828912	1829367	-	99.781	100	456	1	0	0	819	FALSE
GCA_029011255.1	Reproductive	xpt	92	CP118048.1	1828912	1829367	-	99.781	100	456	1	0	0	819	FALSE
GCA_029011255.1	Reproductive	xpt	103	CP118048.1	1828912	1829367	-	99.781	100	456	1	0	0	819	FALSE
GCA_029011255.1	Reproductive	xpt	106	CP118048.1	1828912	1829367	-	99.781	100	456	1	0	0	819	FALSE
GCA_029011255.1	Reproductive	xpt	107	CP118048.1	1828912	1829367	-	99.781	100	456	1	0	0	819	FALSE
GCA_029011255.1	Reproductive	xpt	114	CP118048.1	1828912	1829367	-	99.781	100	456	1	0	0	819	FALSE
GCA_029011255.1	Reproductive	xpt	13	CP118048.1	1828912	1829367	-	99.561	100	456	2	0	0	814	FALSE
GCA_029011255.1	Reproductive	xpt	16	CP118048.1	1828912	1829367	-	99.561	100	456	2	0	0	814	FALSE
GCA_029011255.1	Reproductive	xpt	32	CP118048.1	1828912	1829367	-	99.561	100	456	2	0	0	814	FALSE
GCA_029011255.1	Reproductive	xpt	11	CP118048.1	1828912	1829367	-	99.342	100	456	3	0	0	810	FALSE
GCA_029011255.1	Reproductive	xpt	22	CP118048.1	1828912	1829367	-	99.342	100	456	3	0	0	810	FALSE
GCA_029011255.1	Reproductive	xpt	34	CP118048.1	1828912	1829367	-	99.342	100	456	3	0	0	810	FALSE
GCA_029011255.1	Reproductive	xpt	35	CP118048.1	1828912	1829367	-	99.342	100	456	3	0	0	810	FALSE
GCA_029011255.1	Reproductive	xpt	108	CP118048.1	1828912	1829367	-	99.342	100	456	3	0	0	810	FALSE
GCA_029011255.1	Reproductive	xpt	116	CP118048.1	1828912	1829367	-	99.342	100	456	3	0	0	810	FALSE
GCA_029011255.1	Reproductive	xpt	1	CP118048.1	1828912	1829367	-	99.123	100	456	4	0	0	805	FALSE
GCA_029011255.1	Reproductive	xpt	6	CP118048.1	1828912	1829367	-	99.123	100	456	4	0	0	805	FALSE
GCA_029011255.1	Reproductive	xpt	7	CP118048.1	1828912	1829367	-	99.123	100	456	4	0	0	805	FALSE
GCA_029011255.1	Reproductive	xpt	12	CP118048.1	1828912	1829367	-	99.123	100	456	4	0	0	805	FALSE
GCA_029011255.1	Reproductive	yqiL	11	CP118048.1	1153791	1154226	+	100	100	436	0	0	0	787	TRUE
GCA_029011255.1	Reproductive	yqiL	35	CP118048.1	1153791	1154226	+	99.771	100	436	1	0	0	783	FALSE
GCA_029011255.1	Reproductive	yqiL	66	CP118048.1	1153791	1154226	+	99.771	100	436	1	0	0	783	FALSE
GCA_029011255.1	Reproductive	yqiL	33	CP118048.1	1153791	1154226	+	99.541	100	436	2	0	0	778	FALSE
GCA_029011255.1	Reproductive	yqiL	52	CP118048.1	1153791	1154226	+	99.541	100	436	2	0	0	778	FALSE
GCA_029011255.1	Reproductive	yqiL	90	CP118048.1	1153791	1154226	+	99.541	100	436	2	0	0	778	FALSE
GCA_029011255.1	Reproductive	yqiL	117	CP118048.1	1153791	1154226	+	99.541	100	436	2	0	0	778	FALSE
GCA_029011255.1	Reproductive	yqiL	6	CP118048.1	1153791	1154226	+	99.312	100	436	3	0	0	774	FALSE
GCA_029011255.1	Reproductive	yqiL	38	CP118048.1	1153791	1154226	+	99.312	100	436	3	0	0	774	FALSE
GCA_029011255.1	Reproductive	yqiL	39	CP118048.1	1153791	1154226	+	99.312	100	436	3	0	0	774	FALSE
GCA_029011255.1	Reproductive	yqiL	53	CP118048.1	1153791	1154226	+	99.312	100	436	3	0	0	774	FALSE
GCA_029011255.1	Reproductive	yqiL	61	CP118048.1	1153791	1154226	+	99.312	100	436	3	0	0	774	FALSE
GCA_029011255.1	Reproductive	yqiL	65	CP118048.1	1153791	1154226	+	99.312	100	436	3	0	0	774	FALSE
GCA_029011255.1	Reproductive	yqiL	2	CP118048.1	1153791	1154226	+	99.083	100	436	4	0	0	769	FALSE
GCA_029011255.1	Reproductive	yqiL	23	CP118048.1	1153791	1154226	+	99.083	100	436	4	0	0	769	FALSE
GCA_029011255.1	Reproductive	yqiL	26	CP118048.1	1153791	1154226	+	99.083	100	436	4	0	0	769	FALSE
GCA_029011255.1	Reproductive	yqiL	29	CP118048.1	1153791	1154226	+	99.083	100	436	4	0	0	769	FALSE
GCA_029011255.1	Reproductive	yqiL	32	CP118048.1	1153791	1154226	+	99.083	100	436	4	0	0	769	FALSE
GCA_029011255.1	Reproductive	yqiL	60	CP118048.1	1153791	1154226	+	99.083	100	436	4	0	0	769	FALSE
GCA_029011255.1	Reproductive	yqiL	69	CP118048.1	1153791	1154226	+	99.083	100	436	4	0	0	769	FALSE
GCA_029011255.1	Reproductive	yqiL	73	CP118048.1	1153791	1154226	+	99.083	100	436	4	0	0	769	FALSE
GCA_029011395.1	Reproductive	gdh	13	CP118057.1	2183214	2183743	+	100	100	530	0	0	0	957	TRUE
GCA_029011395.1	Reproductive	gdh	1	CP118057.1	2183214	2183743	+	99.811	100	530	1	0	0	952	FALSE
GCA_029011395.1	Reproductive	gdh	30	CP118057.1	2183214	2183743	+	99.811	100	530	1	0	0	952	FALSE
GCA_029011395.1	Reproductive	gdh	46	CP118057.1	2183214	2183743	+	99.811	100	530	1	0	0	952	FALSE
GCA_029011395.1	Reproductive	gdh	48	CP118057.1	2183214	2183743	+	99.811	100	530	1	0	0	952	FALSE
GCA_029011395.1	Reproductive	gdh	119	CP118057.1	2183214	2183743	+	99.811	100	530	1	0	0	952	FALSE
GCA_029011395.1	Reproductive	gdh	12	CP118057.1	2183214	2183743	+	99.623	100	530	2	0	0	948	FALSE
GCA_029011395.1	Reproductive	gdh	26	CP118057.1	2183214	2183743	+	99.623	100	530	2	0	0	948	FALSE
GCA_029011395.1	Reproductive	gdh	27	CP118057.1	2183214	2183743	+	99.623	100	530	2	0	0	948	FALSE
GCA_029011395.1	Reproductive	gdh	29	CP118057.1	2183214	2183743	+	99.623	100	530	2	0	0	948	FALSE
GCA_029011395.1	Reproductive	gdh	34	CP118057.1	2183214	2183743	+	99.623	100	530	2	0	0	948	FALSE
GCA_029011395.1	Reproductive	gdh	41	CP118057.1	2183214	2183743	+	99.623	100	530	2	0	0	948	FALSE
GCA_029011395.1	Reproductive	gdh	44	CP118057.1	2183214	2183743	+	99.623	100	530	2	0	0	948	FALSE
GCA_029011395.1	Reproductive	gdh	51	CP118057.1	2183214	2183743	+	99.623	100	530	2	0	0	948	FALSE
GCA_029011395.1	Reproductive	gdh	55	CP118057.1	2183214	2183743	+	99.623	100	530	2	0	0	948	FALSE
GCA_029011395.1	Reproductive	gdh	57	CP118057.1	2183214	2183743	+	99.623	100	530	2	0	0	948	FALSE
GCA_029011395.1	Reproductive	gdh	83	CP118057.1	2183214	2183743	+	99.623	100	530	2	0	0	948	FALSE
GCA_029011395.1	Reproductive	gdh	90	CP118057.1	2183214	2183743	+	99.623	100	530	2	0	0	948	FALSE
GCA_029011395.1	Reproductive	gdh	120	CP118057.1	2183214	2183743	+	99.623	100	530	2	0	0	948	FALSE
GCA_029011395.1	Reproductive	gdh	122	CP118057.1	2183214	2183743	+	99.623	100	530	2	0	0	948	FALSE
GCA_029011395.1	Reproductive	gdh	125	CP118057.1	2183214	2183743	+	99.623	100	530	2	0	0	948	FALSE
GCA_029011395.1	Reproductive	gyd	6	CP118057.1	1266945	1267339	+	100	100	395	0	0	0	713	TRUE
GCA_029011395.1	Reproductive	gyd	2	CP118057.1	1266945	1267339	+	99.747	100	395	1	0	0	709	FALSE
GCA_029011395.1	Reproductive	gyd	5	CP118057.1	1266945	1267339	+	99.747	100	395	1	0	0	709	FALSE
GCA_029011395.1	Reproductive	gyd	27	CP118057.1	1266945	1267339	+	99.747	100	395	1	0	0	709	FALSE
GCA_029011395.1	Reproductive	gyd	28	CP118057.1	1266945	1267339	+	99.747	100	395	1	0	0	709	FALSE
GCA_029011395.1	Reproductive	gyd	32	CP118057.1	1266945	1267339	+	99.747	100	395	1	0	0	709	FALSE
GCA_029011395.1	Reproductive	gyd	38	CP118057.1	1266945	1267339	+	99.747	100	395	1	0	0	709	FALSE
GCA_029011395.1	Reproductive	gyd	53	CP118057.1	1266945	1267339	+	99.747	100	395	1	0	0	709	FALSE
GCA_029011395.1	Reproductive	gyd	54	CP118057.1	1266945	1267339	+	99.747	100	395	1	0	0	709	FALSE
GCA_029011395.1	Reproductive	gyd	61	CP118057.1	1266945	1267339	+	99.747	100	395	1	0	0	709	FALSE
GCA_029011395.1	Reproductive	gyd	1	CP118057.1	1266945	1267339	+	99.494	100	395	2	0	0	704	FALSE
GCA_029011395.1	Reproductive	gyd	7	CP118057.1	1266945	1267339	+	99.494	100	395	2	0	0	704	FALSE
GCA_029011395.1	Reproductive	gyd	9	CP118057.1	1266945	1267339	+	99.494	100	395	2	0	0	704	FALSE
GCA_029011395.1	Reproductive	gyd	10	CP118057.1	1266945	1267339	+	99.494	100	395	2	0	0	704	FALSE
GCA_029011395.1	Reproductive	gyd	12	CP118057.1	1266945	1267339	+	99.494	100	395	2	0	0	704	FALSE
GCA_029011395.1	Reproductive	gyd	13	CP118057.1	1266945	1267339	+	99.494	100	395	2	0	0	704	FALSE
GCA_029011395.1	Reproductive	gyd	14	CP118057.1	1266945	1267339	+	99.494	100	395	2	0	0	704	FALSE
GCA_029011395.1	Reproductive	gyd	15	CP118057.1	1266945	1267339	+	99.494	100	395	2	0	0	704	FALSE
GCA_029011395.1	Reproductive	gyd	17	CP118057.1	1266945	1267339	+	99.494	100	395	2	0	0	704	FALSE
GCA_029011395.1	Reproductive	gyd	18	CP118057.1	1266945	1267339	+	99.494	100	395	2	0	0	704	FALSE
GCA_029011395.1	Reproductive	gyd	22	CP118057.1	1266945	1267339	+	99.494	100	395	2	0	0	704	FALSE
GCA_029011395.1	Reproductive	pstS	5	CP118057.1	1542480	1543062	+	100	100	583	0	0	0	1052	TRUE
GCA_029011395.1	Reproductive	pstS	4	CP118057.1	1542480	1543062	+	99.828	100	583	1	0	0	1048	FALSE
GCA_029011395.1	Reproductive	pstS	128	CP118057.1	1542480	1543062	+	99.828	100	583	1	0	0	1048	FALSE
GCA_029011395.1	Reproductive	pstS	3	CP118057.1	1542480	1543062	+	99.657	100	583	2	0	0	1043	FALSE
GCA_029011395.1	Reproductive	pstS	6	CP118057.1	1542480	1543062	+	99.657	100	583	2	0	0	1043	FALSE
GCA_029011395.1	Reproductive	pstS	34	CP118057.1	1542480	1543062	+	99.657	100	583	2	0	0	1043	FALSE
GCA_029011395.1	Reproductive	pstS	51	CP118057.1	1542480	1543062	+	99.657	100	583	2	0	0	1043	FALSE
GCA_029011395.1	Reproductive	pstS	52	CP118057.1	1542480	1543062	+	99.657	100	583	2	0	0	1043	FALSE
GCA_029011395.1	Reproductive	pstS	75	CP118057.1	1542480	1543062	+	99.657	100	583	2	0	0	1043	FALSE
GCA_029011395.1	Reproductive	pstS	87	CP118057.1	1542480	1543062	+	99.657	100	583	2	0	0	1043	FALSE
GCA_029011395.1	Reproductive	pstS	130	CP118057.1	1542480	1543062	+	99.657	100	583	2	0	0	1043	FALSE
GCA_029011395.1	Reproductive	pstS	12	CP118057.1	1542480	1543062	+	99.485	100	583	3	0	0	1039	FALSE
GCA_029011395.1	Reproductive	pstS	16	CP118057.1	1542480	1543062	+	99.485	100	583	3	0	0	1039	FALSE
GCA_029011395.1	Reproductive	pstS	27	CP118057.1	1542480	1543062	+	99.485	100	583	3	0	0	1039	FALSE
GCA_029011395.1	Reproductive	pstS	29	CP118057.1	1542480	1543062	+	99.485	100	583	3	0	0	1039	FALSE
GCA_029011395.1	Reproductive	pstS	30	CP118057.1	1542480	1543062	+	99.485	100	583	3	0	0	1039	FALSE
GCA_029011395.1	Reproductive	pstS	41	CP118057.1	1542480	1543062	+	99.485	100	583	3	0	0	1039	FALSE
GCA_029011395.1	Reproductive	pstS	53	CP118057.1	1542480	1543062	+	99.485	100	583	3	0	0	1039	FALSE
GCA_029011395.1	Reproductive	pstS	63	CP118057.1	1542480	1543062	+	99.485	100	583	3	0	0	1039	FALSE
GCA_029011395.1	Reproductive	pstS	65	CP118057.1	1542480	1543062	+	99.485	100	583	3	0	0	1039	FALSE
GCA_029011395.1	Reproductive	pstS	68	CP118057.1	1542480	1543062	+	99.485	100	583	3	0	0	1039	FALSE
GCA_029011395.1	Reproductive	gki	14	CP118057.1	662118	662555	+	100	100	438	0	0	0	791	TRUE
GCA_029011395.1	Reproductive	gki	42	CP118057.1	662118	662555	+	99.772	100	438	1	0	0	786	FALSE
GCA_029011395.1	Reproductive	gki	25	CP118057.1	662118	662555	+	99.543	100	438	2	0	0	782	FALSE
GCA_029011395.1	Reproductive	gki	33	CP118057.1	662118	662555	+	99.543	100	438	2	0	0	782	FALSE
GCA_029011395.1	Reproductive	gki	39	CP118057.1	662118	662555	+	99.543	100	438	2	0	0	782	FALSE
GCA_029011395.1	Reproductive	gki	5	CP118057.1	662118	662555	+	99.315	100	438	3	0	0	777	FALSE
GCA_029011395.1	Reproductive	gki	17	CP118057.1	662118	662555	+	99.315	100	438	3	0	0	777	FALSE
GCA_029011395.1	Reproductive	gki	19	CP118057.1	662118	662555	+	99.315	100	438	3	0	0	777	FALSE
GCA_029011395.1	Reproductive	gki	21	CP118057.1	662118	662555	+	99.315	100	438	3	0	0	777	FALSE
GCA_029011395.1	Reproductive	gki	28	CP118057.1	662118	662555	+	99.315	100	438	3	0	0	777	FALSE
GCA_029011395.1	Reproductive	gki	40	CP118057.1	662118	662555	+	99.315	100	438	3	0	0	777	FALSE
GCA_029011395.1	Reproductive	gki	86	CP118057.1	662118	662555	+	99.315	100	438	3	0	0	777	FALSE
GCA_029011395.1	Reproductive	gki	103	CP118057.1	662118	662555	+	99.315	100	438	3	0	0	777	FALSE
GCA_029011395.1	Reproductive	gki	4	CP118057.1	662118	662555	+	99.087	100	438	4	0	0	773	FALSE
GCA_029011395.1	Reproductive	gki	6	CP118057.1	662118	662555	+	99.087	100	438	4	0	0	773	FALSE
GCA_029011395.1	Reproductive	gki	10	CP118057.1	662118	662555	+	99.087	100	438	4	0	0	773	FALSE
GCA_029011395.1	Reproductive	gki	13	CP118057.1	662118	662555	+	99.087	100	438	4	0	0	773	FALSE
GCA_029011395.1	Reproductive	gki	27	CP118057.1	662118	662555	+	99.087	100	438	4	0	0	773	FALSE
GCA_029011395.1	Reproductive	gki	29	CP118057.1	662118	662555	+	99.087	100	438	4	0	0	773	FALSE
GCA_029011395.1	Reproductive	gki	30	CP118057.1	662118	662555	+	99.087	100	438	4	0	0	773	FALSE
GCA_029011395.1	Reproductive	gki	35	CP118057.1	662118	662555	+	99.087	100	438	4	0	0	773	FALSE
